relocation_section	offset	type	target	addend
.rela.text	0x0000000000000034	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ 406
.rela.text	0x0000000000000038	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ 406
.rela.text	0x000000000000003c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ 2a6
.rela.text	0x0000000000000040	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ 2a6
.rela.text	0x0000000000000044	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ 40f
.rela.text	0x0000000000000048	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ 40f
.rela.text	0x0000000000000054	R_AARCH64_CALL26	_dev_err	+ 0
.rela.text	0x0000000000000064	R_AARCH64_CALL26	devm_kmalloc	+ 0
.rela.text	0x000000000000007c	R_AARCH64_ADR_PREL_PG_HI21	.rodata	+ c0
.rela.text	0x0000000000000080	R_AARCH64_ADD_ABS_LO12_NC	.rodata	+ c0
.rela.text	0x0000000000000090	R_AARCH64_CALL26	__devm_regmap_init_i2c	+ 0
.rela.text	0x00000000000000a4	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ 5e
.rela.text	0x00000000000000a8	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ 5e
.rela.text	0x00000000000000ac	R_AARCH64_CALL26	_dev_err	+ 0
.rela.text	0x00000000000000c0	R_AARCH64_ADR_PREL_PG_HI21	.rodata	+ 208
.rela.text	0x00000000000000c4	R_AARCH64_ADD_ABS_LO12_NC	.rodata	+ 208
.rela.text	0x00000000000000e4	R_AARCH64_CALL26	devm_regmap_field_alloc	+ 0
.rela.text	0x0000000000000104	R_AARCH64_ADR_PREL_PG_HI21	.data	+ 438
.rela.text	0x0000000000000108	R_AARCH64_ADD_ABS_LO12_NC	.data	+ 438
.rela.text	0x0000000000000114	R_AARCH64_CALL26	device_create_file	+ 0
.rela.text	0x000000000000011c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ 39b
.rela.text	0x0000000000000120	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ 39b
.rela.text	0x0000000000000124	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ 104
.rela.text	0x0000000000000128	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ 104
.rela.text	0x000000000000012c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ 27a
.rela.text	0x0000000000000130	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ 27a
.rela.text	0x000000000000014c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ 3e6
.rela.text	0x0000000000000150	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ 3e6
.rela.text	0x000000000000015c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ 92
.rela.text	0x0000000000000160	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ 92
.rela.text	0x000000000000016c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ 162
.rela.text	0x0000000000000170	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ 162
.rela.text	0x000000000000017c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ 0
.rela.text	0x0000000000000180	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ 0
.rela.text	0x000000000000018c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ 14
.rela.text	0x0000000000000190	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ 14
.rela.text	0x000000000000019c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ 245
.rela.text	0x00000000000001a0	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ 245
.rela.text	0x00000000000001ac	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ a5
.rela.text	0x00000000000001b0	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ a5
.rela.text	0x00000000000001bc	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ b7
.rela.text	0x00000000000001c0	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ b7
.rela.text	0x00000000000001cc	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ 3f8
.rela.text	0x00000000000001d0	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ 3f8
.rela.text	0x00000000000001dc	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ 541
.rela.text	0x00000000000001e0	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ 541
.rela.text	0x00000000000001ec	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ 28d
.rela.text	0x00000000000001f0	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ 28d
.rela.text	0x00000000000001fc	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ 436
.rela.text	0x0000000000000200	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ 436
.rela.text	0x000000000000020c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ 332
.rela.text	0x0000000000000210	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ 332
.rela.text	0x000000000000021c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ 37
.rela.text	0x0000000000000220	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ 37
.rela.text	0x000000000000022c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ 116
.rela.text	0x0000000000000230	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ 116
.rela.text	0x000000000000023c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ 257
.rela.text	0x0000000000000240	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ 257
.rela.text	0x000000000000024c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+ 372
.rela.text	0x0000000000000250	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+ 372
