parse_order	property	required	field_id	register	bits	master_raw	slave_raw
0	sc,sc8571,vbat-ovp-dis	yes	0	0x00	7	0	0
1	sc,sc8571,vbat-ovp	yes	1	0x00	6:0	90	90
2	sc,sc8571,vbat-ovp-alm-dis	yes	2	0x01	7	1	1
3	sc,sc8571,vbat-ovp-alm	yes	3	0x01	6:0	70	70
4	sc,sc8571,ibat-ocp-dis	yes	4	0x02	7	0	0
5	sc,sc8571,ibat-ocp	yes	5	0x02	6:0	81	81
6	sc,sc8571,ibat-ocp-alm-dis	yes	6	0x03	7	1	1
7	sc,sc8571,ibat-ocp-alm	yes	7	0x03	6:0	80	80
8	sc,sc8571,ibus-ucp-dis	yes	8	0x05	7	0	0
9	sc,sc8571,vbus-in-range-dis	yes	9	0x05	2	0	0
10	sc,sc8571,vbus-pd-en	yes	10	0x06	7	0	0
11	sc,sc8571,vbus-ovp	yes	11	0x06	6:0	64	38
12	sc,sc8571,vbus-ovp-alm-dis	yes	12	0x07	7	1	1
13	sc,sc8571,vbus-ovp-alm	yes	13	0x07	6:0	64	34
14	sc,sc8571,ibus-ocp-dis	yes	14	0x08	7	0	0
15	sc,sc8571,ibus-ocp	yes	15	0x08	4:0	25	25
16	sc,sc8571,tshut-dis	yes	16	0x0a	7	1	1
17	sc,sc8571,tsbus-flt-dis	yes	18	0x0a	3	1	1
18	sc,sc8571,tsbat-flt-dis	yes	19	0x0a	2	1	1
19	sc,sc8571,tdie-alm	yes	20	0x0b	7:0	200	200
20	sc,sc8571,tsbus-flt	yes	21	0x0c	7:0	21	21
21	sc,sc8571,tsbat-flt	yes	22	0x0d	7:0	21	21
22	sc,sc8571,vac1-ovp	yes	23	0x0e	7:5	7	7
23	sc,sc8571,vac2-ovp	yes	24	0x0e	4:2	7	7
24	sc,sc8571,vac1-pd-en	yes	25	0x0e	1	0	0
25	sc,sc8571,vac2-pd-en	yes	26	0x0e	0	0	0
26	sc,sc8571,fsw-set	yes	33	0x10	7:5	4	4
27	sc,sc8571,wd-timeout	yes	34	0x10	4:3	0	0
28	sc,sc8571,wd-timeout-dis	yes	35	0x10	2	1	1
29	sc,sc8571,ibat-sns-r	yes	36	0x11	7	1	0
30	sc,sc8571,ss-timeout-dis	yes	50	0x41	7	0	0
31	sc,sc8571,ss-timeout	yes	37	0x11	6:4	7	7
32	sc,sc8571,ibus-ucp-fall-dg	yes	38	0x11	3:2	1	1
33	sc,sc8571,vout-ovp-dis	yes	39	0x12	7	1	1
34	sc,sc8571,vout-ovp	yes	40	0x12	6:5	3	3
35	sc,sc8571,vbus-ovp-dis	yes	53	0x41	4	0	0
36	sc,sc8571,pmid2out-ovp-dis	yes	51	0x41	6	0	0
37	sc,sc8571,pmid2out-ovp	yes	52	0x41	5	7	7
38	sc,sc8571,pmid2out-uvp-dis	yes	55	0x42	4:2	0	0
39	sc,sc8571,pmid2out-uvp	yes	54	0x42	7:5	7	7
40	sc8571,intr_gpio	yes	-	-	-	GPIO137 line4 flags2	GPIO137 line18 flags2
41	charger_name	no (fallback charger)	-	-	-	primary_dvchg	secondary_dvchg
