name	section	offset	size	bind	vis	kcfi_typeid	sha256	relocation_count	call_or_jump_targets
sc8571_charger_probe	.text	0x4	1180	LOCAL	DEFAULT	0x5ef138aa	37d06278068394e56e103ff8153ef2f67680e754946ccefae2687d14ee4bc3d0	132	_dev_err;devm_kmalloc;__devm_regmap_init_i2c;devm_regmap_field_alloc;regmap_field_read;_dev_err;_dev_err;devm_kfree;_dev_err;sprintf;device_create_file;of_match_node;_dev_err;_dev_err;_dev_err;_dev_err;_dev_err;_dev_err;power_supply_unregister;charger_device_register;sprintf;_printk;__class_create;_printk;class_create_file_ns;_printk;_dev_err;_dev_err;__stack_chk_fail;class_create_file_ns;_printk
sc8571_parse_dt	.text	0x568	996	LOCAL	DEFAULT		980b7a002a2533a12d311b21f000e5023e766ffe063605858a0e28bced9d5c18	102	of_property_read_variable_u32_array;of_get_named_gpio_flags;of_property_read_string;_dev_err;_dev_err;_dev_err;_dev_err;__stack_chk_fail
sc8571_init_device	.text	0x94c	940	LOCAL	DEFAULT		ba134b47f72d3e971d183f8e6c8d651ed8b12f8479b036985a22024dd1c37e7e	24	regmap_field_update_bits_base;msleep;regmap_field_update_bits_base;_dev_err;regmap_field_update_bits_base;_dev_err;_dev_err;_dev_err;_dev_err;__stack_chk_fail
sc8571_psy_register	.text	0xcf8	232	LOCAL	DEFAULT		4e45a7727fc553703540316378701820f90265e6ffa10fbdce157346071864ba	19	devm_power_supply_register;_dev_err;_dev_info
sc8571_register_interrupt	.text	0xde0	272	LOCAL	DEFAULT		abc1f231ce3e67526e542af7cb431a6377b131b546094b9efd81e5660975f04f	21	gpio_request_one;gpio_to_desc;gpiod_to_irq;devm_request_threaded_irq;irq_set_irq_wake;_dev_err;_dev_err
sc8571_charger_remove	.text	0x4a4	60	LOCAL	DEFAULT	0x8effdd6d	6390645cc3cf8652bd14d24fc7a622f7d4be1191b7b6bc8332bc7301f4595296	2	power_supply_unregister;devm_kfree
sc8571_charger_shutdown	.text	0x4e4	132	LOCAL	DEFAULT	0x8effdd6d	7c61cf3a2db58c84211cf2130f9dcb1710cbe954f8ecc7457360008130f15ff6	12	_dev_info;regmap_field_update_bits_base;_dev_err;_printk
sc8571_charger_get_property	.text	0x10bc	440	LOCAL	DEFAULT	0x815c70ac	a2f658972c9c36cf08e06a5e7e6ebc236fb925fa1734ef3c7b08d221fa110c57	13	power_supply_get_drvdata;regmap_field_read;_dev_err;_dev_info;__stack_chk_fail
sc8571_charger_set_property	.text	0x1278	136	LOCAL	DEFAULT	0x280341c0	28cbe8b37243ab4a33c9cc8cebf53026de071a979cf574136eda2b7fa5ed3e81	8	power_supply_get_drvdata;_dev_info
sc8571_charger_is_writeable	.text	0x1304	8	LOCAL	DEFAULT	0x5d3eeb57	2b59db05426e0f313d72b30f3398c65721de2562a59dc46ceeba224f98d0b876	0	
