index	symbol	crc	provider	intermodule	undefined_symbol
0	i2c_register_driver	0x50f5d94e	kernel_or_builtin	no	yes
1	i2c_del_driver	0xfee5be94	kernel_or_builtin	no	yes
2	_dev_err	0xf27ed00b	kernel_or_builtin	no	yes
3	devm_kmalloc	0xd50f026e	kernel_or_builtin	no	yes
4	__devm_regmap_init_i2c	0x1bab1211	kernel_or_builtin	no	yes
5	devm_regmap_field_alloc	0x1ef40de7	kernel_or_builtin	no	yes
6	regmap_field_read	0xa5b6f19f	kernel_or_builtin	no	yes
7	devm_kfree	0x8177f433	kernel_or_builtin	no	yes
8	sprintf	0x3c3ff9fd	kernel_or_builtin	no	yes
9	device_create_file	0xe25f59ab	kernel_or_builtin	no	yes
10	of_match_node	0x4fcce10a	kernel_or_builtin	no	yes
11	power_supply_unregister	0x931aa919	kernel_or_builtin	no	yes
12	charger_device_register	0x36325d38	charger_class	yes	yes
13	_printk	0x92997ed8	kernel_or_builtin	no	yes
14	__class_create	0x13f8371b	kernel_or_builtin	no	yes
15	class_create_file_ns	0x7f96615d	kernel_or_builtin	no	yes
16	__stack_chk_fail	0xc2c193d2	kernel_or_builtin	no	yes
17	_dev_info	0xef3cb484	kernel_or_builtin	no	yes
18	regmap_field_update_bits_base	0xc2bd74e5	kernel_or_builtin	no	yes
19	of_property_read_variable_u32_array	0x94a3f9c7	kernel_or_builtin	no	yes
20	of_get_named_gpio_flags	0xb9ab15e7	kernel_or_builtin	no	yes
21	of_property_read_string	0x000c9569	kernel_or_builtin	no	yes
22	msleep	0xf9a482f9	kernel_or_builtin	no	yes
23	devm_power_supply_register	0xf58e113b	kernel_or_builtin	no	yes
24	gpio_request_one	0x403f9529	kernel_or_builtin	no	yes
25	gpio_to_desc	0x0ec43f6f	kernel_or_builtin	no	yes
26	gpiod_to_irq	0xe46623a3	kernel_or_builtin	no	yes
27	devm_request_threaded_irq	0x0570ef04	kernel_or_builtin	no	yes
28	irq_set_irq_wake	0xce2840e7	kernel_or_builtin	no	yes
29	memset	0xdcb764ad	kernel_or_builtin	no	yes
30	snprintf	0x656e4a6e	kernel_or_builtin	no	yes
31	memcpy	0x4829a47e	kernel_or_builtin	no	yes
32	regmap_read	0xe4fcaad8	kernel_or_builtin	no	yes
33	fortify_panic	0xcbd4898c	kernel_or_builtin	no	yes
34	sscanf	0xbcab6ee6	kernel_or_builtin	no	yes
35	regmap_write	0x2971bc8d	kernel_or_builtin	no	yes
36	power_supply_get_drvdata	0xcf81c81f	kernel_or_builtin	no	yes
37	regmap_bulk_read	0xed962ff1	kernel_or_builtin	no	yes
38	power_supply_changed	0xdf24b749	kernel_or_builtin	no	yes
39	disable_irq	0x3ce4ca6f	kernel_or_builtin	no	yes
40	enable_irq	0xfcec0987	kernel_or_builtin	no	yes
41	module_layout	0xea759d7f	kernel_or_builtin	no	implicit_modversion
