index	offset	crc	symbol
0	0x0	0x50f5d94e	i2c_register_driver
1	0x40	0xfee5be94	i2c_del_driver
2	0x80	0xf27ed00b	_dev_err
3	0xc0	0xd50f026e	devm_kmalloc
4	0x100	0x1bab1211	__devm_regmap_init_i2c
5	0x140	0x1ef40de7	devm_regmap_field_alloc
6	0x180	0xa5b6f19f	regmap_field_read
7	0x1c0	0x8177f433	devm_kfree
8	0x200	0x3c3ff9fd	sprintf
9	0x240	0xe25f59ab	device_create_file
10	0x280	0x4fcce10a	of_match_node
11	0x2c0	0x931aa919	power_supply_unregister
12	0x300	0x36325d38	charger_device_register
13	0x340	0x92997ed8	_printk
14	0x380	0x13f8371b	__class_create
15	0x3c0	0x7f96615d	class_create_file_ns
16	0x400	0xc2c193d2	__stack_chk_fail
17	0x440	0xef3cb484	_dev_info
18	0x480	0xc2bd74e5	regmap_field_update_bits_base
19	0x4c0	0x94a3f9c7	of_property_read_variable_u32_array
20	0x500	0xb9ab15e7	of_get_named_gpio_flags
21	0x540	0x000c9569	of_property_read_string
22	0x580	0xf9a482f9	msleep
23	0x5c0	0xf58e113b	devm_power_supply_register
24	0x600	0x403f9529	gpio_request_one
25	0x640	0x0ec43f6f	gpio_to_desc
26	0x680	0xe46623a3	gpiod_to_irq
27	0x6c0	0x0570ef04	devm_request_threaded_irq
28	0x700	0xce2840e7	irq_set_irq_wake
29	0x740	0xdcb764ad	memset
30	0x780	0x656e4a6e	snprintf
31	0x7c0	0x4829a47e	memcpy
32	0x800	0xe4fcaad8	regmap_read
33	0x840	0xcbd4898c	fortify_panic
34	0x880	0xbcab6ee6	sscanf
35	0x8c0	0x2971bc8d	regmap_write
36	0x900	0xcf81c81f	power_supply_get_drvdata
37	0x940	0xed962ff1	regmap_bulk_read
38	0x980	0xdf24b749	power_supply_changed
39	0x9c0	0x3ce4ca6f	disable_irq
40	0xa00	0xfcec0987	enable_irq
41	0xa40	0xea759d7f	module_layout
