field_id	name	register	bits	stock_use	dt_property	master_raw	slave_raw	interpretation
0	VBAT_OVP_DIS	0x00	7	DT_INIT	sc,sc8571,vbat-ovp-dis	0	0	boolean; 1 disables
1	VBAT_OVP	0x00	6:0	DT_INIT	sc,sc8571,vbat-ovp	90	90	7000 mV + code*20 mV
2	VBAT_OVP_ALM_DIS	0x01	7	DT_INIT	sc,sc8571,vbat-ovp-alm-dis	1	1	boolean; 1 disables
3	VBAT_OVP_ALM	0x01	6:0	DT_INIT	sc,sc8571,vbat-ovp-alm	70	70	7000 mV + code*20 mV
4	IBAT_OCP_DIS	0x02	7	DT_INIT	sc,sc8571,ibat-ocp-dis	0	0	boolean; 1 disables
5	IBAT_OCP	0x02	6:0	DT_INIT	sc,sc8571,ibat-ocp	81	81	code*100 mA
6	IBAT_OCP_ALM_DIS	0x03	7	DT_INIT	sc,sc8571,ibat-ocp-alm-dis	1	1	boolean; 1 disables
7	IBAT_OCP_ALM	0x03	6:0	DT_INIT	sc,sc8571,ibat-ocp-alm	80	80	code*100 mA
8	IBUS_UCP_DIS	0x05	7	DT_INIT	sc,sc8571,ibus-ucp-dis	0	0	boolean
9	VBUS_IN_RANGE_DIS	0x05	2	DT_INIT	sc,sc8571,vbus-in-range-dis	0	0	slave is forced to 1 after DT init
10	VBUS_PD_EN	0x06	7	DT_INIT	sc,sc8571,vbus-pd-en	0	0	VBUS pull-down enable
11	VBUS_OVP	0x06	6:0	DT_INIT	sc,sc8571,vbus-ovp	64	38	2:1 base 14000 mV + code*100 mV
12	VBUS_OVP_ALM_DIS	0x07	7	DT_INIT	sc,sc8571,vbus-ovp-alm-dis	1	1	boolean; 1 disables
13	VBUS_OVP_ALM	0x07	6:0	DT_INIT	sc,sc8571,vbus-ovp-alm	64	34	2:1 base 14000 mV + code*100 mV
14	IBUS_OCP_DIS	0x08	7	DT_INIT	sc,sc8571,ibus-ocp-dis	0	0	boolean; 1 disables
15	IBUS_OCP	0x08	4:0	DT_INIT	sc,sc8571,ibus-ocp	25	25	1000 mA + code*250 mA
16	TSHUT_DIS	0x0a	7	DT_INIT	sc,sc8571,tshut-dis	1	1	boolean; 1 disables
17	TDIE_ALM_DIS	0x0a	4	ALLOCATED_ONLY				
18	TSBUS_FLT_DIS	0x0a	3	DT_INIT	sc,sc8571,tsbus-flt-dis	1	1	boolean; 1 disables
19	TSBAT_FLT_DIS	0x0a	2	DT_INIT	sc,sc8571,tsbat-flt-dis	1	1	boolean; 1 disables
20	TDIE_ALM	0x0b	7:0	DT_INIT	sc,sc8571,tdie-alm	200	200	25 C + code*5 C
21	TSBUS_FLT	0x0c	7:0	DT_INIT	sc,sc8571,tsbus-flt	21	21	
22	TSBAT_FLT	0x0d	7:0	DT_INIT	sc,sc8571,tsbat-flt	21	21	
23	VAC1_OVP	0x0e	7:5	DT_INIT	sc,sc8571,vac1-ovp	7	7	6500 mV + code*2500 mV
24	VAC2_OVP	0x0e	4:2	DT_INIT	sc,sc8571,vac2-ovp	7	7	6500 mV + code*2500 mV
25	VAC1_PD_EN	0x0e	1	DT_INIT	sc,sc8571,vac1-pd-en	0	0	
26	VAC2_PD_EN	0x0e	0	DT_INIT	sc,sc8571,vac2-pd-en	0	0	
27	REG_RST	0x0f	7	RESET				software reset
28	OTG_EN	0x0f	5	ALLOCATED_ONLY				
29	CHG_EN	0x0f	4	CHARGE_WRITE				charge-enable command
30	CHARGE_MODE	0x0f	3	ALLOCATED_ONLY				
31	ACDRV1_STAT	0x0f	1	ALLOCATED_ONLY				
32	ACDRV2_STAT	0x0f	0	ALLOCATED_ONLY				
33	FSW_SET	0x10	7:5	DT_INIT	sc,sc8571,fsw-set	4	4	300/350/400/450/500/550/600/750 kHz
34	WD_TIMEOUT	0x10	4:3	DT_INIT	sc,sc8571,wd-timeout	0	0	0.65/1.3/6.5/39 s
35	WD_TIMEOUT_DIS	0x10	2	DT_INIT	sc,sc8571,wd-timeout-dis	1	1	1 disables watchdog
36	IBAT_SNS_R	0x11	7	DT_INIT	sc,sc8571,ibat-sns-r	1	0	0=2 mohm, 1=5 mohm
37	SS_TIMEOUT	0x11	6:4	DT_INIT	sc,sc8571,ss-timeout	7	7	6.5/13/26/52/104/416/1600/13000 ms
38	IBUS_UCP_FALL_DG	0x11	3:2	DT_INIT	sc,sc8571,ibus-ucp-fall-dg	1	1	10 us/5 ms/50 ms/150 ms
39	VOUT_OVP_DIS	0x12	7	DT_INIT	sc,sc8571,vout-ovp-dis	1	1	boolean; 1 disables
40	VOUT_OVP	0x12	6:5	DT_INIT	sc,sc8571,vout-ovp	3	3	code 0..3 = 9.4/9.6/9.8/10.0 V
41	MS	0x12	1:0	ALLOCATED_ONLY				
42	CP_SWITCHING_STAT	0x17	6	STATUS_READ				read as charger enabled
43	VBUS_ERR_HI_STAT	0x17	4	ALLOCATED_ONLY				
44	VBUS_ERR_LO_STAT	0x17	3	STATUS_READ				read by is_vbuslowerr
45	DEVICE_ID	0x22	7:0	PROBE_ID				must equal 0x41
46	ADC_EN	0x23	7	ADC_GATE				toggled around each ADC read
47	ACDRV_MANUAL_EN	0x40	6	ALLOCATED_ONLY				
48	ACDRV1_EN	0x40	5	ALLOCATED_ONLY				
49	ACDRV2_EN	0x40	4	ALLOCATED_ONLY				
50	SS_TIMEOUT_DIS	0x41	7	DT_INIT	sc,sc8571,ss-timeout-dis	0	0	boolean; 1 disables
51	PMID2OUT_OVP_DIS	0x41	6	DT_INIT	sc,sc8571,pmid2out-ovp-dis	0	0	boolean; 1 disables
52	PMID2OUT_OVP	0x41	5	DT_INIT	sc,sc8571,pmid2out-ovp	7	7	125 mV + code*50 mV
53	VBUS_OVP_DIS	0x41	4	DT_INIT	sc,sc8571,vbus-ovp-dis	0	0	boolean; 1 disables
54	PMID2OUT_UVP	0x42	7:5	DT_INIT	sc,sc8571,pmid2out-uvp	7	7	50 mV + code*25 mV
55	PMID2OUT_UVP_DIS	0x42	4:2	DT_INIT	sc,sc8571,pmid2out-uvp-dis	0	0	boolean; 1 disables
56	PMID2OUT_UVP_FLAG	0x42	1	ALLOCATED_ONLY				
57	PMID2OUT_OVP_FLAG	0x42	0	ALLOCATED_ONLY				
