index	relocation_section	target_section	offset_hex	type	symbol	addend	info	symbol_value
0	.rela.text	.text	0x34	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	6dd	0000009500000113	0000000000000000
1	.rela.text	.text	0x38	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	6dd	0000009500000115	0000000000000000
2	.rela.text	.text	0x3c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	80f	0000009500000113	0000000000000000
3	.rela.text	.text	0x40	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	80f	0000009500000115	0000000000000000
4	.rela.text	.text	0x48	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	0	0000009500000113	0000000000000000
5	.rela.text	.text	0x4c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	0	0000009500000115	0000000000000000
6	.rela.text	.text	0x58	R_AARCH64_CALL26	_dev_err	0	0000009c0000011b	0000000000000000
7	.rela.text	.text	0x68	R_AARCH64_CALL26	devm_kmalloc	0	0000009d0000011b	0000000000000000
8	.rela.text	.text	0x80	R_AARCH64_ADR_PREL_PG_HI21	.rodata	100	0000008000000113	0000000000000000
9	.rela.text	.text	0x84	R_AARCH64_ADD_ABS_LO12_NC	.rodata	100	0000008000000115	0000000000000000
10	.rela.text	.text	0x94	R_AARCH64_CALL26	__devm_regmap_init_i2c	0	0000009e0000011b	0000000000000000
11	.rela.text	.text	0xa8	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	d4	0000009500000113	0000000000000000
12	.rela.text	.text	0xac	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	d4	0000009500000115	0000000000000000
13	.rela.text	.text	0xbc	R_AARCH64_ADR_PREL_PG_HI21	.rodata	248	0000008000000113	0000000000000000
14	.rela.text	.text	0xc0	R_AARCH64_ADD_ABS_LO12_NC	.rodata	248	0000008000000115	0000000000000000
15	.rela.text	.text	0xe0	R_AARCH64_CALL26	devm_regmap_field_alloc	0	0000009f0000011b	0000000000000000
16	.rela.text	.text	0x10c	R_AARCH64_CALL26	regmap_field_read	0	000000a00000011b	0000000000000000
17	.rela.text	.text	0x11c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	83c	0000009500000113	0000000000000000
18	.rela.text	.text	0x120	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	83c	0000009500000115	0000000000000000
19	.rela.text	.text	0x130	R_AARCH64_CALL26	_dev_err	0	0000009c0000011b	0000000000000000
20	.rela.text	.text	0x138	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	89e	0000009500000113	0000000000000000
21	.rela.text	.text	0x13c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	89e	0000009500000115	0000000000000000
