file_offset	section	section_offset	string
0x22ff	.text	0xc1f	T`2@
0x27f0	.text	0x1110	+ih8J
0x2b33	.text	0x1453	*Hih
0x2d9e	.text	0x16be	Y7?#
0x3540	.text	0x1e60	+ih8J
0x35f3	.text	0x1f13	*(yh
0x3640	.text	0x1f60	_eE??#
0x36a4	.text	0x1fc4	_eE??#
0x3760	.rodata	0x0	>3333333
0x3769	.rodata	0x9	3333
0x376e	.rodata	0xe	33333333333
0x377c	.rodata	0x1c	33333333333333333333
0x41c8	.modinfo	0x0	description=SC SC8571 Driver
0x41e5	.modinfo	0x1d	license=GPL v2
0x41f4	.modinfo	0x2c	author=South Chip <Aiden-yu@southchip.com>
0x421f	.modinfo	0x57	vermagic=6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64
0x4276	.modinfo	0xae	name=sc8571_charger
0x428a	.modinfo	0xc2	depends=charger_class
0x43f8	.data	0x158	sc,sc8571-standalone
0x44c0	.data	0x220	sc,sc8571-master
0x4588	.data	0x2e8	sc,sc8571-slave
0x4760	.rodata.str1.1	0x0	1.0.1_G
0x4768	.rodata.str1.1	0x8	sc,sc8571,ibat-ocp-alm
0x477f	.rodata.str1.1	0x1f	INT OCCURED
0x478c	.rodata.str1.1	0x2c	sc8571_is_vbuslowerr
0x47a1	.rodata.str1.1	0x41	sc,sc8571,vbus-in-range-dis
0x47bd	.rodata.str1.1	0x5d	sc8571 read %02x block failed %d
0x47df	.rodata.str1.1	0x7f	mtk_sc8571_reset_vbatovp_alarm
0x47fe	.rodata.str1.1	0x9e	sc,sc8571,vbus-ovp
0x4811	.rodata.str1.1	0xb1	sc,sc8571,ibus-ocp-dis
0x4828	.rodata.str1.1	0xc8	sc-cp-slave
0x4834	.rodata.str1.1	0xd4	Failed to initialize regmap
0x4851	.rodata.str1.1	0xf1	sc8571_get_adc_data
0x4865	.rodata.str1.1	0x105	sc8571_irq
0x4870	.rodata.str1.1	0x110	irq gpio not provided
0x4887	.rodata.str1.1	0x127	sc8571-standalone-irq
0x489d	.rodata.str1.1	0x13d	sc,sc8571,ibat-ocp-dis
0x48b9	.rodata.str1.1	0x159	sc,sc8571,vbat-ovp-alm-dis
0x48d4	.rodata.str1.1	0x174	sc,sc8571,pmid2out-ovp
0x48eb	.rodata.str1.1	0x18b	failed to request sc8571_irq
0x4909	.rodata.str1.1	0x1a9	sc8571_detect_device
0x491e	.rodata.str1.1	0x1be	sc8571,intr_gpio
0x492f	.rodata.str1.1	0x1cf	sc8571_set_batovp_th
0x4944	.rodata.str1.1	0x1e4	sc8571_set_vbusovp_alarm
0x495d	.rodata.str1.1	0x1fd	Resume successfully!
0x4973	.rodata.str1.1	0x213	3Fail class_create_file
0x498c	.rodata.str1.1	0x22c	%s failed to register psy
0x49a7	.rodata.str1.1	0x247	sc8571_enable_adc
0x49b9	.rodata.str1.1	0x259	sc8571-master-irq
0x49cb	.rodata.str1.1	0x26b	slave
0x49d1	.rodata.str1.1	0x271	sc8571 probe fail
0x49e4	.rodata.str1.1	0x284	sc8571_psy_register
0x49fb	.rodata.str1.1	0x29b	%s detect device fail
0x4a12	.rodata.str1.1	0x2b2	%s register irq fail(%d)
0x4a2d	.rodata.str1.1	0x2cd	3create class, err = %d
0x4a46	.rodata.str1.1	0x2e6	sc,sc8571,vac2-ovp
0x4a59	.rodata.str1.1	0x2f9	sc,sc8571,pmid2out-ovp-dis
0x4a74	.rodata.str1.1	0x314	sc-cp-standalone
0x4a85	.rodata.str1.1	0x325	disable
0x4a8d	.rodata.str1.1	0x32d	sc8571_set_busovp_th
0x4aa2	.rodata.str1.1	0x342	fastcharge_%d
0x4ab0	.rodata.str1.1	0x350	sc,sc8571,vout-ovp-dis
0x4ac7	.rodata.str1.1	0x367	no charger name
0x4ad8	.rodata.str1.1	0x378	enable
0x4adf	.rodata.str1.1	0x37f	failed to gpio_to_irq
0x4af6	.rodata.str1.1	0x396	sc8571_set_busocp_th
0x4b0b	.rodata.str1.1	0x3ab	sc,sc8571,ibat-ocp-alm-dis
0x4b26	.rodata.str1.1	0x3c6	sc,sc8571,ss-timeout-dis
0x4b3f	.rodata.str1.1	0x3df	sc,sc8571,pmid2out-uvp-dis
0x4b5a	.rodata.str1.1	0x3fa	sc8571
0x4b61	.rodata.str1.1	0x401	sc,sc8571,vbat-ovp-alm
0x4b78	.rodata.str1.1	0x418	sc,sc8571,vbus-ovp-alm
0x4b8f	.rodata.str1.1	0x42f	%s Failed to disable vbus in range(%d)
0x4bb7	.rodata.str1.1	0x457	%s:%d-%d
0x4bc0	.rodata.str1.1	0x460	chipid
0x4bc7	.rodata.str1.1	0x467	sc,sc8571,wd-timeout
0x4bdc	.rodata.str1.1	0x47c	can not read %s 
0x4bee	.rodata.str1.1	0x48e	%s power supply register successfully
0x4c15	.rodata.str1.1	0x4b5	sc8571_dump_reg
0x4c25	.rodata.str1.1	0x4c5	%s parse dt failed(%d)
0x4c3d	.rodata.str1.1	0x4dd	sc,sc8571,vac1-ovp
0x4c50	.rodata.str1.1	0x4f0	sc,sc8571,ibus-ucp-dis
0x4c67	.rodata.str1.1	0x507	%s reg[0x%02x] = 0x%02x
0x4c80	.rodata.str1.1	0x520	Suspend successfully!
0x4c96	.rodata.str1.1	0x536	%s: sc8571_buf=%s
0x4ca9	.rodata.str1.1	0x549	standalone
0x4cb7	.rodata.str1.1	0x557	%s not find SC8571, ID = 0x%02x
0x4cd8	.rodata.str1.1	0x578	registers
0x4ce2	.rodata.str1.1	0x582	sc,sc8571,ibat-ocp
0x4cf5	.rodata.str1.1	0x595	sc,sc8571,tsbat-flt-dis
0x4d0d	.rodata.str1.1	0x5ad	sc8571_charger_shutdown: sc8571_enable_adc
0x4d39	.rodata.str1.1	0x5d9	sc,sc8571,vbat-ovp
0x4d4c	.rodata.str1.1	0x5ec	sc,sc8571,vbus-pd-en
0x4d61	.rodata.str1.1	0x601	sc,sc8571,ibus-ocp
0x4d74	.rodata.str1.1	0x614	device tree match not found!
0x4d92	.rodata.str1.1	0x632	Reg[%.2X] = 0x%.2x
0x4da6	.rodata.str1.1	0x646	sc,sc8571,tsbus-flt-dis
0x4dbe	.rodata.str1.1	0x65e	gftk chg_dev_name : %s
0x4dd6	.rodata.str1.1	0x676	sc8571_check_charge_enabled
0x4df2	.rodata.str1.1	0x692	sc8571-slave-irq
0x4e03	.rodata.str1.1	0x6a3	%s init device failed(%d)
0x4e1e	.rodata.str1.1	0x6be	%s:%d
0x4e24	.rodata.str1.1	0x6c4	val[1]:%x, val[0]:%x
0x4e3d	.rodata.str1.1	0x6dd	%s (%s)
0x4e46	.rodata.str1.1	0x6e6	work mode is %s
0x4e57	.rodata.str1.1	0x6f7	sc,sc8571,vbat-ovp-dis
0x4e6e	.rodata.str1.1	0x70e	sc,sc8571,tdie-alm
0x4e81	.rodata.str1.1	0x721	sc,sc8571,ibus-ucp-fall-dg
0x4e9c	.rodata.str1.1	0x73c	sc,sc8571,vout-ovp
0x4eaf	.rodata.str1.1	0x74f	sc,sc8571,pmid2out-uvp
0x4ec6	.rodata.str1.1	0x766	sc8571_set_vbatovp_alarm
0x4edf	.rodata.str1.1	0x77f	sc,sc8571,vac1-pd-en
0x4ef4	.rodata.str1.1	0x794	sc,sc8571,wd-timeout-dis
0x4f0d	.rodata.str1.1	0x7ad	Fail to register charger!
0x4f28	.rodata.str1.1	0x7c8	request irq for irq=%d failed, ret =%d
0x4f50	.rodata.str1.1	0x7f0	mtk_sc8571_reset_vbusovp_alarm
0x4f6f	.rodata.str1.1	0x80f	sc8571_charger_probe
0x4f84	.rodata.str1.1	0x824	Fail to set work mode!
0x4f9c	.rodata.str1.1	0x83c	sc8571 read field %d fail: %d
0x4fbb	.rodata.str1.1	0x85b	sc,sc8571,tshut-dis
0x4fcf	.rodata.str1.1	0x86f	sc,sc8571,vac2-pd-en
0x4fe4	.rodata.str1.1	0x884	charger_name
0x4ff1	.rodata.str1.1	0x891	sc-cp-master
0x4ffe	.rodata.str1.1	0x89e	%s fail(%d)
0x500b	.rodata.str1.1	0x8ab	%x %x
0x5011	.rodata.str1.1	0x8b1	sc,sc8571,vbus-ovp-dis
0x5028	.rodata.str1.1	0x8c8	memcpy
0x502f	.rodata.str1.1	0x8cf	sc,sc8571,tsbat-flt
0x5043	.rodata.str1.1	0x8e3	sc,sc8571,ss-timeout
0x5058	.rodata.str1.1	0x8f8	fail to valid gpio : %d
0x5071	.rodata.str1.1	0x911	sc8571_init_device
0x5084	.rodata.str1.1	0x924	sc8571_chg
0x508f	.rodata.str1.1	0x92f	cannot allocate regmap field
0x50ad	.rodata.str1.1	0x94d	%s psy register failed(%d)
0x50c9	.rodata.str1.1	0x969	master
0x50d0	.rodata.str1.1	0x970	sc,sc8571,tsbus-flt
0x50e4	.rodata.str1.1	0x984	sc,sc8571,fsw-set
0x50f6	.rodata.str1.1	0x996	sc,sc8571,ibat-sns-r
0x510b	.rodata.str1.1	0x9ab	%s %d %d
0x5114	.rodata.str1.1	0x9b4	sc8571_set_batocp_th
0x5129	.rodata.str1.1	0x9c9	charger
0x5131	.rodata.str1.1	0x9d1	%s Failed to reset registers(%d)
0x5153	.rodata.str1.1	0x9f3	sc8571[%s] probe successfully!
0x5173	.rodata.str1.1	0xa13	POWER_SUPPLY_PROP_ONLINE: %s
0x5191	.rodata.str1.1	0xa31	sc8571_enable_charge
0x51a6	.rodata.str1.1	0xa46	sc,sc8571,vbus-ovp-alm-dis
0x51d0	.note.Linux	0xc	Linux
0x51e8	.note.Linux	0x24	Linux
0x5218	.gnu.linkonce.this_module	0x18	sc8571_charger
0x5648	__versions	0x8	i2c_register_driver
0x5688	__versions	0x48	i2c_del_driver
0x56c8	__versions	0x88	_dev_err
0x5708	__versions	0xc8	devm_kmalloc
0x5748	__versions	0x108	__devm_regmap_init_i2c
0x5788	__versions	0x148	devm_regmap_field_alloc
0x57c8	__versions	0x188	regmap_field_read
0x5808	__versions	0x1c8	devm_kfree
0x5848	__versions	0x208	sprintf
0x5888	__versions	0x248	device_create_file
0x58c8	__versions	0x288	of_match_node
0x5908	__versions	0x2c8	power_supply_unregister
0x5940	__versions	0x300	8]26
0x5948	__versions	0x308	charger_device_register
0x5988	__versions	0x348	_printk
0x59c8	__versions	0x388	__class_create
0x5a08	__versions	0x3c8	class_create_file_ns
0x5a48	__versions	0x408	__stack_chk_fail
0x5a88	__versions	0x448	_dev_info
0x5ac8	__versions	0x488	regmap_field_update_bits_base
0x5b08	__versions	0x4c8	of_property_read_variable_u32_array
0x5b48	__versions	0x508	of_get_named_gpio_flags
0x5b88	__versions	0x548	of_property_read_string
0x5bc8	__versions	0x588	msleep
0x5c08	__versions	0x5c8	devm_power_supply_register
0x5c48	__versions	0x608	gpio_request_one
0x5c88	__versions	0x648	gpio_to_desc
0x5cc8	__versions	0x688	gpiod_to_irq
0x5d08	__versions	0x6c8	devm_request_threaded_irq
0x5d48	__versions	0x708	irq_set_irq_wake
0x5d88	__versions	0x748	memset
0x5dc0	__versions	0x780	nJne
0x5dc8	__versions	0x788	snprintf
0x5e08	__versions	0x7c8	memcpy
0x5e48	__versions	0x808	regmap_read
0x5e88	__versions	0x848	fortify_panic
0x5ec8	__versions	0x888	sscanf
0x5f08	__versions	0x8c8	regmap_write
0x5f48	__versions	0x908	power_supply_get_drvdata
0x5f88	__versions	0x948	regmap_bulk_read
0x5fc8	__versions	0x988	power_supply_changed
0x6008	__versions	0x9c8	disable_irq
0x6048	__versions	0xa08	enable_irq
0x6088	__versions	0xa48	module_layout
0x96a9	.comment	0x1	Android (10087095, +pgo, +bolt, +lto, -mlgo, based on r487747c) clang version 17.0.2 (https://android.googlesource.com/toolchain/llvm-project d9f89f4d16663d5012e5c09495f3b30ece3d2362)
0x9a9e	.llvm_addrsig	0x6	!+.&'(*?BEHKNQTWZ]`cfjmpsvy|}
0xad69	.shstrtab	0x1	.note.gnu.property
0xad7c	.shstrtab	0x14	.note.Linux
0xad88	.shstrtab	0x20	.rela.exit.text
0xad98	.shstrtab	0x30	.rela.init.text
0xada8	.shstrtab	0x40	.hyp.text
0xadb2	.shstrtab	0x4a	.rela.text
0xadbd	.shstrtab	0x55	.comment
0xadc6	.shstrtab	0x5e	.init.plt
0xadd0	.shstrtab	0x68	.hyp.bss
0xadd9	.shstrtab	0x71	__versions
0xade4	.shstrtab	0x7c	.modinfo
0xaded	.shstrtab	0x85	.note.GNU-stack
