seq	offset	op	size	raw_hex	detail
0	0x0000	2	28	02aa3e18004011b210fe11b210fe11b210fe11b210fe010af0010bb8	WRITE addr=0x55 reg=0x3e len=24 data=004011b210fe11b210fe11b210fe11b210fe010af0010bb8
1	0x001c	4	4	04020002	WAIT ms=2 selector=2
2	0x0020	2	6	02aa6002bc1a	WRITE addr=0x55 reg=0x60 len=2 data=bc1a
3	0x0026	4	4	04020005	WAIT ms=5 selector=2
4	0x002a	2	25	02aa3e15164040740136b001c95001d12001f501511e51521e	WRITE addr=0x55 reg=0x3e len=21 data=164040740136b001c95001d12001f501511e51521e
5	0x0043	4	4	04020002	WAIT ms=2 selector=2
6	0x0047	2	6	02aa6002db17	WRITE addr=0x55 reg=0x60 len=2 data=db17
7	0x004d	4	4	04020005	WAIT ms=5 selector=2
8	0x0051	2	26	02aa3e1629400cef010cbd0d21010cef0aab010add09c50109f7	WRITE addr=0x55 reg=0x3e len=22 data=29400cef010cbd0d21010cef0aab010add09c50109f7
9	0x006b	4	4	04020002	WAIT ms=2 selector=2
10	0x006f	2	6	02aa60023b18	WRITE addr=0x55 reg=0x60 len=2 data=3b18
11	0x0075	4	4	04020005	WAIT ms=5 selector=2
12	0x0079	2	22	02aa3e123d4007d007080708000209c407d0d2f00002	WRITE addr=0x55 reg=0x3e len=18 data=3d4007d007080708000209c407d0d2f00002
13	0x008f	4	4	04020002	WAIT ms=2 selector=2
14	0x0093	2	6	02aa60022314	WRITE addr=0x55 reg=0x60 len=2 data=2314
15	0x0099	4	4	04020005	WAIT ms=5 selector=2
16	0x009d	2	28	02aa3e184d4004b00511e4010e74000a01f40a07081004000a01f40a	WRITE addr=0x55 reg=0x3e len=24 data=4d4004b00511e4010e74000a01f40a07081004000a01f40a
17	0x00b9	4	4	04020002	WAIT ms=2 selector=2
18	0x00bd	2	6	02aa60020c1a	WRITE addr=0x55 reg=0x60 len=2 data=0c1a
19	0x00c3	4	4	04020005	WAIT ms=5 selector=2
20	0x00c7	2	12	02aa3e086340009605ff6a05	WRITE addr=0x55 reg=0x3e len=8 data=6340009605ff6a05
21	0x00d3	4	4	04020002	WAIT ms=2 selector=2
22	0x00d7	2	6	02aa6002530a	WRITE addr=0x55 reg=0x60 len=2 data=530a
23	0x00dd	4	4	04020005	WAIT ms=5 selector=2
24	0x00e1	2	7	02aa3e0369400a	WRITE addr=0x55 reg=0x3e len=3 data=69400a
