function	section	offset	size	binding	visibility	kcfi_typeid_word	sha256
sh_fg_get_soc	.text	0x4	36	GLOBAL	DEFAULT	0x36b1c5a6	8b32d839f49655a8279358b4637cba6c308a0deaa3e379d793487ba9d7ec0025
sh_fg_get_vbat	.text	0x2c	36	GLOBAL	DEFAULT	0x36b1c5a6	255a750beacb8b804b2a5be74dfcac4c8e7c9cd7e24fb3f154edc47f7962125e
sh_fg_get_ibat	.text	0x54	36	GLOBAL	DEFAULT	0x36b1c5a6	69fbae4d1aeb9bd1dc47967eb7c09464eec951509297061e9bf0eb830165d4a4
sh_fg_get_tbat	.text	0x7c	36	GLOBAL	DEFAULT	0x36b1c5a6	00b547a636680c9eb42892ec3c666e4c5b83500ba6ee92be858a7e344ab6e0fd
file_decode_process	.text	0xa4	3052	GLOBAL	DEFAULT	0xd73ac971	eade9654e0315786a5a9ee5f114642dfa520c89a65435856b17bfdbcccd0b517
fg_gauge_unseal	.text	0xc90	660	LOCAL	DEFAULT	0x94000000	0d9b072ca92527dc259c052fadee279b762e3cc8285651d2ac36f1fdf143bea7
fg_gauge_seal	.text	0xf24	240	LOCAL	DEFAULT	0x94000000	5d8e80d0ec5152e139f785c7cc9f66d31c663dc907131cdb8f5f6f2b01e4adc0
hal_fg_init	.text	0x1018	340	GLOBAL	DEFAULT	0x0bcd4ce1	cc3a291c40fe38af56e404f2683e8955c2eb70fd637a4d6a9aaef0b05fdf8dcb
fg_read_sbs_word	.text	0x116c	560	LOCAL	DEFAULT	0x94000000	0f110bb043d93346392713840d82963adeedbf0e5bf79dc08246b41a1cdaa274
sh_fg_probe	.text	0x13a0	3236	LOCAL	DEFAULT	0x5ef138aa	2184db974651042a7d6c046bb02c0f1e93bd09df99ad87965a27dd6e81f81a20
sh_fg_remove	.text	0x2048	4	LOCAL	DEFAULT	0x8effdd6d	110f46b5b35c069160560c6ad6786f647dd44e8760a52a46fc22dbbcd7630b91
sh_fg_shutdown	.text	0x2050	64	LOCAL	DEFAULT	0x8effdd6d	f359ba98c36b99093dcf69fe2996ea46a17f779e6cd7e9438024450dc7409046
fg_read_SOC	.text	0x2090	216	LOCAL	DEFAULT	0x17fffff7	aff37691e2ef493efb2b31eaac03def41ad61bebf297e9560110e0f1cf734703
