symbol	provider_class	stock_modversion_crc
__class_create	kernel	0x0000000013f8371b
__const_udelay	kernel	0x00000000eae3dfd6
__mutex_init	kernel	0x00000000a571f6b0
__stack_chk_fail	kernel	0x00000000c2c193d2
_printk	kernel	0x0000000092997ed8
class_create_file_ns	kernel	0x000000007f96615d
delayed_work_timer_fn	kernel	0x00000000253af43d
devm_kmalloc	kernel	0x00000000d50f026e
devm_power_supply_register	kernel	0x00000000f58e113b
fuelgauge_fw_version	intermodule:yft_devinfo	0x000000008c280260
i2c_del_driver	kernel	0x00000000fee5be94
i2c_register_driver	kernel	0x0000000050f5d94e
i2c_smbus_read_word_data	kernel	0x00000000a3b92a99
i2c_smbus_write_word_data	kernel	0x00000000aed86104
i2c_transfer	kernel	0x00000000af50d612
init_timer_key	kernel	0x0000000079cf5987
memcpy	kernel	0x000000004829a47e
module_layout	kernel:implicit	0x00000000ea759d7f
msleep	kernel	0x00000000f9a482f9
mutex_lock	kernel	0x00000000d5977bfb
mutex_unlock	kernel	0x00000000ed55cabd
of_find_node_opts_by_path	kernel	0x00000000748c8ec0
of_get_property	kernel	0x000000009da9550a
power_supply_get_by_name	kernel	0x0000000060e98d99
power_supply_get_drvdata	kernel	0x00000000cf81c81f
power_supply_get_property	kernel	0x00000000d351924c
queue_delayed_work_on	kernel	0x00000000bf57e89e
simple_strtoul	kernel	0x0000000020000329
snprintf	kernel	0x00000000656e4a6e
sprintf	kernel	0x000000003c3ff9fd
sscanf	kernel	0x00000000bcab6ee6
strcmp	kernel	0x00000000e2d5255a
strncpy	kernel	0x000000009166fada
system_wq	kernel	0x000000002d3385d3
yft_fuelgauge_device_add	intermodule:yft_devinfo	0x00000000f5752941
yft_set_fuelgauge_device_used	intermodule:yft_devinfo	0x0000000082093a2e
