index	symbol	crc
0	strcmp	0x00000000e2d5255a
1	devm_kmalloc	0x00000000d50f026e
2	memcpy	0x000000004829a47e
3	snprintf	0x00000000656e4a6e
4	msleep	0x00000000f9a482f9
5	mutex_lock	0x00000000d5977bfb
6	i2c_transfer	0x00000000af50d612
7	mutex_unlock	0x00000000ed55cabd
8	_printk	0x0000000092997ed8
9	__stack_chk_fail	0x00000000c2c193d2
10	i2c_smbus_write_word_data	0x00000000aed86104
11	yft_fuelgauge_device_add	0x00000000f5752941
12	i2c_register_driver	0x0000000050f5d94e
13	i2c_del_driver	0x00000000fee5be94
14	i2c_smbus_read_word_data	0x00000000a3b92a99
15	__const_udelay	0x00000000eae3dfd6
16	__mutex_init	0x00000000a571f6b0
17	__class_create	0x0000000013f8371b
18	class_create_file_ns	0x000000007f96615d
19	fuelgauge_fw_version	0x000000008c280260
20	sprintf	0x000000003c3ff9fd
21	delayed_work_timer_fn	0x00000000253af43d
22	init_timer_key	0x0000000079cf5987
23	system_wq	0x000000002d3385d3
24	queue_delayed_work_on	0x00000000bf57e89e
25	yft_set_fuelgauge_device_used	0x0000000082093a2e
26	devm_power_supply_register	0x00000000f58e113b
27	power_supply_get_by_name	0x0000000060e98d99
28	power_supply_get_property	0x00000000d351924c
29	of_find_node_opts_by_path	0x00000000748c8ec0
30	of_get_property	0x000000009da9550a
31	sscanf	0x00000000bcab6ee6
32	strncpy	0x000000009166fada
33	simple_strtoul	0x0000000020000329
34	power_supply_get_drvdata	0x00000000cf81c81f
35	module_layout	0x00000000ea759d7f
