object	section	offset	size	binding	visibility	content_sha256_or_nobits
sinofs_afi_data	.rodata	0x35	2142	GLOBAL	DEFAULT	4888c5bc4b847ec6c118cd7bd334cbcffbf52c5fa2bf8f8660c3ac65e03359e1
__mod_of__sh_fg_match_table_device_table	.rodata	0x898	400	GLOBAL	DEFAULT	47a958154ae8e1d38de460e915b35bca2ee173052c623871f2634bd2b556a314
sh_fg_match_table	.rodata	0x898	400	LOCAL	DEFAULT	47a958154ae8e1d38de460e915b35bca2ee173052c623871f2634bd2b556a314
__mod_i2c__sh_fg_id_device_table	.rodata	0xa28	64	GLOBAL	DEFAULT	b3cf101401a98fb131fdf3a79d8bec9fb379c7ab5bfda4e698cc9135833be280
sh_fg_id	.rodata	0xa28	64	LOCAL	DEFAULT	b3cf101401a98fb131fdf3a79d8bec9fb379c7ab5bfda4e698cc9135833be280
sh366003_regs	.rodata	0xa68	64	LOCAL	DEFAULT	bcc6f87ba86185d60658020383dc63f8c42ca33e9c325e3ee24a89507f805dff
fg_sh366003_log	.data	0x0	1	GLOBAL	DEFAULT	4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a
device2str	.data	0x8	8	GLOBAL	DEFAULT	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc
sh_fg_driver	.data	0x10	280	LOCAL	DEFAULT	1f6c9de2e555d5d589e1149fed58f9cbcc101739df97d4a4d694a13f1242c5b9
class_attr_sh_fg	.data	0x128	352	LOCAL	DEFAULT	978a534c02d02c34be8c38fcd938544ee34404aff55c027bb576b0cc0eeabc43
sh_fg_battery_props	.data	0x288	40	LOCAL	DEFAULT	f197692d463a2b4933b3fd460522f2c56f22f432c74a38a479cf2b4a5ea91809
sh_fg_supplied_from	.data	0x2b0	24	LOCAL	DEFAULT	9d908ecfb6b256def8b49a7c504e6c889c4b0e41fe6ce3e01863dd7b61a20aa0
g_sm	.bss	0x0	8	GLOBAL	DEFAULT	NOBITS
fg_decode_iic_read.msg	.bss	0x8	32	LOCAL	DEFAULT	NOBITS
fg_decode_iic_write.msg	.bss	0x28	16	LOCAL	DEFAULT	NOBITS
fg_decode_iic_write.write_buf	.bss	0x38	160	LOCAL	DEFAULT	NOBITS
sh_fg_probe.__key	.bss	0xd8	1	LOCAL	DEFAULT	NOBITS
sh_fg_probe.__key.57	.bss	0xd9	1	LOCAL	DEFAULT	NOBITS
sh_fg_probe.__key.59	.bss	0xda	1	LOCAL	DEFAULT	NOBITS
sh_fg_probe.__key.61	.bss	0xdb	1	LOCAL	DEFAULT	NOBITS
sh_fg_probe.__key.63	.bss	0xdc	1	LOCAL	DEFAULT	NOBITS
chipid	.bss	0xe0	2	LOCAL	DEFAULT	NOBITS
sh_fg_probe.__key.66	.bss	0xe2	1	LOCAL	DEFAULT	NOBITS
sh_fg_class	.bss	0xe8	8	LOCAL	DEFAULT	NOBITS
__fg_write_buffer.msg	.bss	0xf0	16	LOCAL	DEFAULT	NOBITS
__fg_write_buffer.write_buf	.bss	0x100	160	LOCAL	DEFAULT	NOBITS
__fg_read_buffer.msg	.bss	0x1a0	32	LOCAL	DEFAULT	NOBITS
online_val	.bss	0x1c0	4	LOCAL	DEFAULT	NOBITS
__UNIQUE_ID___addressable_init_module455	.init.data	0x0	8	LOCAL	DEFAULT	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc
__UNIQUE_ID___addressable_cleanup_module456	.exit.data	0x0	8	LOCAL	DEFAULT	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc
__UNIQUE_ID_description457	.modinfo	0x0	37	LOCAL	DEFAULT	6680732d1b1c4406495039b3c63e5736f269659c4195c2a49a80f9556e44367b
__UNIQUE_ID_license458	.modinfo	0x25	15	LOCAL	DEFAULT	76172709a064138222d1d93d09d955f77e3047a3e0c2bd1f63d9aa6d2e49baa7
__UNIQUE_ID_author459	.modinfo	0x34	18	LOCAL	DEFAULT	3c2a333f33a1c13dd52319e8ff364ee827d4a5a82c9a9501d62d35d7cc2bda18
__UNIQUE_ID_vermagic333	.modinfo	0x46	87	LOCAL	DEFAULT	574a8c3d80b08e2a7f9620b27149961828001ed75f7689edef6f9e00b0ef67c9
__UNIQUE_ID_name334	.modinfo	0x9d	17	LOCAL	DEFAULT	ed4cc1aa41b67aa93f9c16e94146133b56c951e1bbc2cc9583867c122adae5ba
__UNIQUE_ID_depends335	.modinfo	0xae	20	LOCAL	DEFAULT	e1ad43ff5f49e6b01abad164029ad2ac0f4d470207aa0afc43b6726d48bf0aa2
__UNIQUE_ID_alias336	.modinfo	0xc2	26	LOCAL	DEFAULT	dcf7e18f1a23c775153cdb67e6f393f1696a78bc4017c20650d53f50e95be8a8
__UNIQUE_ID_alias337	.modinfo	0xdc	28	LOCAL	DEFAULT	30fa85366f17eb2dd8651c317e4cb1423382b1ba50013ec3fd2071435558fd94
__UNIQUE_ID_alias338	.modinfo	0xf8	19	LOCAL	DEFAULT	325154f2e80531579ea54a3247bff0593625dfc624a4f5834b52a1ae2d6ecdfe
_note_9	.note.Linux	0x0	24	LOCAL	DEFAULT	46c938f9cda347c4bb680e1bd9fdaddc9b6e917739785b1baad69e851b2f9de3
_note_10	.note.Linux	0x18	24	LOCAL	DEFAULT	f50d12dbcecdbd59ca68819b1f403f495da5160b18fd94e48a918fd6d360972c
__this_module	.gnu.linkonce.this_module	0x0	1088	GLOBAL	DEFAULT	054bf721dea9b72aeb3bada5a8e288cf342e9ad8c81ecf8008d7120cfd33bc08
____versions	__versions	0x0	2304	LOCAL	DEFAULT	64bb66ac5b497fb37c42bfeb05841ca859b451f11179fdcfe38a41e6a7812d1c
