relocation_section	offset	info	type	symbol_value	symbol_expression
.rela.text	0x0000000000000004	0000009c00000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	g_sm + 0
.rela.text	0x000000000000000c	0000009c0000011e	R_AARCH64_LDST64_ABS_LO12_NC	0x0000000000000000	g_sm + 0
.rela.text	0x000000000000002c	0000009c00000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	g_sm + 0
.rela.text	0x0000000000000034	0000009c0000011e	R_AARCH64_LDST64_ABS_LO12_NC	0x0000000000000000	g_sm + 0
.rela.text	0x0000000000000054	0000009c00000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	g_sm + 0
.rela.text	0x000000000000005c	0000009c0000011e	R_AARCH64_LDST64_ABS_LO12_NC	0x0000000000000000	g_sm + 0
.rela.text	0x000000000000007c	0000009c00000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	g_sm + 0
.rela.text	0x0000000000000084	0000009c0000011e	R_AARCH64_LDST64_ABS_LO12_NC	0x0000000000000000	g_sm + 0
.rela.text	0x00000000000000dc	000000a100000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x00000000000000ec	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x0000000000000104	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 1ef2
.rela.text	0x0000000000000108	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 1ef2
.rela.text	0x0000000000000110	000000a20000011b	R_AARCH64_CALL26	0x0000000000000000	strcmp + 0
.rela.text	0x0000000000000120	000000a100000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x0000000000000124	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x0000000000000174	000000a100000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x000000000000017c	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x0000000000000190	000000a30000011b	R_AARCH64_CALL26	0x0000000000000000	devm_kmalloc + 0
.rela.text	0x00000000000001a4	000000a30000011b	R_AARCH64_CALL26	0x0000000000000000	devm_kmalloc + 0
.rela.text	0x00000000000001b4	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 1ef2
.rela.text	0x00000000000001b8	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 1ef2
.rela.text	0x00000000000001c0	000000a20000011b	R_AARCH64_CALL26	0x0000000000000000	strcmp + 0
.rela.text	0x00000000000001c4	000000a100000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x00000000000001cc	000000a400000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000035	sinofs_afi_data + 0
.rela.text	0x00000000000001d0	000000a400000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000035	sinofs_afi_data + 0
.rela.text	0x00000000000001dc	000000a50000011b	R_AARCH64_CALL26	0x0000000000000000	memcpy + 0
.rela.text	0x00000000000001e0	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x00000000000001f4	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x0000000000000204	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x0000000000000214	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 854
.rela.text	0x0000000000000218	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 854
.rela.text	0x0000000000000228	000000a60000011b	R_AARCH64_CALL26	0x0000000000000000	snprintf + 0
.rela.text	0x000000000000022c	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x0000000000000240	0000008200000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.bss + 8
.rela.text	0x0000000000000244	0000008200000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.bss + 8
.rela.text	0x0000000000000278	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x0000000000000288	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 854
.rela.text	0x000000000000028c	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 854
.rela.text	0x00000000000002c8	000000a60000011b	R_AARCH64_CALL26	0x0000000000000000	snprintf + 0
