side	symbol	crc
stock_only	destroy_workqueue	0x8c03d20c
stock_only	device_property_present	0xd4b590ed
stock_only	devm_gpiod_put	0xa8cb2b21
stock_only	of_property_read_variable_u32_array	0x94a3f9c7
stock_only	pm_wakeup_ws_event	0x43b33a8d
stock_only	wakeup_source_register	0x8be45c3b
stock_only	wakeup_source_unregister	0xb511937b
rebuilt_only	device_set_wakeup_capable	0x490c3055
rebuilt_only	device_wakeup_enable	0x088b197f
rebuilt_only	pm_wakeup_dev_event	0x2fc1eba5
rebuilt_only	sysfs_create_file_ns	0x8a1b623e
