function	stock_size	rebuild_size	stock_kcfi	rebuild_kcfi	stock_hash	rebuild_hash	external_calls	internal_calls	hardware_constants	dt_strings	cfg_classification	size_identical	byte_identical	residual_explanation
cleanup_module	36	36	0c6740a5	0c6740a5	022d1f8a88b2242b9938288dcd07f975c12b83337276f60e60d743f109a21c2c	022d1f8a88b2242b9938288dcd07f975c12b83337276f60e60d743f109a21c2c	platform_driver_unregister	none	none embedded; generic/DT-driven	none	LINEAR	yes	yes	none
init_module	44	44	a6c5b136	a6c5b136	ff9303db890b8fae1b9f25d240117ffd0ea07d1648399b990fcb6cb6e881a69d	ff9303db890b8fae1b9f25d240117ffd0ea07d1648399b990fcb6cb6e881a69d	__platform_driver_register	none	none embedded; generic/DT-driven	none	LINEAR	yes	yes	none
gpio_keys_probe	2096	2096	9116df63	9116df63	ccca82d225fe91c629ac69ab50902acb5e085ceb4b63358cd00dc5b20f6471e4	ccca82d225fe91c629ac69ab50902acb5e085ceb4b63358cd00dc5b20f6471e4	devm_kmalloc,devm_input_allocate_device,__mutex_init,device_get_next_child_node,devm_fwnode_gpiod_get_index,devm_gpio_request_one,gpio_to_desc,gpiod_is_active_low,gpiod_set_debounce,gpiod_cansleep,gpiod_to_irq,init_timer_key,hrtimer_init,input_set_capability,devm_add_action,devm_request_any_context_irq,_dev_err,device_get_child_node_count,device_property_present,device_property_read_string,irq_of_parse_and_map,fwnode_property_read_u32_array,fwnode_property_read_string,fwnode_property_present,fwnode_handle_put,input_register_device,device_set_wakeup_capable,device_wakeup_enable,device_wakeup_disable	none	DT-driven; default debounce 16 ms; IRQ EDGE_RISING|EDGE_FALLING|SHARED	autorepeat,label,linux,code,linux,input-type,wakeup-source,gpio-key,wakeup,wakeup-event-action,linux,can-disable,debounce-interval	BRANCHING(43)	yes	yes	none
gpio_keys_shutdown	68	68	56f06ea7	56f06ea7	21117a1ed52ac191946bea47684456585170344b30d4e100c15938a79439214e	21117a1ed52ac191946bea47684456585170344b30d4e100c15938a79439214e	_dev_err	gpio_keys_suspend	none embedded; generic/DT-driven	none	BRANCHING(1)	yes	yes	none
gpio_keys_open	192	192	b53ef654	b53ef654	2e127519af4b17ee63360f3be79968633e9c8768839a9b1519a75c79fedbe3b3	2e127519af4b17ee63360f3be79968633e9c8768839a9b1519a75c79fedbe3b3	input_event	gpio_keys_gpio_report_event	none embedded; generic/DT-driven	none	BRANCHING(6)	yes	yes	none
gpio_keys_close	72	72	1d3e81a2	1d3e81a2	65f4d4c8a0f5b3c5e93b5a09eb57f9c192b0836b0efdaabd8a7ce6323cee30dd	65f4d4c8a0f5b3c5e93b5a09eb57f9c192b0836b0efdaabd8a7ce6323cee30dd	none	none	none embedded; generic/DT-driven	none	BRANCHING(2)	yes	yes	none
gpio_keys_gpio_report_event	300	300	c0035fd6	c0035fd6	16408d892dec27b2b058f2420213930f673ef46def8f1bfc59d47d06f3eb0024	16408d892dec27b2b058f2420213930f673ef46def8f1bfc59d47d06f3eb0024	gpiod_get_value_cansleep,_printk,input_event,gpiod_get_value,_dev_err,irq_set_irq_type	none	IRQ_TYPE_EDGE_RISING=1; IRQ_TYPE_EDGE_FALLING=2	none (resolved button data)	BRANCHING(6)	yes	yes	none
gpio_keys_gpio_work_func	96	96	b60160b8	b60160b8	9055db728e4d0c85684f9eed3ee24ec269af90e6274cefa6effd8c0bac36f6a8	9055db728e4d0c85684f9eed3ee24ec269af90e6274cefa6effd8c0bac36f6a8	input_event,pm_relax,enable_irq	gpio_keys_gpio_report_event	none embedded; generic/DT-driven	none	BRANCHING(1)	yes	yes	none
gpio_keys_debounce_timer	100	100	a1bbc172	a1bbc172	8aac33d534a0e43c191efa05aa55e0d9866b360c66bad707488b2a43f02f30d6	8aac33d534a0e43c191efa05aa55e0d9866b360c66bad707488b2a43f02f30d6	input_event,pm_relax,enable_irq	gpio_keys_gpio_report_event	none embedded; generic/DT-driven	none	BRANCHING(1)	yes	yes	none
gpio_keys_gpio_isr	216	216	f6050ff9	f6050ff9	5add2ec7d61559d71d2efd9e66e44788ad9bea3bd7d2a10092d6c90f56a7b3fd	5add2ec7d61559d71d2efd9e66e44788ad9bea3bd7d2a10092d6c90f56a7b3fd	disable_irq_nosync,pm_stay_awake,input_event,hrtimer_start_range_ns,__msecs_to_jiffies,mod_delayed_work_on	none	software debounce ms x 1000000 ns; disable_irq_nosync	none	BRANCHING(5)	yes	yes	none
gpio_keys_irq_timer	100	100	a1bbc172	a1bbc172	26bc4fe20edd55804a2be66da494b69be688c43da8a229611301c62e56b0d592	26bc4fe20edd55804a2be66da494b69be688c43da8a229611301c62e56b0d592	input_event	none	none embedded; generic/DT-driven	none	BRANCHING(1)	yes	yes	none
