function	section	offset	size	binding	kcfi_id_le	sha256
cleanup_module	.exit.text	0x4	36	GLOBAL	0c6740a5	022d1f8a88b2242b9938288dcd07f975c12b83337276f60e60d743f109a21c2c
init_module	.init.text	0x4	44	GLOBAL	a6c5b136	ff9303db890b8fae1b9f25d240117ffd0ea07d1648399b990fcb6cb6e881a69d
gpio_keys_probe	.text	0x4	2096	LOCAL	9116df63	ccca82d225fe91c629ac69ab50902acb5e085ceb4b63358cd00dc5b20f6471e4
gpio_keys_shutdown	.text	0x838	68	LOCAL	56f06ea7	21117a1ed52ac191946bea47684456585170344b30d4e100c15938a79439214e
gpio_keys_open	.text	0x880	192	LOCAL	b53ef654	2e127519af4b17ee63360f3be79968633e9c8768839a9b1519a75c79fedbe3b3
gpio_keys_close	.text	0x944	72	LOCAL	1d3e81a2	65f4d4c8a0f5b3c5e93b5a09eb57f9c192b0836b0efdaabd8a7ce6323cee30dd
gpio_keys_gpio_report_event	.text	0x98c	300	LOCAL	c0035fd6	16408d892dec27b2b058f2420213930f673ef46def8f1bfc59d47d06f3eb0024
gpio_keys_gpio_work_func	.text	0xabc	96	LOCAL	b60160b8	9055db728e4d0c85684f9eed3ee24ec269af90e6274cefa6effd8c0bac36f6a8
gpio_keys_debounce_timer	.text	0xb20	100	LOCAL	a1bbc172	8aac33d534a0e43c191efa05aa55e0d9866b360c66bad707488b2a43f02f30d6
gpio_keys_gpio_isr	.text	0xb88	216	LOCAL	f6050ff9	5add2ec7d61559d71d2efd9e66e44788ad9bea3bd7d2a10092d6c90f56a7b3fd
gpio_keys_irq_timer	.text	0xc64	100	LOCAL	a1bbc172	26bc4fe20edd55804a2be66da494b69be688c43da8a229611301c62e56b0d592
gpio_keys_irq_isr	.text	0xccc	292	LOCAL	f6050ff9	edf969c600ff3555b584d9aaa8da9921a0cebf9c57da4627c31baa9d689dcb17
gpio_keys_quiesce_key	.text	0xdf4	72	LOCAL	fceb88a4	a0d8b6ca0d8d471ceabaa64141fb3a493af88118c3e2175d0a38df20f9925084
gpio_keys_suspend	.text	0xe40	532	LOCAL	5f65453f	8a0d59a72223c22c65163b5f52622f1595cb66bec1b9bdbc903001162924c6d3
gpio_keys_show_keys	.text	0x1058	44	LOCAL	5cc243df	512047d551afe076c96b049a1b7598346144d7d7fe296adf0e78401787b87f14
gpio_keys_attr_show_helper	.text	0x1084	300	LOCAL	c0035fd6	3593070c7f05826453605cf6758291118cd963fadba34006f8ec7d141327df1c
gpio_keys_show_switches	.text	0x11b4	44	LOCAL	5cc243df	bbd0148d6e7a160bdb0af5061d4f6c62345f246b165d48c98b304391b1cb20ee
gpio_keys_show_disabled_keys	.text	0x11e4	44	LOCAL	5cc243df	8c03c5b4eb34e0197954f0550b08acf6a85c1cf5e0caf149dd379204e047a5fa
gpio_keys_store_disabled_keys	.text	0x1214	60	LOCAL	07baa895	5c21ae4f239a17aa642db79c76823e5246f325b8996cbf47caf6374361e4775d
gpio_keys_attr_store_helper	.text	0x1250	528	LOCAL	c0035fd6	8455500f0fda457ab8485ae769ba7ca3db18b286cc42f464339603185fbf3a19
gpio_keys_show_disabled_switches	.text	0x1464	44	LOCAL	5cc243df	76391adab1fe3cf7fcea2b98d297fc7eee13c66e6ca212d2facceca1da9013b6
gpio_keys_store_disabled_switches	.text	0x1494	60	LOCAL	07baa895	bae339d7dacba5d95945b0c8dacf40fbf16d37fc4a3c76c064d0992697915fd2
gpio_keys_resume	.text	0x14d4	568	LOCAL	5f65453f	9eb2eb31adc026f48777d0b92edfd88b34bd9dc9b51620030c1f763cf936068a
