symbol	stock_crc	rebuild_crc	presence	crc_match	status
__bitmap_subset	0x3221df67	0x3221df67	shared	yes	EXACT
__msecs_to_jiffies	0x7f02188f	0x7f02188f	shared	yes	EXACT
__mutex_init	0xa571f6b0	0xa571f6b0	shared	yes	EXACT
__platform_driver_register	0x894c433a	0x894c433a	shared	yes	EXACT
_dev_err	0xf27ed00b	0xf27ed00b	shared	yes	EXACT
_dev_warn	0x0f55bd9b	0x0f55bd9b	shared	yes	EXACT
_printk	0x92997ed8	0x92997ed8	shared	yes	EXACT
_raw_spin_lock_irqsave	0x34db050b	0x34db050b	shared	yes	EXACT
_raw_spin_unlock_irqrestore	0xd35cce70	0xd35cce70	shared	yes	EXACT
bitmap_alloc	0x020dbf27	0x020dbf27	shared	yes	EXACT
bitmap_free	0xca21ebd3	0xca21ebd3	shared	yes	EXACT
bitmap_parselist	0x1b015d25	0x1b015d25	shared	yes	EXACT
bitmap_zalloc	0x2688ec10	0x2688ec10	shared	yes	EXACT
cancel_delayed_work_sync	0xf8beca97	0xf8beca97	shared	yes	EXACT
delayed_work_timer_fn	0x253af43d	0x253af43d	shared	yes	EXACT
device_get_child_node_count	0xd337280d	0xd337280d	shared	yes	EXACT
device_get_next_child_node	0xe570c27d	0xe570c27d	shared	yes	EXACT
device_property_present	0xd4b590ed	0xd4b590ed	shared	yes	EXACT
device_property_read_string	0x4f49d69f	0x4f49d69f	shared	yes	EXACT
device_set_wakeup_capable	0x490c3055	0x490c3055	shared	yes	EXACT
device_wakeup_disable	0x1c7ea990	0x1c7ea990	shared	yes	EXACT
device_wakeup_enable	0x088b197f	0x088b197f	shared	yes	EXACT
devm_add_action	0xe6fe2896	0xe6fe2896	shared	yes	EXACT
devm_fwnode_gpiod_get_index	0x92ce209d	0x92ce209d	shared	yes	EXACT
devm_gpio_request_one	0xc4a21586	0xc4a21586	shared	yes	EXACT
devm_input_allocate_device	0x3819137b	0x3819137b	shared	yes	EXACT
devm_kmalloc	0xd50f026e	0xd50f026e	shared	yes	EXACT
devm_request_any_context_irq	0xf62dc15f	0xf62dc15f	shared	yes	EXACT
disable_irq	0x3ce4ca6f	0x3ce4ca6f	shared	yes	EXACT
disable_irq_nosync	0x27bbf221	0x27bbf221	shared	yes	EXACT
enable_irq	0xfcec0987	0xfcec0987	shared	yes	EXACT
fwnode_handle_put	0xf4671bb6	0xf4671bb6	shared	yes	EXACT
fwnode_property_present	0x002bfa87	0x002bfa87	shared	yes	EXACT
fwnode_property_read_string	0x315e0775	0x315e0775	shared	yes	EXACT
fwnode_property_read_u32_array	0x9e786eb6	0x9e786eb6	shared	yes	EXACT
gpio_to_desc	0x0ec43f6f	0x0ec43f6f	shared	yes	EXACT
gpiod_cansleep	0x937449ad	0x937449ad	shared	yes	EXACT
gpiod_get_value	0xf0d7ec79	0xf0d7ec79	shared	yes	EXACT
gpiod_get_value_cansleep	0x5a83086b	0x5a83086b	shared	yes	EXACT
gpiod_is_active_low	0x8ae29508	0x8ae29508	shared	yes	EXACT
gpiod_set_debounce	0xc0823667	0xc0823667	shared	yes	EXACT
gpiod_to_irq	0xe46623a3	0xe46623a3	shared	yes	EXACT
hrtimer_cancel	0xcc69bd8c	0xcc69bd8c	shared	yes	EXACT
hrtimer_init	0x3ebd5214	0x3ebd5214	shared	yes	EXACT
hrtimer_start_range_ns	0x939fc2ef	0x939fc2ef	shared	yes	EXACT
init_timer_key	0x79cf5987	0x79cf5987	shared	yes	EXACT
input_device_enabled	0x4e243813	0x4e243813	shared	yes	EXACT
input_event	0x4d18d895	0x4d18d895	shared	yes	EXACT
input_register_device	0x7ce217c7	0x7ce217c7	shared	yes	EXACT
input_set_capability	0xcbcf985f	0xcbcf985f	shared	yes	EXACT
irq_get_irq_data	0x29211c93	0x29211c93	shared	yes	EXACT
irq_of_parse_and_map	0xe416cf51	0xe416cf51	shared	yes	EXACT
irq_set_irq_type	0x0bc477a2	0x0bc477a2	shared	yes	EXACT
irq_set_irq_wake	0xce2840e7	0xce2840e7	shared	yes	EXACT
mod_delayed_work_on	0xc4f47221	0xc4f47221	shared	yes	EXACT
module_layout	0xea759d7f	0xea759d7f	shared	yes	EXACT
mutex_lock	0xd5977bfb	0xd5977bfb	shared	yes	EXACT
mutex_unlock	0xed55cabd	0xed55cabd	shared	yes	EXACT
of_fwnode_ops	0xd36b1bfe	0xd36b1bfe	shared	yes	EXACT
platform_driver_unregister	0xe1b15563	0xe1b15563	shared	yes	EXACT
pm_relax	0xf28b90d8	0xf28b90d8	shared	yes	EXACT
pm_stay_awake	0xe088ef99	0xe088ef99	shared	yes	EXACT
pm_wakeup_dev_event	0x2fc1eba5	0x2fc1eba5	shared	yes	EXACT
scnprintf	0x96848186	0x96848186	shared	yes	EXACT
system_wq	0x2d3385d3	0x2d3385d3	shared	yes	EXACT
