symbol	crc	elf_undefined_symbol	provider_class
__platform_driver_register	0x894c433a	yes	GKI kernel
platform_driver_unregister	0xe1b15563	yes	GKI kernel
devm_kmalloc	0xd50f026e	yes	GKI kernel
devm_input_allocate_device	0x3819137b	yes	GKI kernel
__mutex_init	0xa571f6b0	yes	GKI kernel
device_get_next_child_node	0xe570c27d	yes	GKI kernel
devm_fwnode_gpiod_get_index	0x92ce209d	yes	GKI kernel
devm_gpio_request_one	0xc4a21586	yes	GKI kernel
gpio_to_desc	0x0ec43f6f	yes	GKI kernel
gpiod_is_active_low	0x8ae29508	yes	GKI kernel
gpiod_set_debounce	0xc0823667	yes	GKI kernel
gpiod_cansleep	0x937449ad	yes	GKI kernel
gpiod_to_irq	0xe46623a3	yes	GKI kernel
delayed_work_timer_fn	0x253af43d	yes	GKI kernel
init_timer_key	0x79cf5987	yes	GKI kernel
hrtimer_init	0x3ebd5214	yes	GKI kernel
input_set_capability	0xcbcf985f	yes	GKI kernel
devm_add_action	0xe6fe2896	yes	GKI kernel
devm_request_any_context_irq	0xf62dc15f	yes	GKI kernel
_dev_err	0xf27ed00b	yes	GKI kernel
device_get_child_node_count	0xd337280d	yes	GKI kernel
device_property_present	0xd4b590ed	yes	GKI kernel
device_property_read_string	0x4f49d69f	yes	GKI kernel
of_fwnode_ops	0xd36b1bfe	yes	GKI kernel
irq_of_parse_and_map	0xe416cf51	yes	GKI kernel
fwnode_property_read_u32_array	0x9e786eb6	yes	GKI kernel
fwnode_property_read_string	0x315e0775	yes	GKI kernel
fwnode_property_present	0x002bfa87	yes	GKI kernel
fwnode_handle_put	0xf4671bb6	yes	GKI kernel
input_register_device	0x7ce217c7	yes	GKI kernel
device_set_wakeup_capable	0x490c3055	yes	GKI kernel
device_wakeup_enable	0x088b197f	yes	GKI kernel
device_wakeup_disable	0x1c7ea990	yes	GKI kernel
input_event	0x4d18d895	yes	GKI kernel
gpiod_get_value_cansleep	0x5a83086b	yes	GKI kernel
_printk	0x92997ed8	yes	GKI kernel
gpiod_get_value	0xf0d7ec79	yes	GKI kernel
irq_set_irq_type	0x0bc477a2	yes	GKI kernel
pm_relax	0xf28b90d8	yes	GKI kernel
enable_irq	0xfcec0987	yes	GKI kernel
disable_irq_nosync	0x27bbf221	yes	GKI kernel
pm_stay_awake	0xe088ef99	yes	GKI kernel
hrtimer_start_range_ns	0x939fc2ef	yes	GKI kernel
system_wq	0x2d3385d3	yes	GKI kernel
__msecs_to_jiffies	0x7f02188f	yes	GKI kernel
mod_delayed_work_on	0xc4f47221	yes	GKI kernel
_raw_spin_lock_irqsave	0x34db050b	yes	GKI kernel
pm_wakeup_dev_event	0x2fc1eba5	yes	GKI kernel
_raw_spin_unlock_irqrestore	0xd35cce70	yes	GKI kernel
hrtimer_cancel	0xcc69bd8c	yes	GKI kernel
cancel_delayed_work_sync	0xf8beca97	yes	GKI kernel
irq_set_irq_wake	0xce2840e7	yes	GKI kernel
mutex_lock	0xd5977bfb	yes	GKI kernel
input_device_enabled	0x4e243813	yes	GKI kernel
mutex_unlock	0xed55cabd	yes	GKI kernel
_dev_warn	0x0f55bd9b	yes	GKI kernel
bitmap_zalloc	0x2688ec10	yes	GKI kernel
scnprintf	0x96848186	yes	GKI kernel
bitmap_free	0xca21ebd3	yes	GKI kernel
bitmap_alloc	0x020dbf27	yes	GKI kernel
bitmap_parselist	0x1b015d25	yes	GKI kernel
__bitmap_subset	0x3221df67	yes	GKI kernel
disable_irq	0x3ce4ca6f	yes	GKI kernel
irq_get_irq_data	0x29211c93	yes	GKI kernel
module_layout	0xea759d7f	version-only	GKI kernel
