symbol	crc	versions_offset
__platform_driver_register	0x894c433a	0x0
platform_driver_unregister	0xe1b15563	0x40
devm_kmalloc	0xd50f026e	0x80
devm_input_allocate_device	0x3819137b	0xc0
__mutex_init	0xa571f6b0	0x100
device_get_next_child_node	0xe570c27d	0x140
devm_fwnode_gpiod_get_index	0x92ce209d	0x180
devm_gpio_request_one	0xc4a21586	0x1c0
gpio_to_desc	0x0ec43f6f	0x200
gpiod_is_active_low	0x8ae29508	0x240
gpiod_set_debounce	0xc0823667	0x280
gpiod_cansleep	0x937449ad	0x2c0
gpiod_to_irq	0xe46623a3	0x300
delayed_work_timer_fn	0x253af43d	0x340
init_timer_key	0x79cf5987	0x380
hrtimer_init	0x3ebd5214	0x3c0
input_set_capability	0xcbcf985f	0x400
devm_add_action	0xe6fe2896	0x440
devm_request_any_context_irq	0xf62dc15f	0x480
_dev_err	0xf27ed00b	0x4c0
device_get_child_node_count	0xd337280d	0x500
device_property_present	0xd4b590ed	0x540
device_property_read_string	0x4f49d69f	0x580
of_fwnode_ops	0xd36b1bfe	0x5c0
irq_of_parse_and_map	0xe416cf51	0x600
fwnode_property_read_u32_array	0x9e786eb6	0x640
fwnode_property_read_string	0x315e0775	0x680
fwnode_property_present	0x002bfa87	0x6c0
fwnode_handle_put	0xf4671bb6	0x700
input_register_device	0x7ce217c7	0x740
device_set_wakeup_capable	0x490c3055	0x780
device_wakeup_enable	0x088b197f	0x7c0
device_wakeup_disable	0x1c7ea990	0x800
input_event	0x4d18d895	0x840
gpiod_get_value_cansleep	0x5a83086b	0x880
_printk	0x92997ed8	0x8c0
gpiod_get_value	0xf0d7ec79	0x900
irq_set_irq_type	0x0bc477a2	0x940
pm_relax	0xf28b90d8	0x980
enable_irq	0xfcec0987	0x9c0
disable_irq_nosync	0x27bbf221	0xa00
pm_stay_awake	0xe088ef99	0xa40
hrtimer_start_range_ns	0x939fc2ef	0xa80
system_wq	0x2d3385d3	0xac0
__msecs_to_jiffies	0x7f02188f	0xb00
mod_delayed_work_on	0xc4f47221	0xb40
_raw_spin_lock_irqsave	0x34db050b	0xb80
pm_wakeup_dev_event	0x2fc1eba5	0xbc0
_raw_spin_unlock_irqrestore	0xd35cce70	0xc00
hrtimer_cancel	0xcc69bd8c	0xc40
cancel_delayed_work_sync	0xf8beca97	0xc80
irq_set_irq_wake	0xce2840e7	0xcc0
mutex_lock	0xd5977bfb	0xd00
input_device_enabled	0x4e243813	0xd40
mutex_unlock	0xed55cabd	0xd80
_dev_warn	0x0f55bd9b	0xdc0
bitmap_zalloc	0x2688ec10	0xe00
scnprintf	0x96848186	0xe40
bitmap_free	0xca21ebd3	0xe80
bitmap_alloc	0x020dbf27	0xec0
bitmap_parselist	0x1b015d25	0xf00
__bitmap_subset	0x3221df67	0xf40
disable_irq	0x3ce4ca6f	0xf80
irq_get_irq_data	0x29211c93	0xfc0
module_layout	0xea759d7f	0x1000
