relocation_section	offset	type	symbol	addend
.rela.text	0x0000000000000060	R_AARCH64_CALL26	devm_kmalloc	+0
.rela.text	0x0000000000000080	R_AARCH64_CALL26	devm_kmalloc	+0
.rela.text	0x0000000000000090	R_AARCH64_CALL26	devm_input_allocate_device	+0
.rela.text	0x00000000000000a0	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+326
.rela.text	0x00000000000000a4	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+326
.rela.text	0x00000000000000a8	R_AARCH64_ADR_PREL_PG_HI21	.bss	+0
.rela.text	0x00000000000000ac	R_AARCH64_ADD_ABS_LO12_NC	.bss	+0
.rela.text	0x00000000000000b4	R_AARCH64_CALL26	__mutex_init	+0
.rela.text	0x00000000000000d4	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+11e
.rela.text	0x00000000000000d8	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+11e
.rela.text	0x00000000000000ec	R_AARCH64_ADR_PREL_PG_HI21	.text	+880
.rela.text	0x00000000000000f0	R_AARCH64_ADD_ABS_LO12_NC	.text	+880
.rela.text	0x00000000000000f4	R_AARCH64_ADR_PREL_PG_HI21	.text	+944
.rela.text	0x00000000000000f8	R_AARCH64_ADD_ABS_LO12_NC	.text	+944
.rela.text	0x000000000000017c	R_AARCH64_CALL26	device_get_next_child_node	+0
.rela.text	0x000000000000018c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+369
.rela.text	0x0000000000000190	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+369
.rela.text	0x00000000000001cc	R_AARCH64_CALL26	devm_fwnode_gpiod_get_index	+0
.rela.text	0x0000000000000218	R_AARCH64_CALL26	devm_gpio_request_one	+0
.rela.text	0x0000000000000228	R_AARCH64_CALL26	gpio_to_desc	+0
.rela.text	0x0000000000000248	R_AARCH64_CALL26	gpiod_is_active_low	+0
.rela.text	0x0000000000000268	R_AARCH64_CALL26	gpiod_set_debounce	+0
.rela.text	0x000000000000027c	R_AARCH64_CALL26	gpiod_cansleep	+0
.rela.text	0x0000000000000298	R_AARCH64_CALL26	gpiod_to_irq	+0
.rela.text	0x00000000000002b4	R_AARCH64_ADR_PREL_PG_HI21	delayed_work_timer_fn	+0
.rela.text	0x00000000000002b8	R_AARCH64_ADD_ABS_LO12_NC	delayed_work_timer_fn	+0
.rela.text	0x00000000000002d0	R_AARCH64_ADR_PREL_PG_HI21	.text	+abc
.rela.text	0x00000000000002d4	R_AARCH64_ADD_ABS_LO12_NC	.text	+abc
.rela.text	0x00000000000002e0	R_AARCH64_CALL26	init_timer_key	+0
.rela.text	0x00000000000002f0	R_AARCH64_CALL26	hrtimer_init	+0
.rela.text	0x00000000000002f4	R_AARCH64_ADR_PREL_PG_HI21	.text	+b20
.rela.text	0x00000000000002f8	R_AARCH64_ADD_ABS_LO12_NC	.text	+b20
.rela.text	0x0000000000000358	R_AARCH64_CALL26	hrtimer_init	+0
.rela.text	0x0000000000000360	R_AARCH64_ADR_PREL_PG_HI21	.text	+ccc
.rela.text	0x0000000000000364	R_AARCH64_ADD_ABS_LO12_NC	.text	+ccc
.rela.text	0x0000000000000368	R_AARCH64_ADR_PREL_PG_HI21	.text	+c64
.rela.text	0x000000000000036c	R_AARCH64_ADD_ABS_LO12_NC	.text	+c64
.rela.text	0x0000000000000384	R_AARCH64_ADR_PREL_PG_HI21	.text	+b88
.rela.text	0x0000000000000388	R_AARCH64_ADD_ABS_LO12_NC	.text	+b88
.rela.text	0x0000000000000398	R_AARCH64_ADR_PREL_PG_HI21	.text	+b88
.rela.text	0x000000000000039c	R_AARCH64_ADD_ABS_LO12_NC	.text	+b88
.rela.text	0x00000000000003d8	R_AARCH64_CALL26	input_set_capability	+0
