file_offset	string
0x1888	y9x
0x19a8	hB@9b
0x1d83	T E0
0x1e74	LE9
0x2090	hJE9(
0x20b8	hNE9H
0x20bf	4hBA
0x2304	_eE??#
0x23ff	6hnA
0x246b	"*	)@"
0x25fb	TK%@
0x260f	6KaF9
0x2648	hj)x
0x287b	T(3@
0x2894	(cF9
0x28b4	HoF9H
0x2998	_eE??#
0x2ac7	T E0
0x2c2c	../kernel_device_modules-6.1/drivers/input/keyboard/yft_gpio_keys.c
0x2cb0	yft-gpio-keys
0x2ef8	license=GPL
0x2f04	author=Phil Blundell <pb@handhelds.org>
0x2f2c	description=Keyboard driver for GPIOs
0x2f52	alias=platform:gpio-keys
0x2f6b	vermagic=6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64
0x2fc2	name=yft_gpio_keys
0x2fd5	depends=
0x2fde	alias=of:N*T*Cyft-gpio-keys
0x2ffa	alias=of:N*T*Cyft-gpio-keysC*
0x31c8	Unable to claim irq %d; error %d
0x31ea	keys
0x31ef	failed to allocate state
0x3209	Button without keycode
0x3221	failed to restore interrupt trigger for IRQ %d: %d
0x3255	missing child device node for entry %d
0x327d	Only EV_KEY allowed for IRQ buttons.
0x32a3	label
0x32a9	gpio-key,wakeup
0x32b9	failed to disable IRQ %d as wake source: %d
0x32e6	gpio-keys/input0
0x32f7	disabled_switches
0x3309	linux,input-type
0x331a	debounce-interval
0x332c	[%s]  button=%s,state=%d
0x3346	released
0x334f	failed to configure IRQ %d as wakeup source: %d
0x3380	gpio_keys_gpio_report_event
0x339c	failed to get gpio: %d
0x33b4	failed to get gpio state: %d
0x33d2	Found button without gpio or irq
0x33f4	Failed to request GPIO %d, error %d
0x3419	switches
0x3422	linux,can-disable
0x3434	disabled_keys
0x3442	%s: key %s. 
0x3450	%*pbl
0x3456	wakeup-source
0x3464	linux,code
0x346f	failed to set wakeup trigger %08x for IRQ %d: %d
0x34a1	Unable to register input device, error: %d
0x34cd	failed to allocate input device
0x34ee	&ddata->disable_lock
0x3503	failed to register quiesce action, error: %d
0x3531	gpio_keys
0x353b	autorepeat
0x3546	Unable to get irq number for GPIO %d, error %d
0x3576	yft-gpio-keys
