name	stock_section	stock_size	rebuild_section	rebuild_size	stock_kcfi	rebuild_kcfi	stock_calls	rebuild_calls	cfg_signature_equal	byte_identical	residual
cleanup_module	.exit.text	36	.exit.text	36	0xa540670c	0xa540670c	platform_driver_unregister	platform_driver_unregister	YES	YES	NONE
init_module	.init.text	44	.init.text	44	0x36b1c5a6	0x36b1c5a6	__platform_driver_register	__platform_driver_register	YES	YES	NONE
sensor_id_show	.text	84	.text	84	0xdf43c25c	0xdf43c25c	scnprintf,_printk	scnprintf,_printk	YES	YES	NONE
tiny2c_usb_i2c_probe	.text	644	.text	644	0x5ef138aa	0x5ef138aa	_printk,msleep,tiny2c_usb_read_chipid,_printk,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,tiny2c_usb_read_chipid,_printk,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,tiny2c_usb_read_chipid,_printk,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,_printk	_printk,msleep,tiny2c_usb_read_chipid,_printk,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,tiny2c_usb_read_chipid,_printk,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,tiny2c_usb_read_chipid,_printk,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,__const_udelay,_printk	YES	YES	NONE
tiny2c_usb_i2c_read	.text	244	.text	244	0xb5c618ad	0xb5c618ad	i2c_transfer,_dev_info,__stack_chk_fail	i2c_transfer,_dev_info,__stack_chk_fail	YES	NO	instruction selection/layout only
tiny2c_usb_i2c_remove	.text	64	.text	64	0x8effdd6d	0x8effdd6d	_printk,i2c_unregister_device	_printk,i2c_unregister_device	YES	YES	NONE
tiny2c_usb_mode_show	.text	196	.text	196	0xdf43c25c	0xdf43c25c	gpio_to_desc,gpiod_get_raw_value,gpio_to_desc,gpiod_get_raw_value,gpio_to_desc,gpiod_get_raw_value,gpio_to_desc,gpiod_get_raw_value,scnprintf,_printk	gpio_to_desc,gpiod_get_raw_value,gpio_to_desc,gpiod_get_raw_value,gpio_to_desc,gpiod_get_raw_value,gpio_to_desc,gpiod_get_raw_value,scnprintf,_printk	YES	YES	NONE
tiny2c_usb_mode_store	.text	396	.text	396	0x95a8ba07	0x95a8ba07	sscanf,_printk,gpio_to_desc,gpiod_set_raw_value,gpio_to_desc,gpiod_set_raw_value,gpio_to_desc,gpiod_set_raw_value,gpio_to_desc,gpiod_set_raw_value,_printk,gpio_to_desc,gpiod_set_raw_value,gpio_to_desc,gpiod_set_raw_value,gpio_to_desc,gpiod_set_raw_value,gpio_to_desc,gpiod_set_raw_value,_printk,__stack_chk_fail	sscanf,_printk,gpio_to_desc,gpiod_set_raw_value,gpio_to_desc,gpiod_set_raw_value,gpio_to_desc,gpiod_set_raw_value,gpio_to_desc,gpiod_set_raw_value,_printk,gpio_to_desc,gpiod_set_raw_value,gpio_to_desc,gpiod_set_raw_value,gpio_to_desc,gpiod_set_raw_value,gpio_to_desc,gpiod_set_raw_value,_printk,__stack_chk_fail	YES	YES	NONE
tiny2c_usb_power_init	.text	132	.text	132	0xc9a9fbb4	0xc9a9fbb4	_printk,gpio_to_desc,gpiod_set_raw_value,gpio_to_desc,gpiod_set_raw_value,gpio_to_desc,gpiod_set_raw_value,gpio_to_desc,gpiod_set_raw_value	_printk,gpio_to_desc,gpiod_set_raw_value,gpio_to_desc,gpiod_set_raw_value,gpio_to_desc,gpiod_set_raw_value,gpio_to_desc,gpiod_set_raw_value	YES	YES	NONE
tiny2c_usb_probe	.text	1064	.text	1068	0x63df1691	0x63df1691	_printk,kmalloc_trace,_printk,_printk,of_get_named_gpio_flags,_printk,gpio_request,of_get_named_gpio_flags,_printk,gpio_request,of_get_named_gpio_flags,_printk,gpio_request,_printk,of_get_named_gpio_flags,_printk,gpio_request,_printk,tiny2c_usb_power_init,gpio_to_desc,gpiod_get_raw_value,gpio_to_desc,gpiod_get_raw_value,gpio_to_desc,gpiod_get_raw_value,gpio_to_desc,gpiod_get_raw_value,_printk,i2c_register_driver,tiny2c_usb_power_init,gpio_to_desc,gpiod_get_raw_value,gpio_to_desc,gpiod_get_raw_value,gpio_to_desc,gpiod_get_raw_value,gpio_to_desc,gpiod_get_raw_value,_printk,_printk,device_create_file,device_create_file,_printk,_printk,_printk,device_remove_file,_printk,_printk	_printk,kmalloc_trace,_printk,_printk,of_get_named_gpio_flags,_printk,gpio_request,of_get_named_gpio_flags,_printk,gpio_request,of_get_named_gpio_flags,_printk,gpio_request,_printk,of_get_named_gpio_flags,_printk,gpio_request,_printk,tiny2c_usb_power_init,gpio_to_desc,gpiod_get_raw_value,gpio_to_desc,gpiod_get_raw_value,gpio_to_desc,gpiod_get_raw_value,gpio_to_desc,gpiod_get_raw_value,_printk,i2c_register_driver,tiny2c_usb_power_init,gpio_to_desc,gpiod_get_raw_value,gpio_to_desc,gpiod_get_raw_value,gpio_to_desc,gpiod_get_raw_value,gpio_to_desc,gpiod_get_raw_value,_printk,_printk,device_create_file,device_create_file,_printk,_printk,_printk,device_remove_file,device_remove_file,_printk,_printk	NO	NO	call-list delta
