name	section	offset	size	binding	kcfi_typeid	external_calls	internal_calls
cleanup_module	.exit.text	0x4	36	GLOBAL	0xa540670c	platform_driver_unregister	-
init_module	.init.text	0x4	44	GLOBAL	0x36b1c5a6	__platform_driver_register	-
tiny2c_usb_power_init	.text	0x4	132	GLOBAL	0xc9a9fbb4	_printk,gpio_to_desc,gpiod_set_raw_value	-
tiny2c_usb_mode_show	.text	0x8c	196	LOCAL	0xdf43c25c	gpio_to_desc,gpiod_get_raw_value,scnprintf,_printk	-
tiny2c_usb_mode_store	.text	0x154	396	LOCAL	0x95a8ba07	sscanf,_printk,gpio_to_desc,gpiod_set_raw_value,__stack_chk_fail	-
sensor_id_show	.text	0x2e4	84	LOCAL	0xdf43c25c	scnprintf,_printk	-
tiny2c_usb_i2c_read	.text	0x33c	244	GLOBAL	0xb5c618ad	i2c_transfer,_dev_info,__stack_chk_fail	-
tiny2c_usb_read_chipid	.text	0x434	472	GLOBAL	0xcc836375	_printk,i2c_transfer,_dev_info,__stack_chk_fail	-
tiny2c_usb_i2c_probe	.text	0x610	644	LOCAL	0x5ef138aa	_printk,msleep,__const_udelay	tiny2c_usb_read_chipid
tiny2c_usb_i2c_remove	.text	0x898	64	LOCAL	0x8effdd6d	_printk,i2c_unregister_device	-
tiny2c_usb_probe	.text	0x8dc	1064	LOCAL	0x63df1691	_printk,kmalloc_trace,of_get_named_gpio_flags,gpio_request,gpio_to_desc,gpiod_get_raw_value,i2c_register_driver,device_create_file,device_remove_file	tiny2c_usb_power_init
tiny2c_usb_remove	.text	0xd08	52	LOCAL	0x63df1691	_printk	-
