symbol	class	crc	relocation_count	reference_sites
_printk	KERNEL_IMPORT	0x92997ed8	33	.text+0x30 (tiny2c_usb_power_init);.text+0x144 (tiny2c_usb_mode_show);.text+0x1b8 (tiny2c_usb_mode_store);.text+0x230 (tiny2c_usb_mode_store);.text+0x2a8 (tiny2c_usb_mode_store);.text+0x32c (sensor_id_show);.text+0x480 (tiny2c_usb_read_chipid);.text+0x588 (tiny2c_usb_read_chipid);.text+0x5f4 (tiny2c_usb_read_chipid);.text+0x640 (tiny2c_usb_i2c_probe);.text+0x670 (tiny2c_usb_i2c_probe);.text+0x738 (tiny2c_usb_i2c_probe);.text+0x7ec (tiny2c_usb_i2c_probe);.text+0x888 (tiny2c_usb_i2c_probe);.text+0x8bc (tiny2c_usb_i2c_remove);.text+0x900 (tiny2c_usb_probe);.text+0x92c (tiny2c_usb_probe);.text+0x950 (tiny2c_usb_probe);.text+0x98c (tiny2c_usb_probe);.text+0x9e0 (tiny2c_usb_probe);.text+0xa34 (tiny2c_usb_probe);.text+0xa64 (tiny2c_usb_probe);.text+0xaa0 (tiny2c_usb_probe);.text+0xae0 (tiny2c_usb_probe);.text+0xb54 (tiny2c_usb_probe);.text+0xbe4 (tiny2c_usb_probe);.text+0xbf0 (tiny2c_usb_probe);.text+0xc54 (tiny2c_usb_probe);.text+0xc78 (tiny2c_usb_probe);.text+0xc84 (tiny2c_usb_probe);.text+0xce4 (tiny2c_usb_probe);.text+0xcf8 (tiny2c_usb_probe);.text+0xd28 (tiny2c_usb_remove)
gpio_to_desc	KERNEL_IMPORT	0x0ec43f6f	24	.text+0x38 (tiny2c_usb_power_init);.text+0x4c (tiny2c_usb_power_init);.text+0x5c (tiny2c_usb_power_init);.text+0x6c (tiny2c_usb_power_init);.text+0xb8 (tiny2c_usb_mode_show);.text+0xcc (tiny2c_usb_mode_show);.text+0xe0 (tiny2c_usb_mode_show);.text+0xf4 (tiny2c_usb_mode_show);.text+0x1c8 (tiny2c_usb_mode_store);.text+0x1e0 (tiny2c_usb_mode_store);.text+0x1f4 (tiny2c_usb_mode_store);.text+0x208 (tiny2c_usb_mode_store);.text+0x240 (tiny2c_usb_mode_store);.text+0x258 (tiny2c_usb_mode_store);.text+0x26c (tiny2c_usb_mode_store);.text+0x280 (tiny2c_usb_mode_store);.text+0xaf8 (tiny2c_usb_probe);.text+0xb0c (tiny2c_usb_probe);.text+0xb20 (tiny2c_usb_probe);.text+0xb34 (tiny2c_usb_probe);.text+0xb88 (tiny2c_usb_probe);.text+0xb9c (tiny2c_usb_probe);.text+0xbb0 (tiny2c_usb_probe);.text+0xbc4 (tiny2c_usb_probe)
gpiod_set_raw_value	KERNEL_IMPORT	0x8dae9ed0	12	.text+0x40 (tiny2c_usb_power_init);.text+0x54 (tiny2c_usb_power_init);.text+0x64 (tiny2c_usb_power_init);.text+0x74 (tiny2c_usb_power_init);.text+0x1d0 (tiny2c_usb_mode_store);.text+0x1e8 (tiny2c_usb_mode_store);.text+0x1fc (tiny2c_usb_mode_store);.text+0x210 (tiny2c_usb_mode_store);.text+0x248 (tiny2c_usb_mode_store);.text+0x260 (tiny2c_usb_mode_store);.text+0x274 (tiny2c_usb_mode_store);.text+0x288 (tiny2c_usb_mode_store)
gpiod_get_raw_value	KERNEL_IMPORT	0xe7edce8c	12	.text+0xbc (tiny2c_usb_mode_show);.text+0xd0 (tiny2c_usb_mode_show);.text+0xe4 (tiny2c_usb_mode_show);.text+0xf8 (tiny2c_usb_mode_show);.text+0xafc (tiny2c_usb_probe);.text+0xb10 (tiny2c_usb_probe);.text+0xb24 (tiny2c_usb_probe);.text+0xb38 (tiny2c_usb_probe);.text+0xb8c (tiny2c_usb_probe);.text+0xba0 (tiny2c_usb_probe);.text+0xbb4 (tiny2c_usb_probe);.text+0xbc8 (tiny2c_usb_probe)
scnprintf	KERNEL_IMPORT	0x96848186	2	.text+0x11c (tiny2c_usb_mode_show);.text+0x310 (sensor_id_show)
sscanf	KERNEL_IMPORT	0xbcab6ee6	1	.text+0x190 (tiny2c_usb_mode_store)
yft_usb_flag	INTERMODULE_OBJECT	0x398e9c8b	4	.text+0x214 (tiny2c_usb_mode_store);.text+0x218 (tiny2c_usb_mode_store);.text+0x28c (tiny2c_usb_mode_store);.text+0x290 (tiny2c_usb_mode_store)
__stack_chk_fail	KERNEL_IMPORT	0xc2c193d2	3	.text+0x2dc (tiny2c_usb_mode_store);.text+0x42c (tiny2c_usb_i2c_read);.text+0x608 (tiny2c_usb_read_chipid)
i2c_transfer	KERNEL_IMPORT	0xaf50d612	3	.text+0x3c4 (tiny2c_usb_i2c_read);.text+0x4f8 (tiny2c_usb_read_chipid);.text+0x558 (tiny2c_usb_read_chipid)
_dev_info	KERNEL_IMPORT	0xef3cb484	3	.text+0x424 (tiny2c_usb_i2c_read);.text+0x50c (tiny2c_usb_read_chipid);.text+0x570 (tiny2c_usb_read_chipid)
