crc	symbol	provider	offset
0x92997ed8	_printk	GKI	0x0
0x0ec43f6f	gpio_to_desc	GKI	0x40
0x8dae9ed0	gpiod_set_raw_value	GKI	0x80
0xe7edce8c	gpiod_get_raw_value	GKI	0xc0
0x96848186	scnprintf	GKI	0x100
0xbcab6ee6	sscanf	GKI	0x140
0x398e9c8b	yft_usb_flag	mt6375-charger	0x180
0xc2c193d2	__stack_chk_fail	GKI	0x1c0
0xaf50d612	i2c_transfer	GKI	0x200
0xef3cb484	_dev_info	GKI	0x240
0xf9a482f9	msleep	GKI	0x280
0xeae3dfd6	__const_udelay	GKI	0x2c0
0x08d4f9f1	i2c_unregister_device	GKI	0x300
0x894c433a	__platform_driver_register	GKI	0x340
0xe1b15563	platform_driver_unregister	GKI	0x380
0x0f15b38a	kmalloc_caches	GKI	0x3c0
0xb78e7543	kmalloc_trace	GKI	0x400
0xb9ab15e7	of_get_named_gpio_flags	GKI	0x440
0x47229b5c	gpio_request	GKI	0x480
0x50f5d94e	i2c_register_driver	GKI	0x4c0
0xe25f59ab	device_create_file	GKI	0x500
0x17678b2a	device_remove_file	GKI	0x540
0xea759d7f	module_layout	GKI/module loader	0x580
