object	stock_section	stock_size	rebuild_section	rebuild_size	classification	note
__UNIQUE_ID___addressable_cleanup_module	.exit.data	8	.exit.data	8	BYTE_IDENTICAL	raw object bytes equal
__UNIQUE_ID___addressable_init_module	.init.data	8	.init.data	8	BYTE_IDENTICAL	raw object bytes equal
__UNIQUE_ID_alias	.modinfo	28	.modinfo	28	BYTE_IDENTICAL	raw object bytes equal
__UNIQUE_ID_author	.modinfo	15	.modinfo	15	BYTE_IDENTICAL	raw object bytes equal
__UNIQUE_ID_depends	.modinfo	23	.modinfo	23	BYTE_IDENTICAL	raw object bytes equal
__UNIQUE_ID_description	.modinfo	34	.modinfo	34	BYTE_IDENTICAL	raw object bytes equal
__UNIQUE_ID_license	.modinfo	12	.modinfo	12	BYTE_IDENTICAL	raw object bytes equal
__UNIQUE_ID_name	.modinfo	20	.modinfo	20	BYTE_IDENTICAL	raw object bytes equal
__UNIQUE_ID_vermagic	.modinfo	87	.modinfo	85	SEMANTIC_EQUIVALENT	module metadata/build numbering
____versions	__versions	1472	__versions	1472	RELOCATION_EQUIVALENT	same section-sized object; pointer relocations/build layout differ
__mod_i2c__tiny2c_usb_i2c_id_device_table	.rodata	64	.rodata	64	BYTE_IDENTICAL	raw object bytes equal
__mod_of__tiny2c_usb_of_match_device_table	.data	400	.data	400	BYTE_IDENTICAL	raw object bytes equal
__this_module	.gnu.linkonce.this_module	1088	.gnu.linkonce.this_module	1088	BYTE_IDENTICAL	raw object bytes equal
_note_10	.note.Linux	24	.note.Linux	24	BYTE_IDENTICAL	raw object bytes equal
_note_9	.note.Linux	24	.note.Linux	24	BYTE_IDENTICAL	raw object bytes equal
chip_id	.bss	4	.bss	4	BYTE_IDENTICAL	raw object bytes equal
dev_attr_sensor_id	.data	32	.data	32	BYTE_IDENTICAL	raw object bytes equal
dev_attr_tiny2c_usb_mode	.data	32	.data	32	BYTE_IDENTICAL	raw object bytes equal
mt_sysfs_attributes	.rodata	24	.rodata	24	BYTE_IDENTICAL	raw object bytes equal
tiny2c_usb_chip_data	.bss	8	.bss	8	BYTE_IDENTICAL	raw object bytes equal
tiny2c_usb_driver	.data	248	.data	248	BYTE_IDENTICAL	raw object bytes equal
tiny2c_usb_i2c_driver	.data	280	.data	280	BYTE_IDENTICAL	raw object bytes equal
tiny2c_usb_i2c_id	.rodata	64	.rodata	64	BYTE_IDENTICAL	raw object bytes equal
tiny2c_usb_of_match	.data	400	.data	400	BYTE_IDENTICAL	raw object bytes equal
tiny2c_usb_sensor_of_match	.rodata	400	.rodata	400	BYTE_IDENTICAL	raw object bytes equal
