name	section	offset	size	binding	visibility
chip_id	.bss	0x0	4	LOCAL	DEFAULT
tiny2c_usb_chip_data	.bss	0x8	8	LOCAL	DEFAULT
dev_attr_tiny2c_usb_mode	.data	0x0	32	GLOBAL	DEFAULT
dev_attr_sensor_id	.data	0x20	32	GLOBAL	DEFAULT
tiny2c_usb_i2c_driver	.data	0x40	280	GLOBAL	DEFAULT
__mod_of__tiny2c_usb_of_match_device_table	.data	0x158	400	GLOBAL	DEFAULT
tiny2c_usb_of_match	.data	0x158	400	LOCAL	DEFAULT
tiny2c_usb_driver	.data	0x2e8	248	LOCAL	DEFAULT
__UNIQUE_ID___addressable_cleanup_module456	.exit.data	0x0	8	LOCAL	DEFAULT
__this_module	.gnu.linkonce.this_module	0x0	1088	GLOBAL	DEFAULT
__UNIQUE_ID___addressable_init_module455	.init.data	0x0	8	LOCAL	DEFAULT
__UNIQUE_ID_description457	.modinfo	0x0	34	LOCAL	DEFAULT
__UNIQUE_ID_author458	.modinfo	0x22	15	LOCAL	DEFAULT
__UNIQUE_ID_license459	.modinfo	0x31	12	LOCAL	DEFAULT
__UNIQUE_ID_vermagic333	.modinfo	0x3d	87	LOCAL	DEFAULT
__UNIQUE_ID_name334	.modinfo	0x94	20	LOCAL	DEFAULT
__UNIQUE_ID_depends335	.modinfo	0xa8	23	LOCAL	DEFAULT
__UNIQUE_ID_alias336	.modinfo	0xbf	28	LOCAL	DEFAULT
__UNIQUE_ID_alias337	.modinfo	0xdb	38	LOCAL	DEFAULT
__UNIQUE_ID_alias338	.modinfo	0x101	40	LOCAL	DEFAULT
_note_9	.note.Linux	0x0	24	LOCAL	DEFAULT
_note_10	.note.Linux	0x18	24	LOCAL	DEFAULT
__mod_i2c__tiny2c_usb_i2c_id_device_table	.rodata	0x0	64	GLOBAL	DEFAULT
tiny2c_usb_i2c_id	.rodata	0x0	64	LOCAL	DEFAULT
tiny2c_usb_sensor_of_match	.rodata	0x40	400	LOCAL	DEFAULT
mt_sysfs_attributes	.rodata	0x1d0	24	LOCAL	DEFAULT
____versions	__versions	0x0	1472	LOCAL	DEFAULT
