relocation_section	offset	type	target_addend	owning_function
.rela.text	0x1c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 285	tiny2c_usb_power_init
.rela.text	0x20	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 285	tiny2c_usb_power_init
.rela.text	0x24	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 201	tiny2c_usb_power_init
.rela.text	0x28	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 201	tiny2c_usb_power_init
.rela.text	0x30	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_power_init
.rela.text	0x38	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_power_init
.rela.text	0x40	R_AARCH64_CALL26	gpiod_set_raw_value + 0	tiny2c_usb_power_init
.rela.text	0x4c	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_power_init
.rela.text	0x54	R_AARCH64_CALL26	gpiod_set_raw_value + 0	tiny2c_usb_power_init
.rela.text	0x5c	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_power_init
.rela.text	0x64	R_AARCH64_CALL26	gpiod_set_raw_value + 0	tiny2c_usb_power_init
.rela.text	0x6c	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_power_init
.rela.text	0x74	R_AARCH64_CALL26	gpiod_set_raw_value + 0	tiny2c_usb_power_init
.rela.text	0xa8	R_AARCH64_ADR_PREL_PG_HI21	.bss + 8	tiny2c_usb_mode_show
.rela.text	0xb0	R_AARCH64_LDST64_ABS_LO12_NC	.bss + 8	tiny2c_usb_mode_show
.rela.text	0xb8	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_mode_show
.rela.text	0xbc	R_AARCH64_CALL26	gpiod_get_raw_value + 0	tiny2c_usb_mode_show
.rela.text	0xc0	R_AARCH64_LDST64_ABS_LO12_NC	.bss + 8	tiny2c_usb_mode_show
.rela.text	0xcc	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_mode_show
.rela.text	0xd0	R_AARCH64_CALL26	gpiod_get_raw_value + 0	tiny2c_usb_mode_show
.rela.text	0xd4	R_AARCH64_LDST64_ABS_LO12_NC	.bss + 8	tiny2c_usb_mode_show
.rela.text	0xe0	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_mode_show
.rela.text	0xe4	R_AARCH64_CALL26	gpiod_get_raw_value + 0	tiny2c_usb_mode_show
.rela.text	0xe8	R_AARCH64_LDST64_ABS_LO12_NC	.bss + 8	tiny2c_usb_mode_show
.rela.text	0xf4	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_mode_show
.rela.text	0xf8	R_AARCH64_CALL26	gpiod_get_raw_value + 0	tiny2c_usb_mode_show
.rela.text	0x100	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 3c9	tiny2c_usb_mode_show
.rela.text	0x104	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 3c9	tiny2c_usb_mode_show
.rela.text	0x11c	R_AARCH64_CALL26	scnprintf + 0	tiny2c_usb_mode_show
.rela.text	0x13c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 17a	tiny2c_usb_mode_show
.rela.text	0x140	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 17a	tiny2c_usb_mode_show
.rela.text	0x144	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_mode_show
.rela.text	0x178	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 4c8	tiny2c_usb_mode_store
.rela.text	0x17c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 4c8	tiny2c_usb_mode_store
.rela.text	0x190	R_AARCH64_CALL26	sscanf + 0	tiny2c_usb_mode_store
.rela.text	0x1a4	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 339	tiny2c_usb_mode_store
.rela.text	0x1a8	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 339	tiny2c_usb_mode_store
.rela.text	0x1ac	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 3a4	tiny2c_usb_mode_store
.rela.text	0x1b0	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 3a4	tiny2c_usb_mode_store
.rela.text	0x1b8	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_mode_store
.rela.text	0x1bc	R_AARCH64_ADR_PREL_PG_HI21	.bss + 8	tiny2c_usb_mode_store
.rela.text	0x1c0	R_AARCH64_LDST64_ABS_LO12_NC	.bss + 8	tiny2c_usb_mode_store
.rela.text	0x1c8	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_mode_store
.rela.text	0x1d0	R_AARCH64_CALL26	gpiod_set_raw_value + 0	tiny2c_usb_mode_store
.rela.text	0x1d4	R_AARCH64_LDST64_ABS_LO12_NC	.bss + 8	tiny2c_usb_mode_store
.rela.text	0x1e0	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_mode_store
.rela.text	0x1e8	R_AARCH64_CALL26	gpiod_set_raw_value + 0	tiny2c_usb_mode_store
.rela.text	0x1ec	R_AARCH64_LDST64_ABS_LO12_NC	.bss + 8	tiny2c_usb_mode_store
.rela.text	0x1f4	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_mode_store
.rela.text	0x1fc	R_AARCH64_CALL26	gpiod_set_raw_value + 0	tiny2c_usb_mode_store
.rela.text	0x200	R_AARCH64_LDST64_ABS_LO12_NC	.bss + 8	tiny2c_usb_mode_store
.rela.text	0x208	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_mode_store
.rela.text	0x210	R_AARCH64_CALL26	gpiod_set_raw_value + 0	tiny2c_usb_mode_store
.rela.text	0x214	R_AARCH64_ADR_PREL_PG_HI21	yft_usb_flag + 0	tiny2c_usb_mode_store
.rela.text	0x218	R_AARCH64_LDST32_ABS_LO12_NC	yft_usb_flag + 0	tiny2c_usb_mode_store
.rela.text	0x220	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 2bd	tiny2c_usb_mode_store
.rela.text	0x224	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 2bd	tiny2c_usb_mode_store
.rela.text	0x228	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 3a4	tiny2c_usb_mode_store
.rela.text	0x22c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 3a4	tiny2c_usb_mode_store
.rela.text	0x230	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_mode_store
.rela.text	0x234	R_AARCH64_ADR_PREL_PG_HI21	.bss + 8	tiny2c_usb_mode_store
.rela.text	0x238	R_AARCH64_LDST64_ABS_LO12_NC	.bss + 8	tiny2c_usb_mode_store
.rela.text	0x240	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_mode_store
.rela.text	0x248	R_AARCH64_CALL26	gpiod_set_raw_value + 0	tiny2c_usb_mode_store
.rela.text	0x24c	R_AARCH64_LDST64_ABS_LO12_NC	.bss + 8	tiny2c_usb_mode_store
.rela.text	0x258	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_mode_store
.rela.text	0x260	R_AARCH64_CALL26	gpiod_set_raw_value + 0	tiny2c_usb_mode_store
.rela.text	0x264	R_AARCH64_LDST64_ABS_LO12_NC	.bss + 8	tiny2c_usb_mode_store
.rela.text	0x26c	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_mode_store
.rela.text	0x274	R_AARCH64_CALL26	gpiod_set_raw_value + 0	tiny2c_usb_mode_store
.rela.text	0x278	R_AARCH64_LDST64_ABS_LO12_NC	.bss + 8	tiny2c_usb_mode_store
.rela.text	0x280	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_mode_store
.rela.text	0x288	R_AARCH64_CALL26	gpiod_set_raw_value + 0	tiny2c_usb_mode_store
.rela.text	0x28c	R_AARCH64_ADR_PREL_PG_HI21	yft_usb_flag + 0	tiny2c_usb_mode_store
.rela.text	0x290	R_AARCH64_LDST32_ABS_LO12_NC	yft_usb_flag + 0	tiny2c_usb_mode_store
.rela.text	0x298	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 3fb	tiny2c_usb_mode_store
.rela.text	0x29c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 3fb	tiny2c_usb_mode_store
.rela.text	0x2a0	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 3a4	tiny2c_usb_mode_store
.rela.text	0x2a4	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 3a4	tiny2c_usb_mode_store
.rela.text	0x2a8	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_mode_store
.rela.text	0x2dc	R_AARCH64_CALL26	__stack_chk_fail + 0	tiny2c_usb_mode_store
.rela.text	0x2f4	R_AARCH64_ADR_PREL_PG_HI21	.bss + 0	sensor_id_show
.rela.text	0x300	R_AARCH64_LDST32_ABS_LO12_NC	.bss + 0	sensor_id_show
.rela.text	0x304	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 34b	sensor_id_show
.rela.text	0x308	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 34b	sensor_id_show
.rela.text	0x310	R_AARCH64_CALL26	scnprintf + 0	sensor_id_show
.rela.text	0x324	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 17a	sensor_id_show
.rela.text	0x328	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 17a	sensor_id_show
.rela.text	0x32c	R_AARCH64_CALL26	_printk + 0	sensor_id_show
.rela.text	0x3c4	R_AARCH64_CALL26	i2c_transfer + 0	tiny2c_usb_i2c_read
.rela.text	0x418	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 103	tiny2c_usb_i2c_read
.rela.text	0x41c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 103	tiny2c_usb_i2c_read
.rela.text	0x424	R_AARCH64_CALL26	_dev_info + 0	tiny2c_usb_i2c_read
.rela.text	0x42c	R_AARCH64_CALL26	__stack_chk_fail + 0	tiny2c_usb_i2c_read
.rela.text	0x45c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 72	tiny2c_usb_read_chipid
.rela.text	0x460	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 72	tiny2c_usb_read_chipid
.rela.text	0x478	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 2a7	tiny2c_usb_read_chipid
.rela.text	0x47c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 2a7	tiny2c_usb_read_chipid
.rela.text	0x480	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_read_chipid
.rela.text	0x498	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 379	tiny2c_usb_read_chipid
.rela.text	0x49c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 379	tiny2c_usb_read_chipid
.rela.text	0x4a0	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 103	tiny2c_usb_read_chipid
