section	offset	length	string
.rodata.str1.1	0x0	43	%s:[GPIO]reset gpio request failed gpio_1v8
.rodata.str1.1	0x2c	29	%s:Unable to get gpio_3v3=%d\n
.rodata.str1.1	0x4a	31	%s:Unable to get gpio_io3v3=%d\n
.rodata.str1.1	0x6a	7	%s %d.\n
.rodata.str1.1	0x72	22	tiny2c_usb_read_chipid
.rodata.str1.1	0x89	35	no memory for tiny2c_usb_chip_data\n
.rodata.str1.1	0xad	12	%s: enter. \n
.rodata.str1.1	0xba	28	%s:Unable to get gpio_5v=%d\n
.rodata.str1.1	0xd7	43	%s:[GPIO]reset gpio request failed gpio_5v\n
.rodata.str1.1	0x103	25	i2c transfer failed (%d)\n
.rodata.str1.1	0x141	15	tiny2c_gpio_3v3
.rodata.str1.1	0x151	17	tiny2c_usb-sensor
.rodata.str1.1	0x163	22	failed to init_sysfs.\n
.rodata.str1.1	0x17a	36	tiny2c_usb_mode_show. dev is null!!\n
.rodata.str1.1	0x19f	31	tiny2c_usb_init_sysfs. begin. \n
.rodata.str1.1	0x1bf	18	tiny2c_usb_vdd_1v8
.rodata.str1.1	0x1d2	46	%s:[GPIO]reset gpio request failed gpio_io3v3\n
.rodata.str1.1	0x201	21	tiny2c_usb_power_init
.rodata.str1.1	0x22e	14	tiny2c_gpio_5v
.rodata.str1.1	0x23d	29	%s:Unable to get gpio_1v8=%d\n
.rodata.str1.1	0x25b	17	tiny2c_usb_vdd_5v
.rodata.str1.1	0x26d	23	tiny2c_usb_probe start\n
.rodata.str1.1	0x285	17	%s: enter. en=%d\n
.rodata.str1.1	0x297	15	tiny2c_usb_mode
.rodata.str1.1	0x2a7	21	[%s] zzt_1 addr=0x%x\n
.rodata.str1.1	0x2bd	18	%s: power off: %d\n
.rodata.str1.1	0x2d0	44	%s:[GPIO]reset gpio request failed gpio_3v3\n
.rodata.str1.1	0x2fd	40	%s:yft-drv Read_Data_ok=%x,,buf:[%x,%x]\n
.rodata.str1.1	0x326	18	tiny2c_usb_vdd_3v3
.rodata.str1.1	0x339	17	%s: power on: %d\n
.rodata.str1.1	0x34b	5	0x%x\n
.rodata.str1.1	0x351	23	[%s]addr=0x%x start...\n
.rodata.str1.1	0x369	15	tiny2c_gpio_1v8
.rodata.str1.1	0x379	42	%s:yft-drv Read_Data fail=%x,,buf:[%x,%x]\n
.rodata.str1.1	0x3a4	21	tiny2c_usb_mode_store
.rodata.str1.1	0x3ba	14	yft_tiny2c_usb
.rodata.str1.1	0x3c9	49	gpio_1v8=%d,gpio_3v3=%d,gpio_5v=%d,gpio_io3v3:%d\n
.rodata.str1.1	0x3fb	13	%s: fail: %d\n
.rodata.str1.1	0x409	21	tiny2c_usb_i2c_remove
.rodata.str1.1	0x41f	20	tiny2c_usb_parse_dts
.rodata.str1.1	0x434	20	tiny2c_usb_vddio_3v3
.rodata.str1.1	0x449	28	tiny2c_usb_parse_dts failed\n
.rodata.str1.1	0x466	21	tiny2c_usb_probe end\n
.rodata.str1.1	0x47c	17	tiny2c_usb_remove
.rodata.str1.1	0x4be	9	sensor_id
.rodata.str1.1	0x4c8	2	%d
.rodata.str1.1	0x4cb	20	tiny2c_usb_i2c_probe
.rodata.str1.1	0x4e0	17	tiny2c_gpio_io3v3
.rodata.str1.1	0x4f2	59	%s: end. gpio_1v8:%d, gpio_3v3:%d,gpio_5v:%d,gpio_io3v3:%d\n
.modinfo	0x0	33	description=Module For tiny2c_usb
.modinfo	0x22	14	author=yft-drv
.modinfo	0x31	11	license=GPL
.modinfo	0x3d	86	vermagic=6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64
.modinfo	0x94	19	name=yft_tiny2c_usb
.modinfo	0xa8	22	depends=mt6375-charger
.modinfo	0xbf	27	alias=i2c:tiny2c_usb-sensor
.modinfo	0xdb	37	alias=of:N*T*Cmediatek,yft_tiny2c_usb
.modinfo	0x101	39	alias=of:N*T*Cmediatek,yft_tiny2c_usbC*
.comment	0x1	183	Android (10087095, +pgo, +bolt, +lto, -mlgo, based on r487747c) clang version 17.0.2 (https://android.googlesource.com/toolchain/llvm-project d9f89f4d16663d5012e5c09495f3b30ece3d2362)
.shstrtab	0x1	18	.note.gnu.property
.shstrtab	0x14	11	.note.Linux
.shstrtab	0x20	15	.rela.exit.text
.shstrtab	0x30	15	.rela.init.text
.shstrtab	0x40	9	.hyp.text
.shstrtab	0x4a	10	.rela.text
.shstrtab	0x55	8	.comment
.shstrtab	0x5e	9	.init.plt
.shstrtab	0x68	8	.hyp.bss
.shstrtab	0x71	10	__versions
.shstrtab	0x7c	8	.modinfo
.shstrtab	0x85	15	.note.GNU-stack
.shstrtab	0x95	13	.llvm_addrsig
.shstrtab	0xa3	23	.text.ftrace_trampoline
.shstrtab	0xbb	14	.init.eh_frame
.shstrtab	0xca	14	.rela.eh_frame
.shstrtab	0xd9	30	.rela.gnu.linkonce.this_module
.shstrtab	0xf8	18	.note.gnu.build-id
.shstrtab	0x10b	9	.shstrtab
.shstrtab	0x115	7	.strtab
.shstrtab	0x11d	7	.symtab
.shstrtab	0x125	11	.hyp.rodata
.shstrtab	0x131	12	.rela.rodata
.shstrtab	0x13e	15	.rela.exit.data
.shstrtab	0x14e	15	.rela.init.data
.shstrtab	0x15e	9	.hyp.data
.shstrtab	0x168	10	.rela.data
.shstrtab	0x173	14	.rodata.str1.1
.strtab	0x1	14	__const_udelay
.strtab	0x10	20	tiny2c_usb_mode_show
.strtab	0x25	14	sensor_id_show
.strtab	0x34	12	gpio_request
.strtab	0x41	21	tiny2c_usb_power_init
.strtab	0x57	12	____versions
.strtab	0x64	23	of_get_named_gpio_flags
.strtab	0x7c	19	mt_sysfs_attributes
