symbol,crc,provider_kind,provider_modules,provider_module_count,consumer_modules,consumer_module_count,import_record_count,in_kernel_base,in_kernel_mtk,in_kernel_nothing,in_device_base,in_device_mtk,in_device_mtk_union,in_kernel_nothing_union,in_any_published_nothing_list,selected_consumers
__arch_copy_from_user,0x2be0c009,KERNEL_OR_BUILTIN,,0,8021q;adsp;aee_aed;aee_rs;apu_top;apusys;audio_ipi;aw883xx_driver;blocktag;bluetooth;bootprof;bt_drv_6878;c2ps_perf_ioctl;camera_dpe_isp7sp;camera_eeprom_v4l2;can_dev;can_raw;ccci_dpmaif;ccci_md_all;ccci_util_lib;ccmni;clk_common;cmdq_test;connfem;conninfra;connscp;cpudvfs;cpuqos_v3;device_apc_common;fhctl;flashlight;fmradio_drv_connac2x;focaltech_touch_spi_ft3680;ged;gps_drv_dl_v051;gps_scp;gpueb;gz_main_mod;gzvm;hbt;hf_manager;hidp;ieee802154_socket;imgsensor;l2tp_ppp;log_store;main2_vcm;main3_vcm;main4_vcm;main_vcm;mali_dmabuf_test_mt6878_r44;mali_kbase_mt6878_r44;md_cooling_all;mddp;mdp_drv_mt6878;mediatek_drm;microarray_fp_tee;mmprofile;monitor_hang;mt6375_battery;mt6878_mt6369;mtk_btcvsd;mtk_cam_isp7sp;mtk_ccd_remoteproc;mtk_ccuv;mtk_charger_framework;mtk_core_ctl;mtk_dpc;mtk_gpu_qos;mtk_gpufreq_wrapper;mtk_hcp;mtk_heap_debug;mtk_imgsys_v4l2;mtk_ioctl_powerhal;mtk_ioctl_touch_boost;mtk_lpm;mtk_mbraink;mtk_mdpm;mtk_mmc_dbg;mtk_mml;mtk_pbm;mtk_peak_power_budget;mtk_perf_ioctl;mtk_perf_ioctl_magt;mtk_printk_ctrl;mtk_scp_audiocommon;mtk_soc_offload_common;mtk_swpm;mtk_vcodec_dec_v1;mtk_vcu;mtk_vow;mtu3;mux_switch;nfc;pda_drv_mt6878;phy_mtk_xsphy;pidmap;pinctrl_mtk_common_v2_debug;powerhal_cpu_ctrl;ppp_generic;rfcomm;rfkill;rpmb_mtk;rtc_mt6685;sapu;scheduler;scp;sec;snd_soc_audiodsp_common;snd_soc_mt6369;snd_soc_mtk_common;snd_soc_mtk_scp_ultra;snd_soc_tfa98xx;spi_tiny_co5300_lcd;sub_vcm;teeperf;thermal_interface;tipc;tkcore;touch_boost;uarthub_drv;ufs_mediatek_dbg;ufs_mediatek_mod;usb_logger;usb_offload;vcp;widevine_driver;wlan_drv_gen4m_6878;wmt_chrdev_wifi_connac2;wwan;xhci_mtk_hcd_v2;yft_tpd_gesture,132,133,0,1,1,0,1,1,1,1,aw883xx_driver;focaltech_touch_spi_ft3680
__arch_copy_to_user,0x9a85eebb,KERNEL_OR_BUILTIN,,0,8021q;adsp;aee_aed;apusys;atf_logger;audio_ipi;aw883xx_driver;blocktag;bluetooth;bt_drv_6878;camera_dpe_isp7sp;camera_eeprom_v4l2;can_dev;can_raw;ccci_dpmaif;ccci_md_all;ccci_util_lib;connfem;conninfra;connscp;custom_ldo_wl2868;dw9781c;flashlight;fmradio_drv_connac2x;focaltech_touch_spi_ft3680;ftdi_sio;ged;gps_drv_dl_v051;gps_pwr;gps_scp;gpueb;gz_log_mod;gz_main_mod;gzvm;hbt;hf_manager;hidp;ieee802154_socket;imgsensor;l2tp_ppp;mali_dmabuf_test_mt6878_r44;mali_kbase_mt6878_r44;mcupm;mddp;mdp_drv_mt6878;mediatek_drm;microarray_fp_tee;mmprofile;monitor_hang;mt6375_battery;mt6878_mt6369;mtk_btcvsd;mtk_ccd_remoteproc;mtk_ccuv;mtk_hcp;mtk_imgsys_v4l2;mtk_ioctl_powerhal;mtk_ioctl_touch_boost;mtk_mbraink;mtk_mml;mtk_perf_ioctl;mtk_perf_ioctl_magt;mtk_scp_audiocommon;mtk_soc_offload_common;mtk_vcu;mtk_vow;pda_drv_mt6878;ppp_generic;rfcomm;rfkill;rpmb_mtk;scheduler;scp;sec;slcan;snd_soc_audiodsp_common;snd_soc_mtk_common;snd_soc_mtk_scp_ultra;snd_soc_tfa98xx;spi_tiny_co5300_lcd;sspm_v3;st21nfc;tipc;tkcore;ufs_mediatek_mod;widevine_driver;wlan_drv_gen4m_6878;wwan;yft_tpd_gesture,89,90,0,1,1,0,1,1,1,1,aw883xx_driver;focaltech_touch_spi_ft3680
__check_object_size,0x88db9f48,KERNEL_OR_BUILTIN,,0,adsp;aee_aed;apu_top;apusys;atf_logger;audio_ipi;aw883xx_driver;blocktag;bluetooth;bootprof;bt_drv_6878;c2ps_perf_ioctl;camera_dpe_isp7sp;camera_eeprom_v4l2;can_bcm;can_raw;ccci_dpmaif;ccci_md_all;ccci_util_lib;clk_common;cmdq_test;connfem;conninfra;connscp;cpudvfs;custom_ldo_wl2868;device_apc_common;fhctl;fmradio_drv_connac2x;focaltech_touch_spi_ft3680;ged;gps_drv_dl_v051;gps_pwr;gps_scp;gpueb;gz_ipc_mod;gz_log_mod;gz_main_mod;gzvm;hbt;hf_manager;ieee802154_socket;imgsensor;l2tp_ppp;log_store;mali_kbase_mt6878_r44;mcupm;md_cooling_all;mddp;mdp_drv_mt6878;mediatek_drm;microarray_fp_tee;mmprofile;monitor_hang;mtk_btcvsd;mtk_cam_isp7sp;mtk_ccd_remoteproc;mtk_charger_framework;mtk_dpc;mtk_gpu_qos;mtk_gpufreq_wrapper;mtk_hcp;mtk_heap_debug;mtk_imgsys_v4l2;mtk_ioctl_powerhal;mtk_lpm;mtk_mbraink;mtk_mdpm;mtk_mmc_dbg;mtk_mml;mtk_pbm;mtk_peak_power_budget;mtk_perf_ioctl;mtk_perf_ioctl_magt;mtk_printk_ctrl;mtk_scp_audiocommon;mtk_swpm;mtk_vcodec_dec_v1;mtk_vow;mtu3;mux_switch;nfc;phy_mtk_xsphy;pinctrl_mtk_common_v2_debug;powerhal_cpu_ctrl;ppp_generic;rfcomm;rfkill;rpmb_mtk;scheduler;scp;sec;slcan;snd_soc_audiodsp_common;snd_soc_mt6369;snd_soc_mtk_common;snd_soc_tfa98xx;sspm_v3;st21nfc;teeperf;thermal_interface;tipc;tkcore;touch_boost;uarthub_drv;ufs_mediatek_dbg;ufs_mediatek_mod;usb_logger;vcp;wlan_drv_gen4m_6878;wmt_chrdev_wifi_connac2;wwan;xhci_mtk_hcd_v2,113,114,0,1,0,0,1,1,1,1,aw883xx_driver;focaltech_touch_spi_ft3680
__class_register,0x290df2c0,KERNEL_OR_BUILTIN,,0,aw883xx_driver;cfg80211;ieee802154;mtk_mbraink;nfc;rfkill;rpmb;zram,8,8,0,1,0,0,1,1,1,1,aw883xx_driver
__const_udelay,0xeae3dfd6,KERNEL_OR_BUILTIN,,0,8250_mtk;adsp;aee_aed;aee_hangdet;apu_top;apusys;asix;board_temp;bt_drv_6878;cache_parity;ccci_ccif;ccci_dpmaif;ccci_md_all;clk_chk_mt6878;clk_common;clk_fmeter_mt6878;clkbuf;conninfra;dw9781c;emi_fake_eng;fhctl;focaltech_touch_spi_ft3680;hci_uart;hynitron;i2c_mt65xx;imgsensor;main2_vcm;main3_vcm;main4_vcm;main_vcm;mali_kbase_mt6878_r44;mediatek_drm;mediatek_drm_gateic;mediatek_drm_panel_drv;mmqos_common;mrdump;mt6363_regulator;mt6369_accdet;mt6369_regulator;mt6375_auxadc;mt6375_battery;mtk_cam_isp7sp;mtk_ccuv;mtk_dpc;mtk_dvfsrc;mtk_dvfsrc_helper;mtk_gpufreq_mt6878;mtk_iommu;mtk_lpm_dbg_common_v2;mtk_mmc;mtk_mmc_dbg;mtk_mmdvfs_v3;mtk_mminfra_debug;mtk_mml;mtk_perf_common;mtk_pwm;mtk_scpsys;mtk_smi_dbg;mtk_spmi_pmic_adc;mtk_tinysys_ipi;mtk_uart_apdma;mtk_vcodec_dec_v1;mtk_vcodec_enc_v1;mtk_vmm_spm;mtk_wdt;mtu3;nvmem_mt635x_efuse;pd_chk_mt6878;phy_mtk_ufs;phy_mtk_xsphy;pinctrl_mtk_common_v2_debug;pinctrl_mtk_v2;pmic_lbat_service;rt5133_regulator;rtc_mt6685;scp;sh366003_fg;snd_soc_mt6878_afe;soc_temp_lvts;spi_mt65xx;spi_tiny_co5300_lcd;spmi_mtk_pmif;sub_vcm;tcpc_mt6375;uarthub_drv;ufs_mediatek_mod;vcp;wlan_drv_gen4m_6878;xhci_mtk_hcd_v2;yft_tiny2c_usb,90,90,0,1,0,0,1,1,1,1,focaltech_touch_spi_ft3680
__copy_overflow,0x7682ba4e,KERNEL_OR_BUILTIN,,0,aee_aed;apusys;aw883xx_driver;bt_drv_6878;camera_dpe_isp7sp;custom_ldo_wl2868;gps_drv_dl_v051;gz_main_mod;mediatek_drm;mtk_mbraink;wlan_drv_gen4m_6878,11,11,0,1,0,0,0,0,1,1,aw883xx_driver
__devm_regmap_init_i2c,0x1bab1211,KERNEL_OR_BUILTIN,,0,aw36515;aw36518;aw36518_v2;leds_rgb_aw2013;mt6338_core;rt6160_regulator;sc851x_charger;sc8571_charger;snd_soc_tfa98xx,9,9,0,1,0,0,1,1,1,1,aw36515;aw36518;aw36518_v2
__init_waitqueue_head,0xd9a5ea54,KERNEL_OR_BUILTIN,,0,adsp;aee_aed;apusys;atf_logger;audio_ipi;blocktag;bluetooth;bt_drv_6878;camera_dpe_isp7sp;ccci_dpmaif;ccci_fsm_scp;ccci_md_all;ccci_util_lib;ccd_rpmsg;cdc_acm;cfg80211;conninfra;connscp;cqhci;drm_display_helper;fmradio_drv_connac2x;focaltech_touch_spi_ft3680;gps_drv_dl_v051;gps_pwr;gps_scp;gz_ipc_mod;gz_log_mod;hci_uart;hf_manager;hidp;ieee802154;mali_kbase_mt6878_r44;mcupm;mddp;mdp_drv_mt6878;mediatek_drm;mmqos_common;monitor_hang;mt6375_battery;mtk_aie;mtk_btcvsd;mtk_cam_isp7sp;mtk_ccuv;mtk_charger_framework;mtk_chg_type_det;mtk_cmdq_drv_ext;mtk_dpc;mtk_hcp;mtk_imgsys_v4l2;mtk_low_battery_throttling;mtk_mml;mtk_pep50;mtk_soc_offload_common;mtk_vcodec_dec_v1;mtk_vcodec_enc_v1;mtk_vcu;pda_drv_mt6878;ppp_generic;rfkill;scp;slcan;snd_soc_tfa98xx;sspm_v3;st21nfc;system_heap;tcpc_class;tkcore;tkcore_drv;touch_boost;usb_offload;usbnet;vcp;wlan_drv_gen4m_6878;wmt_chrdev_wifi_connac2;wwan,75,76,0,1,0,0,1,1,1,1,focaltech_touch_spi_ft3680
__kmalloc,0xeb233a45,KERNEL_OR_BUILTIN,,0,aee_aed;apu_top;apusys;asix;aw883xx_driver;ax88179_178a;blocktag;bluetooth;bootprof;bt_drv_6878;camera_eeprom_v4l2;can_bcm;ccci_dpmaif;ccci_md_all;ccci_util_lib;cdc_acm;cdc_ncm;cfg80211;clk_common;clkbuf;cmdq_sec_drv;connadp;connfem;conninfra;cpufreq_sugov_ext;device_apc_common;drm_display_helper;extdev_io_class;ffa_v10;fhctl;fmradio_drv_connac2x;focaltech_touch_spi_ft3680;ged;gz_ipc_mod;gz_main_mod;gz_tz_system;gz_virtio_mod;hf_manager;hynitron;i2c_mt65xx;ieee802154;imgsensor;l2tp_core;load_track;log_store;mac80211;mac802154;mali_kbase_mt6878_r44;mcupm;md_cooling_all;mddp;mdp_drv_mt6878;mediatek_drm;mediatek_drm_gateic;mediatek_drm_panel_drv;met;mrdump;mt6375_battery;mtk_c2ps;mtk_cam_isp7sp;mtk_cmdq_drv_ext;mtk_core_ctl;mtk_cpu_power_throttling;mtk_fpsgo;mtk_hcp;mtk_heap_debug;mtk_icc_core;mtk_ioctl_powerhal;mtk_lpm;mtk_lpm_dbg_common_v2;mtk_lpm_dbg_mt6878;mtk_mbraink;mtk_md_power_throttling;mtk_mmdvfs_debug;mtk_mmdvfs_v3;mtk_mml;mtk_perf_common;mtk_perf_ioctl;mtk_perf_ioctl_magt;mtk_sec_heap;mtk_swpm_dbg_v6878;mtk_tinysys_ipi;mtk_u_ether;mtk_usb_f_rndis;mtk_vcodec_common;mtu3;nfc;pd_dbg_info;pmic_lbat_service;powerhal_cpu_ctrl;ppp_mppe;r8152;rfcomm;rfkill;rpmb_mtk;rps_perf;rt5133_regulator;scheduler;scp;sensorhub;slhc;snd_soc_tfa98xx;spi_mt65xx;sspm_v3;system_heap;thermal_interface;tipc;tkcore_drv;touch_boost;ufs_mediatek_mod;usb_offload;usbnet;usbserial;wlan_drv_gen4m_6878;xhci_mtk_hcd_v2;yft_devinfo,116,117,0,1,1,0,1,1,1,1,aw883xx_driver;focaltech_touch_spi_ft3680
__list_add_valid,0x68f31cbd,KERNEL_OR_BUILTIN,,0,8021q;aee_aed;apu_top;apusys;aw883xx_driver;blocktag;bluetooth;bootprof;c2k_usb;can_bcm;can_raw;ccci_md_all;ccci_util_lib;ccd_rpmsg;cfg80211;cmdq_sec_drv;connscp;device_apc_common;drm_display_helper;flashlight;focaltech_touch_spi_ft3680;ged;gz_ipc_mod;gz_trusty_mod;gz_virtio_mod;gzvm;hci_uart;hf_manager;hidp;ieee802154;imgsensor_glue;iommu_debug;mac80211;mac802154;mali_kbase_mt6878_r44;mali_mgm_mt6878_r44;md_cooling_all;mddp;mdp_drv_mt6878;mediatek_drm;mediatek_drm_gateic;mediatek_drm_panel_drv;met;microarray_fp_tee;mmprofile;mmqos_common;monitor_hang;mt6375_battery;mtk_c2ps;mtk_cam_isp7sp;mtk_cmdq_drv_ext;mtk_cpu_power_throttling;mtk_fpsgo;mtk_gpu_hal;mtk_hcp;mtk_heap_debug;mtk_icc_core;mtk_imgsys_v4l2;mtk_iommu;mtk_lpm;mtk_lpm_dbg_common_v2;mtk_mml;mtk_panel_ext;mtk_pbm;mtk_sec_heap;mtk_swpm;mtk_sync;mtk_u_ether;mtk_uart_apdma;mtk_usb_f_rndis;mtk_vcodec_common;mtk_vcodec_dec_v1;mtk_vcodec_enc_v1;mtk_vcu;mtu3;mux_switch;nfc;pd_dbg_info;pmic_lbat_service;powerhal_cpu_ctrl;ppp_generic;r8152;reboot_mode;rfcomm;rfkill;scheduler;sensorhub;snd_soc_mt6878_afe;snd_soc_tfa98xx;spi_tiny_co5300_lcd;system_heap;task_turbo;tipc;tkcore;tkcore_drv;tmem_ffa;touch_boost;usb_boost;usb_meta;usb_offload;usbserial;wlan_drv_gen4m_6878;xhci_mtk_hcd_v2;yft_devinfo;zsmalloc,105,106,0,1,0,0,1,1,1,1,aw883xx_driver;focaltech_touch_spi_ft3680
__msecs_to_jiffies,0x7f02188f,KERNEL_OR_BUILTIN,,0,adsp;apu_top;apusys;audio_ipi;aw883xx_driver;bluetooth;can_dev;cdc_acm;cfg80211;cmdq_sec_drv;conninfra;cpuqos_v3;cqhci;focaltech_touch_spi_ft3680;gps_drv_dl_v051;gz_ipc_mod;hci_uart;imgsensor;l2tp_ppp;load_track;mac80211;mali_kbase_mt6878_r44;mediatek_drm;mt6363_regulator;mt6369_regulator;mt6375_charger;mtk_cam_isp7sp;mtk_cg_peak_power_throttling;mtk_cmdq_drv_ext;mtk_core_ctl;mtk_dpc;mtk_lpm_dbg_common_v2;mtk_mml;mtk_perf_common;mtk_swpm_dbg_v6878;mtk_vcodec_common;mtk_vcodec_dec_v1;mtk_vcodec_enc_v1;nfc;pmic_lbat_service;spi_mt65xx;spmi_mtk_mpu;tcpc_class;tipc;tmem_ffa;usbserial;wlan_drv_gen4m_6878;yft_gpio_keys,48,49,0,1,0,0,1,1,1,1,aw883xx_driver;focaltech_touch_spi_ft3680
__mutex_init,0xa571f6b0,KERNEL_OR_BUILTIN,,0,8250_mtk;adapter_class;adsp;aee_aed;apu_top;apusys;atf_logger;aw36515;aw36518;aw36518_v2;aw883xx_driver;bluetooth;bt_drv_6878;c2k_usb;camera_af_media;camera_dpe_isp7sp;camera_eeprom_v4l2;ccci_fsm_scp;ccci_md_all;ccd_rpmsg;cdc_acm;cfg80211;charger_class;cmdq_sec_drv;cmdq_test;conninfra;connscp;cpufreq_sugov_ext;drm_display_helper;extdev_io_class;ffa_v10;focaltech_touch_spi_ft3680;ftdi_sio;ged;gps_drv_dl_v051;gpueb;gz_ipc_mod;gz_log_mod;gz_main_mod;gz_trusty_mod;gz_tz_system;gz_virtio_mod;gzvm;hci_uart;hf_manager;hidp;hynitron;imgsensor;kfifo_buf;l2tp_ppp;leds_ln2403;leds_mtk;leds_rgb_aw2013;mac80211;mac802154;mali_dmabuf_test_mt6878_r44;mali_kbase_mt6878_r44;mddp;mdp_drv_mt6878;mediatek_drm;met;mmqos_common;mt6338_core;mt6369_accdet;mt6375;mt6375_adc;mt6375_auxadc;mt6375_battery;mt6375_charger;mt6685_audclk;mtk_aie;mtk_c2ps;mtk_cam_isp7sp;mtk_ccd_remoteproc;mtk_ccuv;mtk_charger_algorithm_class;mtk_charger_framework;mtk_chg_type_det;mtk_cmdq_drv_ext;mtk_composite;mtk_dvfsrc;mtk_dvfsrc_helper;mtk_fpsgo;mtk_hcp;mtk_imgsys_cmdq;mtk_imgsys_v4l2;mtk_iommu;mtk_jpeg;mtk_mmdvfs;mtk_mml;mtk_pd_adapter;mtk_pd_charging;mtk_pep;mtk_pep40;mtk_pep50;mtk_pwm;mtk_scp_audiocommon;mtk_sec_heap;mtk_soc_offload_common;mtk_spmi_pmic;mtk_spmi_pmic_adc;mtk_tinysys_ipi;mtk_uart_apdma;mtk_usb_f_rndis;mtk_vcodec_dec_v1;mtk_vcodec_enc_v1;mtk_vcu;mtk_vmm_isp71_regulator;nfc;nvmem_mt635x_efuse;pmic_lvsys_notify;ppp_generic;r8152;rfcomm;rfkill;rpmb;rtc_mt6685;sapu;scp;sensorhub;sh366003_fg;snd_soc_mt6878_afe;snd_soc_tfa98xx;soc_temp_lvts;spmi_mtk_pmif;st21nfc;system_heap;tcpc_class;thermal_interface;thermal_trace;tkcore;tkcore_drv;tmem_ffa;uarthub_drv;usb_meta;usb_offload;usbnet;usbserial;vcp;wlan_drv_gen4m_6878;wmt_chrdev_wifi_connac2;wwan;xhci_mtk_hcd_v2;yft_devinfo;yft_gpio_keys,145,146,0,1,1,0,1,1,1,1,aw36515;aw36518;aw36518_v2;aw883xx_driver;focaltech_touch_spi_ft3680
