symbol,crc,provider_kind,provider_modules,provider_module_count,consumer_modules,consumer_module_count,import_record_count,in_kernel_base,in_kernel_mtk,in_kernel_nothing,in_device_base,in_device_mtk,in_device_mtk_union,in_kernel_nothing_union,in_any_published_nothing_list
DAL_Clean,0x79809043,STOCK_MODULE,mediatek_drm,1,aee_rs,1,1,0,0,0,0,0,0,0,0
DAL_Printf,0xf977571c,STOCK_MODULE,mediatek_drm,1,aee_rs,1,1,0,0,0,0,0,0,0,0
DAL_SetColor,0x10839f69,STOCK_MODULE,mediatek_drm,1,aee_rs,1,1,0,0,0,0,0,0,0,0
DAL_SetScreenColor,0xd8ff81bb,STOCK_MODULE,mediatek_drm,1,aee_rs,1,1,0,0,0,0,0,0,0,0
KREE_AppendSecureMultichunkmem,0x9a19c31a,STOCK_MODULE,gz_tz_system,1,gz_main_mod;tmem_ffa,2,2,0,0,0,0,0,0,0,0
KREE_CloseSession,0x5878d629,STOCK_MODULE,gz_tz_system,1,cmdq_sec_drv;gz_main_mod;mtk_cam_isp7sp;sapu;tmem_ffa,5,5,0,0,0,0,0,0,0,0
KREE_ConfigSecureMultiChunkMemInfo,0xbdb6a34b,STOCK_MODULE,gz_tz_system,1,tmem_ffa,1,1,0,0,0,0,0,0,0,0
KREE_CreateSession,0x552d4efc,STOCK_MODULE,gz_tz_system,1,cmdq_sec_drv;gz_main_mod;mtk_cam_isp7sp;sapu;tmem_ffa,5,5,0,0,0,0,0,0,0,0
KREE_ION_AllocChunkmem,0x3d5d5254,STOCK_MODULE,gz_tz_system,1,gz_main_mod;tmem_ffa,2,2,0,0,0,0,0,0,0,0
KREE_ION_QueryChunkmem_TEST,0x14085470,STOCK_MODULE,gz_tz_system,1,gz_main_mod,1,1,0,0,0,0,0,0,0,0
KREE_ION_ReferenceChunkmem,0x5df7236c,STOCK_MODULE,gz_tz_system,1,gz_main_mod,1,1,0,0,0,0,0,0,0,0
KREE_ION_UnreferenceChunkmem,0x8dceb484,STOCK_MODULE,gz_tz_system,1,gz_main_mod;tmem_ffa,2,2,0,0,0,0,0,0,0,0
KREE_ION_ZallocChunkmem,0x0175c8da,STOCK_MODULE,gz_tz_system,1,gz_main_mod;tmem_ffa,2,2,0,0,0,0,0,0,0,0
KREE_RegisterSharedmem,0xfbdd82be,STOCK_MODULE,gz_tz_system,1,cmdq_sec_drv;gz_main_mod,2,2,0,0,0,0,0,0,0,0
KREE_ReleaseSecureMultichunkmem,0x44781e48,STOCK_MODULE,gz_tz_system,1,gz_main_mod;tmem_ffa,2,2,0,0,0,0,0,0,0,0
KREE_TeeServiceCall,0xec19e146,STOCK_MODULE,gz_tz_system,1,gz_main_mod;mtk_cam_isp7sp;sapu;tmem_ffa,4,4,0,0,0,0,0,0,0,0
KREE_TeeServiceCallPlus,0xf45addc2,STOCK_MODULE,gz_tz_system,1,cmdq_sec_drv;gz_main_mod,2,2,0,0,0,0,0,0,0,0
KREE_UnregisterSharedmem,0xd9a6d5ea,STOCK_MODULE,gz_tz_system,1,cmdq_sec_drv;gz_main_mod,2,2,0,0,0,0,0,0,0,0
MTKGPUQoS_mode,0x50d37958,STOCK_MODULE,mtk_gpu_qos,1,ged,1,1,0,0,0,0,0,0,0,0
MTKGPUQoS_setup,0x2cdce23b,STOCK_MODULE,mtk_gpu_qos,1,ged,1,1,0,0,0,0,0,0,0,0
RingBuf_Bridge_update_writeptr,0xe797699b,STOCK_MODULE,snd_soc_audiodsp_common,1,mtk_soc_offload_common,1,1,0,0,0,0,0,0,0,0
RingBuf_Reset,0x1470f6d6,STOCK_MODULE,snd_soc_audiodsp_common,1,mtk_soc_offload_common,1,1,0,0,0,0,0,0,0,0
RingBuf_copyFromUserLinear,0x2220af5a,STOCK_MODULE,snd_soc_audiodsp_common,1,mtk_soc_offload_common,1,1,0,0,0,0,0,0,0,0
