partition,filename,relative_path,sha256,size_bytes,module_name,vermagic,depends,aliases,softdeps,license,description,srcversion,retpoline,elf_machine,imported_symbol_count,exported_symbol_count,has___versions
system_dlkm,6lowpan.ko,system_dlkm/lib/modules/6lowpan.ko,114382f9de42b1bf15dc0078f75cf0f1749224234d3005613bb23c027f1fcc53,59329,6lowpan,6.1.115-android14-11-g6b18f0b574ab-ab12901745 SMP preempt mod_unload modversions aarch64,,,,GPL,,,,AArch64,28,8,yes
system_dlkm,8021q.ko,system_dlkm/lib/modules/8021q.ko,cfb646ad2a9b14491e375da49018869fab13473946e8d0ecea5b9ffb95c6ceb8,113841,8021q,6.1.115-android14-11-g6b18f0b574ab-ab12901745 SMP preempt mod_unload modversions aarch64,,rtnl-link-vlan,,GPL,,32531D968F821C0BEB640D1,,AArch64,96,0,yes
system_dlkm,aqc111.ko,system_dlkm/lib/modules/aqc111.ko,0477a6535f4da8a5881b9d9699940983317263dcf7e7e865685d377cd82a2fb2,91201,aqc111,6.1.115-android14-11-g6b18f0b574ab-ab12901745 SMP preempt mod_unload modversions aarch64,usbnet,usb:v2ECApC101d*dc*dsc*dp*icFFisc*ip*in*;usb:v2ECApC101d*dc*dsc*dp*ic02isc06ip00in*;usb:v0B95p2790d*dc*dsc*dp*icFFisc*ip*in*;usb:v0B95p2790d*dc*dsc*dp*ic02isc06ip00in*;usb:v0B95p2791d*dc*dsc*dp*icFFisc*ip*in*;usb:v0B95p2791d*dc*dsc*dp*ic02isc06ip00in*;usb:v20F4pE05Ad*dc*dsc*dp*icFFisc*ip*in*;usb:v20F4pE05Ad*dc*dsc*dp*ic02isc06ip00in*;usb:v1C04p0015d*dc*dsc*dp*icFFisc*ip*in*;usb:v1C04p0015d*dc*dsc*dp*ic02isc06ip00in*,,GPL,Aquantia AQtion USB to 5/2.5GbE Controllers,,,AArch64,52,0,yes
system_dlkm,asix.ko,system_dlkm/lib/modules/asix.ko,2bc60655e40bc7cef194d9eb4fd2546874ac33e8a18f7c85ac3073bede9a73a8,126937,asix,6.1.115-android14-11-g6b18f0b574ab-ab12901745 SMP preempt mod_unload modversions aarch64,"usbnet,mii",usb:v077Bp2226d*dc*dsc*dp*ic*isc*ip*in*;usb:v0846p1040d*dc*dsc*dp*ic*isc*ip*in*;usb:v2001p1A00d*dc*dsc*dp*ic*isc*ip*in*;usb:v0B95p1720d*dc*dsc*dp*ic*isc*ip*in*;usb:v07B8p420Ad*dc*dsc*dp*ic*isc*ip*in*;usb:v08DDp90FFd*dc*dsc*dp*ic*isc*ip*in*;usb:v08DDp0114d*dc*dsc*dp*ic*isc*ip*in*;usb:v0557p2009d*dc*dsc*dp*ic*isc*ip*in*;usb:v0411p003Dd*dc*dsc*dp*ic*isc*ip*in*;usb:v0411p006Ed*dc*dsc*dp*ic*isc*ip*in*;usb:v6189p182Dd*dc*dsc*dp*ic*isc*ip*in*;usb:v0DF6p0056d*dc*dsc*dp*ic*isc*ip*in*;usb:v0DF6p061Cd*dc*dsc*dp*ic*isc*ip*in*;usb:v07AAp0017d*dc*dsc*dp*ic*isc*ip*in*;usb:v1189p0893d*dc*dsc*dp*ic*isc*ip*in*;usb:v1631p6200d*dc*dsc*dp*ic*isc*ip*in*;usb:v04F1p3008d*dc*dsc*dp*ic*isc*ip*in*;usb:v17EFp7203d*dc*dsc*dp*ic*isc*ip*in*;usb:v0B95p772Bd*dc*dsc*dp*ic*isc*ip*in*;usb:v0B95p7720d*dc*dsc*dp*ic*isc*ip*in*;usb:v0B95p1780d*dc*dsc*dp*ic*isc*ip*in*;usb:v0789p0160d*dc*dsc*dp*ic*isc*ip*in*;usb:v13B1p0018d*dc*dsc*dp*ic*isc*ip*in*;usb:v1557p7720d*dc*dsc*dp*ic*isc*ip*in*;usb:v07D1p3C05d*dc*dsc*dp*ic*isc*ip*in*;usb:v2001p3C05d*dc*dsc*dp*ic*isc*ip*in*;usb:v2001p1A02d*dc*dsc*dp*ic*isc*ip*in*;usb:v1737p0039d*dc*dsc*dp*ic*isc*ip*in*;usb:v04BBp0930d*dc*dsc*dp*ic*isc*ip*in*;usb:v050Dp5055d*dc*dsc*dp*ic*isc*ip*in*;usb:v05ACp1402d*dc*dsc*dp*ic*isc*ip*in*;usb:v0B95p772Ad*dc*dsc*dp*ic*isc*ip*in*;usb:v14EApAB11d*dc*dsc*dp*ic*isc*ip*in*;usb:v0DB0pA877d*dc*dsc*dp*ic*isc*ip*in*;usb:v0B95p7E2Bd*dc*dsc*dp*ic*isc*ip*in*;usb:v0B95p172Ad*dc*dsc*dp*ic*isc*ip*in*;usb:v066Bp20F9d*dc*dsc*dp*ic*isc*ip*in*,,GPL,ASIX AX8817X based USB 2.0 Ethernet Devices,22903A700AA18DF7B39B238,,AArch64,97,0,yes
system_dlkm,ax88179_178a.ko,system_dlkm/lib/modules/ax88179_178a.ko,aa4ce68ca8a1a6b062305f9dc92e41a0731706d5d5c0d1e132d7281e8924a358,103737,ax88179_178a,6.1.115-android14-11-g6b18f0b574ab-ab12901745 SMP preempt mod_unload modversions aarch64,"usbnet,mii",usb:v0B95p1790d*dc*dsc*dp*icFFiscFFip00in*;usb:v0B95p178Ad*dc*dsc*dp*icFFiscFFip00in*;usb:v04B4p3610d*dc*dsc*dp*icFFiscFFip00in*;usb:v2001p4A00d*dc*dsc*dp*icFFiscFFip00in*;usb:v0DF6p0072d*dc*dsc*dp*icFFiscFFip00in*;usb:v04E8pA100d*dc*dsc*dp*icFFiscFFip00in*;usb:v17EFp304Bd*dc*dsc*dp*icFFiscFFip00in*;usb:v050Dp0128d*dc*dsc*dp*icFFiscFFip00in*;usb:v0930p0A13d*dc*dsc*dp*icFFiscFFip00in*;usb:v0711p0179d*dc*dsc*dp*icFFiscFFip00in*;usb:v07C9p000Ed*dc*dsc*dp*icFFiscFFip00in*;usb:v07C9p000Fd*dc*dsc*dp*icFFiscFFip00in*;usb:v07C9p0010d*dc*dsc*dp*icFFiscFFip00in*,,GPL,ASIX AX88179/178A based USB 3.0/2.0 Gigabit Ethernet Devices,,,AArch64,56,0,yes
system_dlkm,bluetooth.ko,system_dlkm/lib/modules/bluetooth.ko,d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555,1404417,bluetooth,6.1.115-android14-11-g6b18f0b574ab-ab12901745 SMP preempt mod_unload modversions aarch64,rfkill,net-pf-31,,GPL,Bluetooth Core ver 2.22,9E17CAE916EF8C636C6E105,,AArch64,218,72,yes
system_dlkm,bsd_comp.ko,system_dlkm/lib/modules/bsd_comp.ko,e155bc4b6e55e233cfeef6f11462011c9c31df6c0e17cc31f40a4985f2fb239d,21465,bsd_comp,6.1.115-android14-11-g6b18f0b574ab-ab12901745 SMP preempt mod_unload modversions aarch64,ppp_generic,ppp-compress-21,,Dual BSD/GPL,,,,AArch64,8,0,yes
system_dlkm,btbcm.ko,system_dlkm/lib/modules/btbcm.ko,97214cadc479e3767c0bef66438dfd4a6504894d602b7f1234fc5a5a806ed266,51129,btbcm,6.1.115-android14-11-g6b18f0b574ab-ab12901745 SMP preempt mod_unload modversions aarch64,bluetooth,,,GPL,Bluetooth support for Broadcom devices ver 0.1,AB4AD4986925484D817AA4E,,AArch64,20,9,yes
system_dlkm,btqca.ko,system_dlkm/lib/modules/btqca.ko,b5b6677cd34af02e0c9c868b2ee6281b2f52a6b8418c0147f88b1a9dd5025525,45689,btqca,6.1.115-android14-11-g6b18f0b574ab-ab12901745 SMP preempt mod_unload modversions aarch64,bluetooth,,,GPL,Bluetooth support for Qualcomm Atheros family ver 0.1,583E8309B6197B175B82288,,AArch64,23,5,yes
system_dlkm,btsdio.ko,system_dlkm/lib/modules/btsdio.ko,bc34a4408d1ab4390239148f65e6934d56e3d9dd03fce1cb15022a68d86eca5c,60617,btsdio,6.1.115-android14-11-g6b18f0b574ab-ab12901745 SMP preempt mod_unload modversions aarch64,bluetooth,sdio:c02v*d*;sdio:c03v*d*;sdio:c09v*d*,,GPL,Generic Bluetooth SDIO driver ver 0.1,7211B71BB546DBF6F603C7D,,AArch64,32,0,yes
system_dlkm,can-bcm.ko,system_dlkm/lib/modules/can-bcm.ko,100f2e4f5afd9e58468d715a480d9bb79c3793d697d4f52989b2d4472ee243e6,95897,can_bcm,6.1.115-android14-11-g6b18f0b574ab-ab12901745 SMP preempt mod_unload modversions aarch64,can,can-proto-2,,Dual BSD/GPL,PF_CAN broadcast manager protocol,,,AArch64,74,0,yes
system_dlkm,can-dev.ko,system_dlkm/lib/modules/can-dev.ko,25a1735dacd0601c5462440de58629b675e31cb6858ff354df43045cd83c4727,98761,can_dev,6.1.115-android14-11-g6b18f0b574ab-ab12901745 SMP preempt mod_unload modversions aarch64,,rtnl-link-can,,GPL v2,CAN device driver interface,,,AArch64,60,37,yes
system_dlkm,can-gw.ko,system_dlkm/lib/modules/can-gw.ko,70791ad902e31633227f8869b59e338f1a744895231e2434edd2c3b18a2c2318,82993,can_gw,6.1.115-android14-11-g6b18f0b574ab-ab12901745 SMP preempt mod_unload modversions aarch64,can,can-gw,,Dual BSD/GPL,PF_CAN netlink gateway,,,AArch64,40,0,yes
system_dlkm,can-raw.ko,system_dlkm/lib/modules/can-raw.ko,76ebbac99b0a748601216bf51bada84761504a875962f66d6fe090ab1bdba156,84129,can_raw,6.1.115-android14-11-g6b18f0b574ab-ab12901745 SMP preempt mod_unload modversions aarch64,can,can-proto-1,,Dual BSD/GPL,PF_CAN raw protocol,,,AArch64,60,0,yes
system_dlkm,can.ko,system_dlkm/lib/modules/can.ko,793b985a3b132e326e0668ba593ee22dd6bf57178687981d4be68f8037d60434,91161,can,6.1.115-android14-11-g6b18f0b574ab-ab12901745 SMP preempt mod_unload modversions aarch64,,net-pf-29,,Dual BSD/GPL,Controller Area Network PF_CAN core,,,AArch64,56,6,yes
