sha256,filename,module_name,locations,paths,placement_count,size_bytes,vermagic,srcversion,depends_modinfo,modules_dep_dependencies,aliases,softdeps,license,description,import_modversion_count,export_count,normal_load_locations,recovery_load_locations,classification,classification_evidence
002ad3ef1927928c87cbddd2b27e926e59813ca2f62b5e3289655e0a6216a5e1,main_vcm.ko,main_vcm,vendor_dlkm,vendor_dlkm:main_vcm.ko,1,29568,6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64,,,,"i2c:main_vcm;of:N*T*Cmediatek,main_vcm;of:N*T*Cmediatek,main_vcmC*",,GPL,MAIN_VCM VCM driver,29,0,vendor_dlkm,,DIRECT_SOURCE_MATCH,"exact module name plus target-scoped hardware corroboration: device_modules:drivers/misc/mediatek/lens/vcm/v4l2/main_vcm target-scoped (compatible=mediatek,main_vcm)"
012154006ea26048afb958202d54744ff53889dd7b408d0c59ca681a3edcd004,pmic_lvsys_notify.ko,pmic_lvsys_notify,vendor_boot_platform,vendor_boot_platform:pmic_lvsys_notify.ko,1,24232,6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64,,,,"of:N*T*Cmediatek,mt6363-lvsys-notify;of:N*T*Cmediatek,mt6363-lvsys-notifyC*",,GPL,MTK pmic lvsys notify driver,21,2,vendor_boot_platform,vendor_boot_platform,DIRECT_SOURCE_MATCH,"exact module name plus target-scoped hardware corroboration: device_modules:drivers/misc/mediatek/power_throttling target-scoped (compatible=mediatek,mt6363-lvsys-notify; exports=lvsys_register_notifier,lvsys_unregister_notifier)"
0136628a3419d3c7d02274cb4056c343bd463cba7115eb1f19625d524402cfa9,mt6685-audclk.ko,mt6685_audclk,vendor_boot_platform,vendor_boot_platform:mt6685-audclk.ko,1,15272,6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64,,,,,,GPL v2,MediaTek PMIC AUDCLK Driver for MT6685 PMIC,9,2,vendor_boot_platform,vendor_boot_platform,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/mfd TARGET_FILES (exports=mt6685_set_dcxo,mt6685_set_dcxo_mode)"
01af3b923c3cde9ac85020a9e26cc40a5f5f8d807ec8ccf63a2b22e8275529d0,mtk-vcodec-dec-v1.ko,mtk_vcodec_dec_v1,vendor_dlkm,vendor_dlkm:mtk-vcodec-dec-v1.ko,1,501760,6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64,,"mtk-vcodec-common,mtk-icc-core,vcp,mtk_tinysys_ipi,emi,mtk-mmdvfs-v3,vcp_status,system_heap,iommu_debug,mtk_slbc",cpudvfs.ko;cpufreq_sugov_ext.ko;cpuqos_v3.ko;gpueb.ko;mtk-mbox.ko;mtk-vcodec-common.ko;mtk_dynamic_loading_throttling.ko;mtk_gpu_hal.ko;mtk_gpufreq_wrapper.ko;mtk_ioctl_powerhal.ko;mtk_low_battery_throttling.ko;mtk_mdpm.ko;mtk_pbm.ko;mtk_rpmsg_mbox.ko;mtk_tinysys_ipi.ko;powerhal_cpu_ctrl.ko;scheduler.ko;thermal_interface.ko;vcp.ko,"of:N*T*Cmediatek,mt8173-vcodec-dec;of:N*T*Cmediatek,mt8173-vcodec-decC*;of:N*T*Cmediatek,mt2712-vcodec-dec;of:N*T*Cmediatek,mt2712-vcodec-decC*;of:N*T*Cmediatek,mt8167-vcodec-dec;of:N*T*Cmediatek,mt8167-vcodec-decC*;of:N*T*Cmediatek,mt6771-vcodec-dec;of:N*T*Cmediatek,mt6771-vcodec-decC*;of:N*T*Cmediatek,mt6885-vcodec-dec;of:N*T*Cmediatek,mt6885-vcodec-decC*;of:N*T*Cmediatek,mt6873-vcodec-dec;of:N*T*Cmediatek,mt6873-vcodec-decC*;of:N*T*Cmediatek,mt6853-vcodec-dec;of:N*T*Cmediatek,mt6853-vcodec-decC*;of:N*T*Cmediatek,mt6983-vcodec-dec;of:N*T*Cmediatek,mt6983-vcodec-decC*;of:N*T*Cmediatek,mt6879-vcodec-dec;of:N*T*Cmediatek,mt6879-vcodec-decC*;of:N*T*Cmediatek,mt6895-vcodec-dec;of:N*T*Cmediatek,mt6895-vcodec-decC*;of:N*T*Cmediatek,mt6855-vcodec-dec;of:N*T*Cmediatek,mt6855-vcodec-decC*;of:N*T*Cmediatek,mt6985-vcodec-dec;of:N*T*Cmediatek,mt6985-vcodec-decC*;of:N*T*Cmediatek,mt6886-vcodec-dec;of:N*T*Cmediatek,mt6886-vcodec-decC*;of:N*T*Cmediatek,mt8195-vcodec-dec;of:N*T*Cmediatek,mt8195-vcodec-decC*;of:N*T*Cmediatek,mt6835-vcodec-dec;of:N*T*Cmediatek,mt6835-vcodec-decC*;of:N*T*Cmediatek,mt6897-vcodec-dec;of:N*T*Cmediatek,mt6897-vcodec-decC*;of:N*T*Cmediatek,mt6989-vcodec-dec;of:N*T*Cmediatek,mt6989-vcodec-decC*;of:N*T*Cmediatek,mt6878-vcodec-dec;of:N*T*Cmediatek,mt6878-vcodec-decC*;of:N*T*Cmediatek,vdec_gcon;of:N*T*Cmediatek,vdec_gconC*",,GPL v2;GPL v2,Mediatek video codec V4L2 decoder driver,254,0,vendor_dlkm,,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/media/platform/mtk-vcodec DIRECTORY_FALLBACK (compatible=mediatek,mt2712-vcodec-dec,mediatek,mt6771-vcodec-dec,mediatek,mt6835-vcodec-dec,mediatek,mt6853-vcodec-dec)"
01b3782bb6c99b1b8e0a032a743ef497e0d313c634aff7b4828e0622ee3dd3b8,ieee802154_socket.ko,ieee802154_socket,system_dlkm,system_dlkm:ieee802154_socket.ko,1,74545,6.1.115-android14-11-g6b18f0b574ab-ab12901745 SMP preempt mod_unload modversions aarch64,,ieee802154,ieee802154.ko,net-pf-36,,GPL,,76,0,system_dlkm,,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; kernel:net/ieee802154
02d2b0536b1a84ebdd454894343b07044c151c5616452fd639ae48a139b75983,pmic_temp.ko,pmic_temp,vendor_dlkm,vendor_dlkm:pmic_temp.ko,1,33824,6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64,,,,"of:N*T*Cmediatek,mt6359-pmic-temp;of:N*T*Cmediatek,mt6359-pmic-tempC*;of:N*T*Cmediatek,mt6363-pmic-temp;of:N*T*Cmediatek,mt6363-pmic-tempC*;of:N*T*Cmediatek,mt6366-pmic-temp;of:N*T*Cmediatek,mt6366-pmic-tempC*;of:N*T*Cmediatek,mt6368-pmic-temp;of:N*T*Cmediatek,mt6368-pmic-tempC*;of:N*T*Cmediatek,mt6369-pmic-temp;of:N*T*Cmediatek,mt6369-pmic-tempC*;of:N*T*Cmediatek,mt6373-pmic-temp;of:N*T*Cmediatek,mt6373-pmic-tempC*;of:N*T*Cmediatek,mt6338-pmic-temp;of:N*T*Cmediatek,mt6338-pmic-tempC*",,GPL v2,Mediatek pmic temp sensor driver,21,0,vendor_dlkm,,DIRECT_SOURCE_MATCH,"exact module name plus target-scoped hardware corroboration: device_modules:drivers/thermal/mediatek target-scoped (compatible=mediatek,mt6338-pmic-temp,mediatek,mt6359-pmic-temp,mediatek,mt6363-pmic-temp,mediatek,mt6366-pmic-temp)"
037175478603983d5a333186c803bc2d9e424939ad87f8e8d088062400e25386,mtk-swpm-dbg-common-v1.ko,mtk_swpm_dbg_common_v1,vendor_dlkm,vendor_dlkm:mtk-swpm-dbg-common-v1.ko,1,20144,6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64,,"mtk-swpm,ged,mtk_gpu_hal,mtk-swpm-perf-arm-pmu",ged.ko;gpueb.ko;mtk-mbox.ko;mtk-swpm.ko;mtk_dynamic_loading_throttling.ko;mtk_gpu_hal.ko;mtk_gpu_qos.ko;mtk_gpufreq_wrapper.ko;mtk_low_battery_throttling.ko;mtk_mdpm.ko;mtk_pbm.ko;mtk_qos.ko;mtk_rpmsg_mbox.ko;mtk_tinysys_ipi.ko;sspm_v3.ko,,,GPL,,21,4,vendor_dlkm,,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/misc/mediatek/swpm/modules/debug/v1 DIRECTORY_FALLBACK (exports=swpm_dbg_common_fs_exit,swpm_dbg_common_fs_init,swpm_gpu_debug,swpm_status)"
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore.ko,tkcore,vendor_boot_platform,vendor_boot_platform:tkcore.ko,1,221352,6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64,604D4583E310DBFAC768366,,,,,GPL,TrustKernel TKCore TEEC v1.0,101,25,vendor_boot_platform,vendor_boot_platform,ULEFONE_ONLY,TrustKernel TKCore is a distinct TEE stack; matching GlobalPlatform TEEC API names in Nothing TEEI do not prove source equivalence
0423196dc09885535bf6673e86cb8998653b164f28fe743a0f0da258118ee10a,camera_eeprom_v4l2.ko,camera_eeprom_v4l2,vendor_dlkm,vendor_dlkm:camera_eeprom_v4l2.ko,1,194480,6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64,,,,"of:N*T*Cmediatek,camera_eeprom;of:N*T*Cmediatek,camera_eepromC*",,GPL v2,camera eeprom driver,38,0,vendor_dlkm,,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; kernel_modules:.
0477a6535f4da8a5881b9d9699940983317263dcf7e7e865685d377cd82a2fb2,aqc111.ko,aqc111,system_dlkm,system_dlkm:aqc111.ko,1,91201,6.1.115-android14-11-g6b18f0b574ab-ab12901745 SMP preempt mod_unload modversions aarch64,,usbnet,mii.ko;usbnet.ko,usb:v2ECApC101d*dc*dsc*dp*icFFisc*ip*in*;usb:v2ECApC101d*dc*dsc*dp*ic02isc06ip00in*;usb:v0B95p2790d*dc*dsc*dp*icFFisc*ip*in*;usb:v0B95p2790d*dc*dsc*dp*ic02isc06ip00in*;usb:v0B95p2791d*dc*dsc*dp*icFFisc*ip*in*;usb:v0B95p2791d*dc*dsc*dp*ic02isc06ip00in*;usb:v20F4pE05Ad*dc*dsc*dp*icFFisc*ip*in*;usb:v20F4pE05Ad*dc*dsc*dp*ic02isc06ip00in*;usb:v1C04p0015d*dc*dsc*dp*icFFisc*ip*in*;usb:v1C04p0015d*dc*dsc*dp*ic02isc06ip00in*,,GPL,Aquantia AQtion USB to 5/2.5GbE Controllers,53,0,system_dlkm,,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; kernel:drivers/net/usb
