0x0524767b	proc_create
0x0c1a5ee3	log_post_read_mmio
0x1348649e	alt_cb_patch_nops
0x29211c93	irq_get_irq_data
0x2be0c009	__arch_copy_from_user
0x3854774b	kstrtoll
0x40863ba1	ioremap_prot
0x4829a47e	memcpy
0x49cd25ed	alloc_workqueue
0x4b0a3f52	gic_nonsecure_priorities
0x4c353ac0	mtk_disp_notifier_register
0x4fcce10a	of_match_node
0x656e4a6e	snprintf
0x6b722180	log_read_mmio
0x732ac580	queue_work_on
0x79e4c52b	cpu_hwcaps
0x7c9a7371	clk_prepare
0x815588a6	clk_enable
0x85df9b6c	strsep
0x88db9f48	__check_object_size
0x894c433a	__platform_driver_register
0x92997ed8	_printk
0x92d5838e	request_threaded_irq
0x94a3f9c7	of_property_read_variable_u32_array
0x9ec6ca96	ktime_get_real_ts64
0xa11ab00a	mtk_disp_notifier_unregister
0xa25d3c67	devm_clk_get
0xa571f6b0	__mutex_init
0xa916b694	strnlen
0xaf56600a	arm64_use_ng_mappings
0xb077e70a	clk_unprepare
0xb6e6d99d	clk_disable
0xbc532593	mutex_lock_killable
0xc1514a3b	free_irq
0xc2c193d2	__stack_chk_fail
0xc3055d20	usleep_range_state
0xc905402b	log_write_mmio
0xcbd4898c	fortify_panic
0xce01cfc4	proc_remove
0xd653b126	sched_clock
0xdcb764ad	memset
0xe1b15563	platform_driver_unregister
0xe416cf51	irq_of_parse_and_map
0xea759d7f	module_layout
0xeae3dfd6	__const_udelay
0xed55cabd	mutex_unlock
0xedc03953	iounmap
0xf9a482f9	msleep
0xfa4d3c24	log_post_write_mmio
