provider_module,consumer_module,symbol_count,symbols
custom_ldo,imgsensor,2,custom_ldo_en;custom_ldo_vout
custom_ldo_wl2868,custom_ldo,2,will_ldo_en;will_ldo_vout
fingerprint,microarray_fp_tee,4,yft_finger_set_irq;yft_finger_set_reset;yft_finger_set_spi_mode;yft_waite_for_finger_dts_paser
hynitron,spi_tiny_co5300_lcd,2,tiny_tp_gesture_contorl;tiny_tp_power_contorl
tkcore,microarray_fp_tee,1,tee_spi_transfer
tkcore,tkcore_drv,11,__tee_get;tee_clkmgr_handle;tee_core_add;tee_core_alloc;tee_core_del;tee_map_cached_shm;tee_supp_cmd;tee_wait_queue_exit;tee_wait_queue_init;tee_wait_queue_sleep;tee_wait_queue_wakeup
tkcore,tmem_ffa,7,TEEC_CloseSession;TEEC_FinalizeContext;TEEC_InitializeContext;TEEC_InvokeCommand;TEEC_OpenSession;TEEC_RegisterSharedMemory;TEEC_ReleaseSharedMemory
yft_devinfo,aw36518,1,is_yft_cts_board
yft_devinfo,focaltech_touch_spi_ft3680,3,touch_fw_version;yft_set_touch_device_used;yft_spitouchpanel_device_add
yft_devinfo,hf_manager,10,yft_accsensor_device_add;yft_alspssensor_device_add;yft_barosensor_device_add;yft_msensor_device_add;yft_sarsensor_device_add;yft_set_accsensor_device_used;yft_set_alspssensor_device_used;yft_set_barosensor_device_used;yft_set_msensor_device_used;yft_set_sarsensor_device_used
yft_devinfo,hynitron,3,second_touch_fw_version;yft_set_touch_device_used;yft_touchpanel_device_add
yft_devinfo,imgsensor,3,is_yft_cts_board;yft_camera_device_add;yft_set_camera_device_used
yft_devinfo,sh366003_fg,3,fuelgauge_fw_version;yft_fuelgauge_device_add;yft_set_fuelgauge_device_used
yft_devinfo,spi_tiny_co5300_lcd,2,yft_set_tinylcd_device_used;yft_tinylcd_device_add
yft_tpd_gesture,focaltech_touch_spi_ft3680,3,tpgesture_hander;tpgesture_status;tpgesture_value
