symbol,crc,provider_kind,provider_modules,provider_module_count,consumer_modules,consumer_module_count,import_record_count,in_kernel_base,in_kernel_mtk,in_kernel_nothing,in_device_base,in_device_mtk,in_device_mtk_union,in_kernel_nothing_union,in_any_published_nothing_list,selected_consumers,nothing_name_status,crc_status
__arch_copy_from_user,0x2be0c009,KERNEL_OR_BUILTIN,,0,8021q;adsp;aee_aed;aee_rs;apu_top;apusys;audio_ipi;aw883xx_driver;blocktag;bluetooth;bootprof;bt_drv_6878;c2ps_perf_ioctl;camera_dpe_isp7sp;camera_eeprom_v4l2;can_dev;can_raw;ccci_dpmaif;ccci_md_all;ccci_util_lib;ccmni;clk_common;cmdq_test;connfem;conninfra;connscp;cpudvfs;cpuqos_v3;device_apc_common;fhctl;flashlight;fmradio_drv_connac2x;focaltech_touch_spi_ft3680;ged;gps_drv_dl_v051;gps_scp;gpueb;gz_main_mod;gzvm;hbt;hf_manager;hidp;ieee802154_socket;imgsensor;l2tp_ppp;log_store;main2_vcm;main3_vcm;main4_vcm;main_vcm;mali_dmabuf_test_mt6878_r44;mali_kbase_mt6878_r44;md_cooling_all;mddp;mdp_drv_mt6878;mediatek_drm;microarray_fp_tee;mmprofile;monitor_hang;mt6375_battery;mt6878_mt6369;mtk_btcvsd;mtk_cam_isp7sp;mtk_ccd_remoteproc;mtk_ccuv;mtk_charger_framework;mtk_core_ctl;mtk_dpc;mtk_gpu_qos;mtk_gpufreq_wrapper;mtk_hcp;mtk_heap_debug;mtk_imgsys_v4l2;mtk_ioctl_powerhal;mtk_ioctl_touch_boost;mtk_lpm;mtk_mbraink;mtk_mdpm;mtk_mmc_dbg;mtk_mml;mtk_pbm;mtk_peak_power_budget;mtk_perf_ioctl;mtk_perf_ioctl_magt;mtk_printk_ctrl;mtk_scp_audiocommon;mtk_soc_offload_common;mtk_swpm;mtk_vcodec_dec_v1;mtk_vcu;mtk_vow;mtu3;mux_switch;nfc;pda_drv_mt6878;phy_mtk_xsphy;pidmap;pinctrl_mtk_common_v2_debug;powerhal_cpu_ctrl;ppp_generic;rfcomm;rfkill;rpmb_mtk;rtc_mt6685;sapu;scheduler;scp;sec;snd_soc_audiodsp_common;snd_soc_mt6369;snd_soc_mtk_common;snd_soc_mtk_scp_ultra;snd_soc_tfa98xx;spi_tiny_co5300_lcd;sub_vcm;teeperf;thermal_interface;tipc;tkcore;touch_boost;uarthub_drv;ufs_mediatek_dbg;ufs_mediatek_mod;usb_logger;usb_offload;vcp;widevine_driver;wlan_drv_gen4m_6878;wmt_chrdev_wifi_connac2;wwan;xhci_mtk_hcd_v2;yft_tpd_gesture,132,133,0,1,1,0,1,1,1,1,microarray_fp_tee;spi_tiny_co5300_lcd;tkcore;yft_tpd_gesture,PUBLISHED_KMI_NAME,UNPROVEN
__arch_copy_to_user,0x9a85eebb,KERNEL_OR_BUILTIN,,0,8021q;adsp;aee_aed;apusys;atf_logger;audio_ipi;aw883xx_driver;blocktag;bluetooth;bt_drv_6878;camera_dpe_isp7sp;camera_eeprom_v4l2;can_dev;can_raw;ccci_dpmaif;ccci_md_all;ccci_util_lib;connfem;conninfra;connscp;custom_ldo_wl2868;dw9781c;flashlight;fmradio_drv_connac2x;focaltech_touch_spi_ft3680;ftdi_sio;ged;gps_drv_dl_v051;gps_pwr;gps_scp;gpueb;gz_log_mod;gz_main_mod;gzvm;hbt;hf_manager;hidp;ieee802154_socket;imgsensor;l2tp_ppp;mali_dmabuf_test_mt6878_r44;mali_kbase_mt6878_r44;mcupm;mddp;mdp_drv_mt6878;mediatek_drm;microarray_fp_tee;mmprofile;monitor_hang;mt6375_battery;mt6878_mt6369;mtk_btcvsd;mtk_ccd_remoteproc;mtk_ccuv;mtk_hcp;mtk_imgsys_v4l2;mtk_ioctl_powerhal;mtk_ioctl_touch_boost;mtk_mbraink;mtk_mml;mtk_perf_ioctl;mtk_perf_ioctl_magt;mtk_scp_audiocommon;mtk_soc_offload_common;mtk_vcu;mtk_vow;pda_drv_mt6878;ppp_generic;rfcomm;rfkill;rpmb_mtk;scheduler;scp;sec;slcan;snd_soc_audiodsp_common;snd_soc_mtk_common;snd_soc_mtk_scp_ultra;snd_soc_tfa98xx;spi_tiny_co5300_lcd;sspm_v3;st21nfc;tipc;tkcore;ufs_mediatek_mod;widevine_driver;wlan_drv_gen4m_6878;wwan;yft_tpd_gesture,89,90,0,1,1,0,1,1,1,1,custom_ldo_wl2868;microarray_fp_tee;spi_tiny_co5300_lcd;tkcore;yft_tpd_gesture,PUBLISHED_KMI_NAME,UNPROVEN
__arm_smccc_smc,0xf93aae46,KERNEL_OR_BUILTIN,,0,adsp;aee_aed;aee_hangdet;apu_top;apusys;atf_logger;bus_parity;ccci_ccif;ccci_dpmaif;ccci_fsm_scp;ccci_md_all;cmdq_sec_drv;conninfra;dbg_error_flag;dbgtop_drm;device_apc_common;emi;emi_mpu;fmradio_drv_connac2x;gps_drv_dl_v051;gpueb;gz_trusty_mod;iommu_secure;irq_dbg;mediatek_drm;mrdump;mtk_aie;mtk_btcvsd;mtk_cam_isp7sp;mtk_ccuv;mtk_cmdq_drv_ext;mtk_dvfsrc;mtk_dvfsrc_devfreq;mtk_dvfsrc_helper;mtk_dvfsrc_start;mtk_imgsys_isp7sp;mtk_imgsys_v4l2;mtk_iommu;mtk_lpm;mtk_lpm_dbg_common_v2;mtk_lpm_dbg_mt6878;mtk_lpm_plat_v1;mtk_mbox_mailbox;mtk_mmc;mtk_scpsys;mtk_sec_heap;mtk_ssc_dbg_v2;mtu3;scp;sec_rng;smpu;snd_soc_audiodsp_common;snd_soc_mt6878_afe;tkcore_drv;tmem_ffa;ufs_mediatek_mod;usb_offload;vcp,58,58,0,1,0,0,1,1,1,1,tkcore_drv,PUBLISHED_KMI_NAME,UNPROVEN
__bitmap_subset,0x3221df67,KERNEL_OR_BUILTIN,,0,yft_gpio_keys,1,1,0,1,0,0,0,0,1,1,yft_gpio_keys,PUBLISHED_KMI_NAME,UNPROVEN
__bitmap_weight,0x21ea5251,KERNEL_OR_BUILTIN,,0,apusys;cpufreq_sugov_ext;gz_ipc_mod;load_track;mali_kbase_mt6878_r44;mrdump;mtk_core_ctl;mtk_fpsgo;mtk_lpm;mtk_lpm_dbg_common_v2;mtk_lpm_plat_v1;mtk_pbm;mtk_perf_common;mtk_perf_ioctl_magt;mtk_swpm_dbg_common_v1;mtk_swpm_perf_arm_pmu;rps_perf;scheduler;thermal_interface;tkcore_drv;uload_ind;wlan_drv_gen4m_6878,22,22,0,1,1,0,1,1,1,1,tkcore_drv,PUBLISHED_KMI_NAME,UNPROVEN
__check_object_size,0x88db9f48,KERNEL_OR_BUILTIN,,0,adsp;aee_aed;apu_top;apusys;atf_logger;audio_ipi;aw883xx_driver;blocktag;bluetooth;bootprof;bt_drv_6878;c2ps_perf_ioctl;camera_dpe_isp7sp;camera_eeprom_v4l2;can_bcm;can_raw;ccci_dpmaif;ccci_md_all;ccci_util_lib;clk_common;cmdq_test;connfem;conninfra;connscp;cpudvfs;custom_ldo_wl2868;device_apc_common;fhctl;fmradio_drv_connac2x;focaltech_touch_spi_ft3680;ged;gps_drv_dl_v051;gps_pwr;gps_scp;gpueb;gz_ipc_mod;gz_log_mod;gz_main_mod;gzvm;hbt;hf_manager;ieee802154_socket;imgsensor;l2tp_ppp;log_store;mali_kbase_mt6878_r44;mcupm;md_cooling_all;mddp;mdp_drv_mt6878;mediatek_drm;microarray_fp_tee;mmprofile;monitor_hang;mtk_btcvsd;mtk_cam_isp7sp;mtk_ccd_remoteproc;mtk_charger_framework;mtk_dpc;mtk_gpu_qos;mtk_gpufreq_wrapper;mtk_hcp;mtk_heap_debug;mtk_imgsys_v4l2;mtk_ioctl_powerhal;mtk_lpm;mtk_mbraink;mtk_mdpm;mtk_mmc_dbg;mtk_mml;mtk_pbm;mtk_peak_power_budget;mtk_perf_ioctl;mtk_perf_ioctl_magt;mtk_printk_ctrl;mtk_scp_audiocommon;mtk_swpm;mtk_vcodec_dec_v1;mtk_vow;mtu3;mux_switch;nfc;phy_mtk_xsphy;pinctrl_mtk_common_v2_debug;powerhal_cpu_ctrl;ppp_generic;rfcomm;rfkill;rpmb_mtk;scheduler;scp;sec;slcan;snd_soc_audiodsp_common;snd_soc_mt6369;snd_soc_mtk_common;snd_soc_tfa98xx;sspm_v3;st21nfc;teeperf;thermal_interface;tipc;tkcore;touch_boost;uarthub_drv;ufs_mediatek_dbg;ufs_mediatek_mod;usb_logger;vcp;wlan_drv_gen4m_6878;wmt_chrdev_wifi_connac2;wwan;xhci_mtk_hcd_v2,113,114,0,1,0,0,1,1,1,1,custom_ldo_wl2868;microarray_fp_tee;tkcore,PUBLISHED_KMI_NAME,UNPROVEN
__class_create,0x13f8371b,KERNEL_OR_BUILTIN,,0,adapter_class;apusys;bluetooth;bt_drv_6878;c2k_usb;camera_dpe_isp7sp;camera_eeprom_v4l2;ccci_md_all;ccci_util_lib;charger_class;connadp;connfem;conninfra;connscp;extcon_mtk_usb;extdev_io_class;flashlight;fmradio_drv_connac2x;gps_drv_dl_v051;gps_pwr;gps_scp;gz_ipc_mod;gz_main_mod;hf_manager;mdp_drv_mt6878;mediatek_drm;microarray_fp_tee;mt6369_accdet;mt6375_battery;mtk_ccd_remoteproc;mtk_ccuv;mtk_cg_peak_power_throttling;mtk_charger_algorithm_class;mtk_hcp;mtk_vcu;panel_ky_vtdr6115_dphy_cmd;pda_drv_mt6878;ppp_generic;rpmb_mtk;sc8571_charger;sec;sh366003_fg;tcpc_class;teeperf;usb_boost;usb_meta;widevine_driver;wlan_drv_gen4m_6878;wmt_chrdev_wifi_connac2;wwan;yft_devinfo,51,52,0,1,0,0,1,1,1,1,microarray_fp_tee;panel_ky_vtdr6115_dphy_cmd;sc8571_charger;sh366003_fg;yft_devinfo,PUBLISHED_KMI_NAME,UNPROVEN
__const_udelay,0xeae3dfd6,KERNEL_OR_BUILTIN,,0,8250_mtk;adsp;aee_aed;aee_hangdet;apu_top;apusys;asix;board_temp;bt_drv_6878;cache_parity;ccci_ccif;ccci_dpmaif;ccci_md_all;clk_chk_mt6878;clk_common;clk_fmeter_mt6878;clkbuf;conninfra;dw9781c;emi_fake_eng;fhctl;focaltech_touch_spi_ft3680;hci_uart;hynitron;i2c_mt65xx;imgsensor;main2_vcm;main3_vcm;main4_vcm;main_vcm;mali_kbase_mt6878_r44;mediatek_drm;mediatek_drm_gateic;mediatek_drm_panel_drv;mmqos_common;mrdump;mt6363_regulator;mt6369_accdet;mt6369_regulator;mt6375_auxadc;mt6375_battery;mtk_cam_isp7sp;mtk_ccuv;mtk_dpc;mtk_dvfsrc;mtk_dvfsrc_helper;mtk_gpufreq_mt6878;mtk_iommu;mtk_lpm_dbg_common_v2;mtk_mmc;mtk_mmc_dbg;mtk_mmdvfs_v3;mtk_mminfra_debug;mtk_mml;mtk_perf_common;mtk_pwm;mtk_scpsys;mtk_smi_dbg;mtk_spmi_pmic_adc;mtk_tinysys_ipi;mtk_uart_apdma;mtk_vcodec_dec_v1;mtk_vcodec_enc_v1;mtk_vmm_spm;mtk_wdt;mtu3;nvmem_mt635x_efuse;pd_chk_mt6878;phy_mtk_ufs;phy_mtk_xsphy;pinctrl_mtk_common_v2_debug;pinctrl_mtk_v2;pmic_lbat_service;rt5133_regulator;rtc_mt6685;scp;sh366003_fg;snd_soc_mt6878_afe;soc_temp_lvts;spi_mt65xx;spi_tiny_co5300_lcd;spmi_mtk_pmif;sub_vcm;tcpc_mt6375;uarthub_drv;ufs_mediatek_mod;vcp;wlan_drv_gen4m_6878;xhci_mtk_hcd_v2;yft_tiny2c_usb,90,90,0,1,0,0,1,1,1,1,hynitron;sh366003_fg;spi_tiny_co5300_lcd;yft_tiny2c_usb,PUBLISHED_KMI_NAME,UNPROVEN
__copy_overflow,0x7682ba4e,KERNEL_OR_BUILTIN,,0,aee_aed;apusys;aw883xx_driver;bt_drv_6878;camera_dpe_isp7sp;custom_ldo_wl2868;gps_drv_dl_v051;gz_main_mod;mediatek_drm;mtk_mbraink;wlan_drv_gen4m_6878,11,11,0,1,0,0,0,0,1,1,custom_ldo_wl2868,PUBLISHED_KMI_NAME,UNPROVEN
__cpu_online_mask,0xac594e02,KERNEL_OR_BUILTIN,,0,aee_aed;aee_hangdet;apu_top;apusys;arm_dsu_pmu;blocktag;bt_drv_6878;cfg80211;cpufreq_sugov_ext;cpuqos_v3;ged;gz_ipc_mod;gz_trusty_mod;gz_virtio_mod;ieee802154;imgsensor;l2tp_core;lpm_gov_MHSP;mac80211;mac802154;mali_kbase_mt6878_r44;md_cooling_all;mediatek_drm;met;mmqos_common;monitor_hang;mtk_c2ps;mtk_cam_isp7sp;mtk_cg_peak_power_throttling;mtk_core_ctl;mtk_cpu_power_throttling;mtk_dvfsrc_regulator;mtk_emi;mtk_fpsgo;mtk_gpu_power_throttling;mtk_gpufreq_wrapper;mtk_icc_core;mtk_imgsys_cmdq;mtk_imgsys_v4l2;mtk_low_battery_throttling;mtk_lpm;mtk_lpm_dbg_common_v2;mtk_lpm_plat_v1;mtk_mbox;mtk_mbraink;mtk_mmdvfs_ftrace;mtk_peak_power_budget;mtk_perf_common;mtk_vmm_isp71_regulator;mtu3;powerhal_cpu_ctrl;rps_perf;rtc_mt6685;scheduler;snd_soc_audiodsp_common;task_turbo;thermal_trace;timer_mediatek;tipc;tkcore_drv;touch_boost;trace_mmstat;ufs_mediatek_mod;usb_logger;wlan_drv_gen4m_6878;xhci_mtk_hcd_v2,66,66,0,1,0,0,1,1,1,1,tkcore_drv,PUBLISHED_KMI_NAME,UNPROVEN
