stock_sha256,stock_module,evidence_kind,term,nothing_root,path,line,text
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_InitializeContext,device_modules,drivers/tee/teei/510/tz_driver/teei_client_transfer_data.c,22,"ret = TEEC_InitializeContext(hostname, context);"
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_FinalizeContext,device_modules,drivers/tee/teei/510/tz_driver/teei_client_transfer_data.c,32,TEEC_FinalizeContext(context);
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_OpenSession,device_modules,drivers/tee/teei/510/tz_driver/teei_client_transfer_data.c,49,"result = TEEC_OpenSession(context, &session, uuid, TEEC_LOGIN_PUBLIC,"
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_RegisterSharedMemory,device_modules,drivers/tee/teei/510/tz_driver/teei_client_transfer_data.c,60,"result = TEEC_RegisterSharedMemory(context, &sharedmem);"
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_InvokeCommand,device_modules,drivers/tee/teei/510/tz_driver/teei_client_transfer_data.c,73,"result = TEEC_InvokeCommand(&session, command, &operation, NULL);"
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_ReleaseSharedMemory,device_modules,drivers/tee/teei/510/tz_driver/teei_client_transfer_data.c,80,TEEC_ReleaseSharedMemory(&sharedmem);
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_CloseSession,device_modules,drivers/tee/teei/510/tz_driver/teei_client_transfer_data.c,82,TEEC_CloseSession(&session);
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_OpenSession,device_modules,drivers/tee/teei/510/tz_driver/teei_client_transfer_data.c,102,"result = TEEC_OpenSession(context, &session, uuid, TEEC_LOGIN_PUBLIC,"
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_AllocateSharedMemory,device_modules,drivers/tee/teei/510/tz_driver/teei_client_transfer_data.c,111,"result = TEEC_AllocateSharedMemory(context, &sharedmem);"
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_InvokeCommand,device_modules,drivers/tee/teei/510/tz_driver/teei_client_transfer_data.c,130,"result = TEEC_InvokeCommand(&session, command, &operation, NULL);"
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_ReleaseSharedMemory,device_modules,drivers/tee/teei/510/tz_driver/teei_client_transfer_data.c,140,TEEC_ReleaseSharedMemory(&sharedmem);
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_CloseSession,device_modules,drivers/tee/teei/510/tz_driver/teei_client_transfer_data.c,142,TEEC_CloseSession(&session);
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_OpenSession,device_modules,drivers/tee/teei/510/tz_driver/sysfs.c,238,"res = TEEC_OpenSession(&ut_drv_context, session,"
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_InvokeCommand,device_modules,drivers/tee/teei/510/tz_driver/sysfs.c,261,"res = TEEC_InvokeCommand(&ut_drv->session,"
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_InitializeContext,device_modules,drivers/tee/teei/510/tz_driver/sysfs.c,293,"res = TEEC_InitializeContext(DRIVER_LOADER_HOSTNAME,"
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_CloseSession,device_modules,drivers/tee/teei/510/tz_driver/sysfs.c,346,TEEC_CloseSession(&new_entry->session);
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_CloseSession,device_modules,drivers/tee/teei/510/tz_driver/sysfs.c,439,TEEC_CloseSession(&entry->session);
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_FinalizeContext,device_modules,drivers/tee/teei/510/tz_driver/sysfs.c,647,TEEC_FinalizeContext(&ut_drv_context);
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_InvokeCommand,device_modules,drivers/tee/teei/510/tz_dcih/tz_dcih.c,51,"res = TEEC_InvokeCommand(&ut_drv->session, driver_param.cmd_id,"
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_InvokeCommand,device_modules,drivers/tee/teei/510/tz_dcih/tz_dcih.c,81,"res = TEEC_InvokeCommand(&ut_drv->session, driver_param.cmd_id,"
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_InvokeCommand,device_modules,drivers/tee/teei/510/tz_dcih/tz_dcih.c,235,"res = TEEC_InvokeCommand(&ut_drv->session, driver_param.cmd_id,"
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_InitializeContext,device_modules,drivers/tee/teei/510/tests/xtest_main.c,131,"TEEC_InitializeContext(BTA_LOADER_HOSTNAME, &xtest_isee_ctx_1000);"
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_FinalizeContext,device_modules,drivers/tee/teei/510/tests/xtest_main.c,133,TEEC_FinalizeContext(&xtest_isee_ctx_1000);
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_InitializeContext,device_modules,drivers/tee/teei/510/tests/xtest_main.c,143,"TEEC_InitializeContext(BTA_LOADER_HOSTNAME, &xtest_isee_ctx_3000);"
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_FinalizeContext,device_modules,drivers/tee/teei/510/tests/xtest_main.c,145,TEEC_FinalizeContext(&xtest_isee_ctx_3000);
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_InvokeCommand,device_modules,drivers/tee/teei/510/tests/xtest_isee_3000.c,120,"(void)ADBG_EXPECT_TEEC_SUCCESS(TEEC_InvokeCommand(&session,"
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_CloseSession,device_modules,drivers/tee/teei/510/tests/xtest_isee_3000.c,123,TEEC_CloseSession(&session);
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore,EXPORT,TEEC_InvokeCommand,device_modules,drivers/tee/teei/510/tests/xtest_isee_3000.c,173,"if (!ADBG_EXPECT_TEEC_SUCCESS(TEEC_InvokeCommand(&session,"
