
Symbol table '.symtab' contains 165 entries:
   Num:    Value          Size Type    Bind   Vis       Ndx Name
     0: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT   UND 
     1: 000000000000000d     0 NOTYPE  LOCAL  DEFAULT    15 __kstrtab_will_ldo_vout
     2: 000000000000000d     0 NOTYPE  LOCAL  DEFAULT    15 $d.1
     3: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    15 __kstrtabns_will_ldo_vout
     4: 000000000000000c     0 NOTYPE  LOCAL  DEFAULT     1 __ksymtab_will_ldo_vout
     5: 000000000000000c     0 NOTYPE  LOCAL  DEFAULT     1 $d.2
     6: 0000000000000001     0 NOTYPE  LOCAL  DEFAULT    15 __kstrtab_will_ldo_en
     7: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    15 __kstrtabns_will_ldo_en
     8: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT     1 __ksymtab_will_ldo_en
     9: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT     1 $d.3
    10: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    13 $d.4
    11: 0000000000000004     0 NOTYPE  LOCAL  DEFAULT    13 $x.5
    12: 0000000000000000   112 OBJECT  LOCAL  DEFAULT    24 wl2864c_data
    13: 0000000000000060     0 NOTYPE  LOCAL  DEFAULT    13 $d.6
    14: 0000000000000064     0 NOTYPE  LOCAL  DEFAULT    13 $x.7
    15: 00000000000002a4     0 NOTYPE  LOCAL  DEFAULT    13 $d.8
    16: 00000000000002a8     0 NOTYPE  LOCAL  DEFAULT    13 $x.9
    17: 00000000000004e4     0 NOTYPE  LOCAL  DEFAULT    13 $d.10
    18: 00000000000004e8     0 NOTYPE  LOCAL  DEFAULT    13 $x.11
    19: 0000000000000728     0 NOTYPE  LOCAL  DEFAULT    13 $d.12
    20: 000000000000072c     0 NOTYPE  LOCAL  DEFAULT    13 $x.13
    21: 0000000000000964     0 NOTYPE  LOCAL  DEFAULT    13 $d.14
    22: 0000000000000968     0 NOTYPE  LOCAL  DEFAULT    13 $x.15
    23: 00000000000009f0     0 NOTYPE  LOCAL  DEFAULT    13 $d.16
    24: 00000000000009f4     0 NOTYPE  LOCAL  DEFAULT    13 $x.17
    25: 0000000000000a3c     0 NOTYPE  LOCAL  DEFAULT    13 $d.18
    26: 0000000000000a40     0 NOTYPE  LOCAL  DEFAULT    13 $x.19
    27: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    17 $d.20
    28: 0000000000000004     0 NOTYPE  LOCAL  DEFAULT    17 $x.21
    29: 0000000000000000   280 OBJECT  LOCAL  DEFAULT    30 wl2864c_i2c_driver
    30: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    19 $d.22
    31: 0000000000000004     0 NOTYPE  LOCAL  DEFAULT    19 $x.23
    32: 0000000000000a98   660 FUNC    LOCAL  DEFAULT    13 wl2864c_probe
    33: 0000000000000a94     0 NOTYPE  LOCAL  DEFAULT    13 $d.24
    34: 0000000000000a98     0 NOTYPE  LOCAL  DEFAULT    13 $x.25
    35: 0000000000000118    80 OBJECT  LOCAL  DEFAULT    30 wl2864c_miscdev
    36: 0000000000000d30    64 FUNC    LOCAL  DEFAULT    13 wl2864c_remove
    37: 0000000000000d2c     0 NOTYPE  LOCAL  DEFAULT    13 $d.26
    38: 0000000000000d30     0 NOTYPE  LOCAL  DEFAULT    13 $x.27
    39: 0000000000000d74   940 FUNC    LOCAL  DEFAULT    13 wl2864c_read
    40: 0000000000000d70     0 NOTYPE  LOCAL  DEFAULT    13 $d.28
    41: 0000000000000d74     0 NOTYPE  LOCAL  DEFAULT    13 $x.29
    42: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT     3 $d.30
    43: 0000000000000fb0     0 NOTYPE  LOCAL  DEFAULT    13 $x.31
    44: 000000000000000c     0 NOTYPE  LOCAL  DEFAULT     3 $d.32
    45: 00000000000013cc     0 NOTYPE  LOCAL  DEFAULT    13 $x.33
    46: 0000000000000018     0 NOTYPE  LOCAL  DEFAULT     3 $d.34
    47: 00000000000013d0     0 NOTYPE  LOCAL  DEFAULT    13 $x.35
    48: 0000000000000024     0 NOTYPE  LOCAL  DEFAULT     3 $d.36
    49: 00000000000013d4     0 NOTYPE  LOCAL  DEFAULT    13 $x.37
