
Symbol table '.symtab' contains 52 entries:
   Num:    Value          Size Type    Bind   Vis       Ndx Name
     0: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT   UND 
     1: 000000000000000f     0 NOTYPE  LOCAL  DEFAULT    13 __kstrtab_custom_ldo_vout
     2: 000000000000000f     0 NOTYPE  LOCAL  DEFAULT    13 $d.1
     3: 000000000000000e     0 NOTYPE  LOCAL  DEFAULT    13 __kstrtabns_custom_ldo_vout
     4: 000000000000000c     0 NOTYPE  LOCAL  DEFAULT     1 __ksymtab_custom_ldo_vout
     5: 000000000000000c     0 NOTYPE  LOCAL  DEFAULT     1 $d.2
     6: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    13 __kstrtab_custom_ldo_en
     7: 000000000000000e     0 NOTYPE  LOCAL  DEFAULT    13 __kstrtabns_custom_ldo_en
     8: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT     1 __ksymtab_custom_ldo_en
     9: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT     1 $d.3
    10: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    11 $d.4
    11: 0000000000000004     0 NOTYPE  LOCAL  DEFAULT    11 $x.5
    12: 0000000000000020     0 NOTYPE  LOCAL  DEFAULT    11 $d.6
    13: 0000000000000024     0 NOTYPE  LOCAL  DEFAULT    11 $x.7
    14: 0000000000000000    30 OBJECT  LOCAL  DEFAULT    15 __UNIQUE_ID_description457
    15: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    15 $d.9
    16: 000000000000001e    12 OBJECT  LOCAL  DEFAULT    15 __UNIQUE_ID_license458
    17: 000000000000002a    12 OBJECT  LOCAL  DEFAULT    15 __UNIQUE_ID_version459
    18: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    16 $d.14
    19: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    10 $d.15
    20: 0000000000000000     0 SECTION LOCAL  DEFAULT     1 __ksymtab
    21: 0000000000000000     0 SECTION LOCAL  DEFAULT    10 .init.eh_frame
    22: 0000000000000000     0 SECTION LOCAL  DEFAULT    11 .text
    23: 0000000000000000     0 SECTION LOCAL  DEFAULT    15 .modinfo
    24: 0000000000000000     0 SECTION LOCAL  DEFAULT    18 .llvm_addrsig
    25: 0000000000000004     0 NOTYPE  LOCAL  DEFAULT     2 __crc_custom_ldo_vout
    26: 0000000000000004     0 NOTYPE  LOCAL  DEFAULT     2 $d.1
    27: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT     2 __crc_custom_ldo_en
    28: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT     2 $d.2
    29: 0000000000000000    24 OBJECT  LOCAL  DEFAULT    19 _note_9
    30: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    19 $d.3
    31: 0000000000000018    24 OBJECT  LOCAL  DEFAULT    19 _note_10
    32: 0000000000000036    87 OBJECT  LOCAL  DEFAULT    15 __UNIQUE_ID_vermagic333
    33: 0000000000000036     0 NOTYPE  LOCAL  DEFAULT    15 $d.4
    34: 000000000000008d    16 OBJECT  LOCAL  DEFAULT    15 __UNIQUE_ID_name334
    35: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    20 $d.5
    36: 0000000000000000   192 OBJECT  LOCAL  DEFAULT    21 ____versions
    37: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    21 $d.6
    38: 000000000000009d    26 OBJECT  LOCAL  DEFAULT    15 __UNIQUE_ID_depends335
    39: 00000000000000b7    35 OBJECT  LOCAL  DEFAULT    15 __UNIQUE_ID_srcversion336
    40: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    16 $d.10
    41: 0000000000000000     0 SECTION LOCAL  DEFAULT     2 __kcrctab
    42: 0000000000000000     0 SECTION LOCAL  DEFAULT    19 .note.Linux
    43: 0000000000000000     0 SECTION LOCAL  DEFAULT    20 .gnu.linkonce.this_module
    44: 0000000000000000     0 SECTION LOCAL  DEFAULT    21 __versions
    45: 0000000000000000     0 SECTION LOCAL  DEFAULT    13 __ksymtab_strings
    46: 0000000000000000     0 SECTION LOCAL  DEFAULT    16 .comment
    47: 0000000000000004    28 FUNC    GLOBAL DEFAULT    11 custom_ldo_vout
    48: 0000000000000024    28 FUNC    GLOBAL DEFAULT    11 custom_ldo_en
    49: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND will_ldo_vout
    50: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND will_ldo_en
    51: 0000000000000000  1088 OBJECT  GLOBAL DEFAULT    20 __this_module
