function	section	offset	size	binding	kcfi_id	sha256
cleanup_module	.exit.text	0x4	36	GLOBAL	0xa540670c	022d1f8a88b2242b9938288dcd07f975c12b83337276f60e60d743f109a21c2c
init_module	.init.text	0x4	68	GLOBAL	0x36b1c5a6	16596e4443db85109f9227e276fb2660242e36938f15c4b789989ff6540358e6
hyn_i2c_read	.text	0x4	140	GLOBAL	0x90b95eb7	ff8ced208154a39c3e77e4511e10075613989ba54c9345a790ef11d75002155c
hyn_i2c_write	.text	0x94	76	GLOBAL	0xcb32cd11	ef6ee4e82200a5203b1c1b52e086ff7dfc002ddc4e4aeb7e93511916fd4ff18d
hyn_i2c_write_byte	.text	0xe4	88	GLOBAL	0x43e1b70a	85885fc88ec91476b2f640206a7731e14cf2a15abf7989fae4bc068bc86fcb5d
hyn_i2c_read_byte	.text	0x140	92	GLOBAL	0x955585a5	70160d1213ad7b7e1bf07c558c369ea31b91cc47a0a996e2e53f09421c1833aa
hyn_i2c_write_bytes	.text	0x1a0	220	GLOBAL	0xea58cdbc	09c766ee6d1cb2d4634a19be60b9557182978deda45f006fb21c7f8962e64d77
hyn_i2c_read_bytes	.text	0x280	144	GLOBAL	0xea58cdbc	496070a6585525a0c3c4934e937dc378686286a440ca548f87ea1e312583b4e5
cst3xx_i2c_read	.text	0x314	88	GLOBAL	0xb0620772	1f57bc66c484103ccf0694ff14505f5b696ddd74487d55444c90f44d51c4cc42
cst3xx_i2c_write	.text	0x370	88	GLOBAL	0xb0620772	4216767b0ac427b8cd7b38c832532d51a83e36fbae660dd5179225e54ff8865e
cst3xx_i2c_read_register	.text	0x3cc	84	GLOBAL	0xb0620772	72fc2e3cee7739a207e950a79aaf85ec7d3b69c449c4008411284c33418675bd
hyn_reset_watchdog_proc	.text	0x424	4	GLOBAL	0xa540670c	110f46b5b35c069160560c6ad6786f647dd44e8760a52a46fc22dbbcd7630b91
hyn_reset_proc	.text	0x42c	372	GLOBAL	0x00050794	b5ef446d871908e30b184ae295bf5f2d4e8c6c1afeb8044e704744d4f3b237d8
hyn_irq_disable	.text	0x5a4	72	GLOBAL	0xa540670c	843dfb3a1b76fbcd703573e660dad06c9700202e020ce91cf1bc8fdd171b7fac
hyn_irq_enable	.text	0x5f0	68	GLOBAL	0xa540670c	ac467cc1912263b4f68a7d4e4d8763d4151c6d33813ec1355c3e607ec2b701d6
cst3xx_touch_down	.text	0x634	192	LOCAL	0xd65f03c0	3cc7ee2c9e3ef267094b5f9bda39dca9f40133ded8b7caa3a3f326f10b55afd9
cst3xx_touch_up	.text	0x6f4	92	LOCAL	0xd65f03c0	e338b9b82b2ed28857695f48013078666d5f329bcab0dcfc98281c0d2cfb7a54
tpd_up	.text	0x750	40	LOCAL	0xd65f03c0	c3bc8003f385d10fcfa43aae897faa49901b98434fde33bcd514e5f1ba8d5770
tpd_down	.text	0x778	60	LOCAL	0xd65f03c0	042fa52c3ec86a3f1c54b14af29aed0d8e7e208fb9658fd18990cbdced54b0ae
