object	section	offset	size	binding	evidence_role	sha256
hyn_ts_data	.bss	0x0	8	LOCAL	global/state BSS	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
hyn_gesture_data.0	.bss	0x8	1	LOCAL	gesture state	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
hyn_gesture_data.1	.bss	0xc	1	LOCAL	gesture state	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
hyn_gesture_data.2	.bss	0x10	1	LOCAL	gesture state	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
hyn_gesture_data.3	.bss	0x14	1	LOCAL	gesture state	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
hyn_gesture_data.4	.bss	0x18	2	LOCAL	gesture state	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
hyn_gesture_data.5	.bss	0x1c	2	LOCAL	gesture state	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
hyn_gesture_data.6	.bss	0x20	4	LOCAL	gesture state	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
tiny_tpgesture_status	.bss	0x24	4	GLOBAL	gesture state	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
hyn_probe.__key	.bss	0x28	1	LOCAL	global/state BSS	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cst8xx_fw	.data	0x0	15419	GLOBAL	firmware object/table	0566ea7799d6f8bbce026639d9dbb89f0e629ab533d1d90e4901c81d5611e1d8
cst8xx_fw_len	.data	0x3c3c	4	GLOBAL	firmware object/table	7be7932c3c1cb18380f115be084be27c25bf49d53b6c6b960df04d94e765d260
cst816t_fw	.data	0x3c40	15410	GLOBAL	firmware object/table	0d02fde67223c1e7aa6c4ce1d1e522bcbe79d4d58decf1aa79b865cb2e504de3
cst816t_fw_len	.data	0x7874	4	GLOBAL	firmware object/table	1c5d72328768cc2f8587b65d6febeb9c89ed1a4d2ef0589c83c057e69dc3978c
hyn_attrs	.data	0x7878	48	LOCAL	module object	17b0761f87b081d5cf10757ccc89f12be355c70e2e29df288b65b30710dcbcd1
dev_attr_hyntpfwver	.data	0x78a8	32	LOCAL	firmware object/table	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612
dev_attr_hynfwupdate	.data	0x78c8	32	LOCAL	firmware object/table	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612
dev_attr_hyntprwreg	.data	0x78e8	32	LOCAL	module object	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612
dev_attr_hynfwupgradeapp	.data	0x7908	32	LOCAL	firmware object/table	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612
dev_attr_hyntpfactorytest	.data	0x7928	32	LOCAL	module object	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612
hyn_gesture_mode_attrs	.data	0x7948	24	LOCAL	gesture state	9d908ecfb6b256def8b49a7c504e6c889c4b0e41fe6ce3e01863dd7b61a20aa0
dev_attr_hyn_gesture_mode	.data	0x7960	32	LOCAL	gesture state	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612
dev_attr_hyn_gesture_buf	.data	0x7980	32	LOCAL	gesture state	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612
hynitron_i2c_driver	.data	0x79a0	280	LOCAL	I2C driver object	1f6c9de2e555d5d589e1149fed58f9cbcc101739df97d4a4d694a13f1242c5b9
__UNIQUE_ID___addressable_cleanup_module458	.exit.data	0x0	8	LOCAL	module object	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc
__this_module	.gnu.linkonce.this_module	0x0	1088	GLOBAL	module object	929e8286d9c954915f422fc46de872108b5bac811f2e81f3fd7a9ab9fe9b8aa7
__UNIQUE_ID___addressable_init_module457	.init.data	0x0	8	LOCAL	module object	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc
__UNIQUE_ID_author459	.modinfo	0x0	28	LOCAL	module object	cb6b9591c3ea41e4b4528afaf0d164a524d302a585a59afad0d21ce2273f603c
__UNIQUE_ID_description460	.modinfo	0x1c	40	LOCAL	module object	b0badb65cde4666883cbd3a7e12e874a310b704badd6dde9587ca00c674bc98f
__UNIQUE_ID_license461	.modinfo	0x44	15	LOCAL	module object	76172709a064138222d1d93d09d955f77e3047a3e0c2bd1f63d9aa6d2e49baa7
__UNIQUE_ID_vermagic333	.modinfo	0x53	85	LOCAL	module object	3e384d854435ff9548f4b6b549062076cfe14d8aefeb01c32923e627e254beb0
__UNIQUE_ID_name334	.modinfo	0xa8	14	LOCAL	module object	830278946e4c40a4b74e0ae826671122d25e92c51e9729c080d586755a0569f9
__UNIQUE_ID_depends335	.modinfo	0xb6	20	LOCAL	module object	e1ad43ff5f49e6b01abad164029ad2ac0f4d470207aa0afc43b6726d48bf0aa2
__UNIQUE_ID_alias336	.modinfo	0xca	17	LOCAL	module object	64d6e08a63c610bc46b0341a998ef8d62e8a1e5fa33c9fcaa6f6ba614c554b82
__UNIQUE_ID_alias337	.modinfo	0xdb	30	LOCAL	module object	4ee49434730f9be4960395b96324c77531ef673c978ffc81927bf33002f51ec9
__UNIQUE_ID_alias338	.modinfo	0xf9	32	LOCAL	module object	3d2672392d33e94eae6c242ec7b894d6c1d12ac10901a3d35f61c548d15e6bc7
_note_9	.note.Linux	0x0	24	LOCAL	module object	46c938f9cda347c4bb680e1bd9fdaddc9b6e917739785b1baad69e851b2f9de3
_note_10	.note.Linux	0x18	24	LOCAL	module object	f50d12dbcecdbd59ca68819b1f403f495da5160b18fd94e48a918fd6d360972c
hyn_attribute_group	.rodata	0x50	40	LOCAL	module object	2c34ce1df23b838c5abf2a7f6437cca3d3067ed509ff25f11df6b11b582b51eb
hyn_gesture_group	.rodata	0x78	40	LOCAL	gesture state	2c34ce1df23b838c5abf2a7f6437cca3d3067ed509ff25f11df6b11b582b51eb
__mod_i2c__hyn_tpd_id_device_table	.rodata	0xa0	64	GLOBAL	OF/I2C match table	50eb28a094f3f579781d116da849f37a5d09fb8f7ffa18149de4bd7f783219d3
hyn_tpd_id	.rodata	0xa0	64	LOCAL	OF/I2C match table	50eb28a094f3f579781d116da849f37a5d09fb8f7ffa18149de4bd7f783219d3
__mod_of__hyn_dt_match_device_table	.rodata	0xe0	400	GLOBAL	OF/I2C match table	ff36d9932676de3eb86c66fd90da96cda2db89823956528c4f66e75f26fb5ce0
hyn_dt_match	.rodata	0xe0	400	LOCAL	OF/I2C match table	ff36d9932676de3eb86c66fd90da96cda2db89823956528c4f66e75f26fb5ce0
____versions	__versions	0x0	3456	LOCAL	module object	d12a79f118b69bee4e985970bf74d32c04a4070d99ab522fa1ab9ecc5a248757
