relocation_section	offset	type	symbol	addend
.rela.text	0x000000000000002c	R_AARCH64_CALL26	i2c_transfer_buffer_flags	+0
.rela.text	0x0000000000000044	R_AARCH64_CALL26	i2c_transfer_buffer_flags	+0
.rela.text	0x0000000000000054	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+134
.rela.text	0x0000000000000058	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+134
.rela.text	0x000000000000005c	R_AARCH64_CALL26	_dev_err	+0
.rela.text	0x0000000000000080	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+2a7
.rela.text	0x0000000000000084	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+2a7
.rela.text	0x0000000000000088	R_AARCH64_CALL26	_printk	+0
.rela.text	0x00000000000000ac	R_AARCH64_CALL26	i2c_transfer_buffer_flags	+0
.rela.text	0x00000000000000b8	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+2a7
.rela.text	0x00000000000000bc	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+2a7
.rela.text	0x00000000000000c0	R_AARCH64_CALL26	_printk	+0
.rela.text	0x0000000000000110	R_AARCH64_CALL26	hyn_i2c_write	+0
.rela.text	0x0000000000000138	R_AARCH64_CALL26	__stack_chk_fail	+0
.rela.text	0x0000000000000170	R_AARCH64_CALL26	hyn_i2c_read	+0
.rela.text	0x0000000000000198	R_AARCH64_CALL26	__stack_chk_fail	+0
.rela.text	0x00000000000001e4	R_AARCH64_CALL26	memset	+0
.rela.text	0x0000000000000220	R_AARCH64_CALL26	memcpy	+0
.rela.text	0x0000000000000224	R_AARCH64_ADR_PREL_PG_HI21	.bss	+0
.rela.text	0x0000000000000230	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x0000000000000238	R_AARCH64_CALL26	hyn_i2c_write	+0
.rela.text	0x000000000000026c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+233
.rela.text	0x0000000000000270	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+233
.rela.text	0x0000000000000274	R_AARCH64_CALL26	fortify_panic	+0
.rela.text	0x0000000000000278	R_AARCH64_CALL26	__stack_chk_fail	+0
.rela.text	0x00000000000002bc	R_AARCH64_ADR_PREL_PG_HI21	.bss	+0
.rela.text	0x00000000000002cc	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x00000000000002e4	R_AARCH64_CALL26	hyn_i2c_read	+0
.rela.text	0x000000000000030c	R_AARCH64_CALL26	__stack_chk_fail	+0
.rela.text	0x0000000000000338	R_AARCH64_CALL26	i2c_transfer_buffer_flags	+0
.rela.text	0x0000000000000354	R_AARCH64_CALL26	i2c_transfer_buffer_flags	+0
.rela.text	0x0000000000000394	R_AARCH64_CALL26	i2c_transfer_buffer_flags	+0
.rela.text	0x00000000000003b0	R_AARCH64_CALL26	i2c_transfer_buffer_flags	+0
.rela.text	0x00000000000003f0	R_AARCH64_CALL26	cst3xx_i2c_write	+0
.rela.text	0x0000000000000408	R_AARCH64_CALL26	cst3xx_i2c_read	+0
.rela.text	0x000000000000043c	R_AARCH64_ADR_PREL_PG_HI21	.bss	+0
.rela.text	0x0000000000000440	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x0000000000000454	R_AARCH64_CALL26	gpio_to_desc	+0
.rela.text	0x000000000000045c	R_AARCH64_CALL26	gpiod_direction_output_raw	+0
.rela.text	0x0000000000000468	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x0000000000000474	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x0000000000000480	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x000000000000048c	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x0000000000000498	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x00000000000004a4	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x00000000000004b0	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x00000000000004bc	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x00000000000004c8	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x00000000000004d4	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x00000000000004e0	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x00000000000004ec	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x00000000000004f8	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x0000000000000504	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x0000000000000510	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x000000000000051c	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x0000000000000528	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x0000000000000534	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x0000000000000540	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x000000000000054c	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x0000000000000550	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x000000000000055c	R_AARCH64_CALL26	gpio_to_desc	+0
.rela.text	0x0000000000000564	R_AARCH64_CALL26	gpiod_direction_output_raw	+0
.rela.text	0x000000000000057c	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x00000000000005b4	R_AARCH64_ADR_PREL_PG_HI21	.bss	+0
.rela.text	0x00000000000005b8	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x00000000000005cc	R_AARCH64_CALL26	disable_irq_nosync	+0
.rela.text	0x00000000000005d0	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x0000000000000600	R_AARCH64_ADR_PREL_PG_HI21	.bss	+0
.rela.text	0x0000000000000604	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x0000000000000618	R_AARCH64_CALL26	enable_irq	+0
.rela.text	0x000000000000061c	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x0000000000000664	R_AARCH64_CALL26	input_event	+0
.rela.text	0x0000000000000678	R_AARCH64_CALL26	input_event	+0
.rela.text	0x000000000000068c	R_AARCH64_CALL26	input_event	+0
.rela.text	0x00000000000006a0	R_AARCH64_CALL26	input_event	+0
.rela.text	0x00000000000006b4	R_AARCH64_CALL26	input_event	+0
.rela.text	0x00000000000006c8	R_AARCH64_CALL26	input_event	+0
.rela.text	0x00000000000006dc	R_AARCH64_CALL26	input_event	+0
.rela.text	0x0000000000000714	R_AARCH64_CALL26	input_event	+0
.rela.text	0x0000000000000728	R_AARCH64_CALL26	input_event	+0
.rela.text	0x000000000000073c	R_AARCH64_CALL26	input_event	+0
.rela.text	0x000000000000075c	R_AARCH64_ADR_PREL_PG_HI21	.bss	+0
.rela.text	0x0000000000000760	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x0000000000000784	R_AARCH64_ADR_PREL_PG_HI21	.bss	+0
.rela.text	0x000000000000079c	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x00000000000007d4	R_AARCH64_ADR_PREL_PG_HI21	.rodata	+0
.rela.text	0x00000000000007d8	R_AARCH64_ADD_ABS_LO12_NC	.rodata	+0
.rela.text	0x000000000000085c	R_AARCH64_ADR_PREL_PG_HI21	.bss	+20
