file_offset	string
0x2073	4s~@
0x22ec	+ih8J\t
0x24a1	O@9*
0x285d	7@9K}
0x2a25	'B)h
0x2ca7	T\t-AyI
0x2ed3	7h*Ay
0x343b	r*-@
0x3610	+ih8J\t
0x3bb5	tiny_tp_power_contorl
0x3bcb	tiny_tp_gesture_contorl
0x3bed	444444444444
0x3bfd	44444444444444444
0x3c0f	4444444444444
0x3c1d	4444444444444444
0x3c88	hyn_ts
0x3d08	hynitron,hyn_ts
0x41f7	u<Zu=
0x4255	IBuE\t
0x42c4	A@&uJ
0x42cd	uLAuM
0x42d6	uO?uP
0x42df	uR;uS
0x42f3	uL?uM
0x42fc	uOAuP
0x4305	uR=uS
0x4d14	T<`y
0x4efe	"/pXu"""
0x4f5d	e/pj
0x536a	"""t$%#"
0x5501	"""`)xn|"
0x5544	"*}"">"
0x5894	!t'%\t
0x5981	(u)d
0x5f4a	$O@\t
0x6069	)t +
0x60ae	@Qt +
0x621a	ynu-
0x6229	"t$%"""
0x6247	"t$%"""
0x6395	$Vt1
0x639e	$Vt9
0x6491	$ x~
0x6979	AQRSTUVFEDC
0x6a00	<TUSVRFQEAD
0x6cbd	u&0{
0x6d18	MNO`
0x707d	ADu+0
0x71fe	WqNT
0x7295	9qau
0x7ae6	CSW_2205166_CST816D_SGD_FC_F013362_SHDZ_YJZN_S105.hex
0x7b27	".&"""""
0x7eae	IBuE\t
0x7f26	A@&uJ
0x7f2f	uLAuM
0x7f38	uO?uP
0x7f41	uR;uS
0x7f55	uL?uM
0x7f5e	uOAuP
0x7f67	uR=uS
0x8a01	+%xb
0x8af3	u&0{
0x8b50	MNO`#u
0x8c85	T<`y
0x8d12	<PVx
0x8ea0	2=xr
0x90b5	2=xr
0x90ca	4Lxr
0x910d	"/pXu"""
0x916c	e/pj
0x957f	"""t$%#"
0x9714	"""`)xq|"
0x98b7	Hu+0
0x9a1f	(u)d
0x9c4f	!t'%\t
0xa24b	,t +
0xa28d	@Nt +
0xa404	yqu-
0xa412	"t$%"""
0xa42f	"t$%"""
0xb1fc	"""u\9u]\"
