
Symbol table '.symtab' contains 196 entries:
   Num:    Value          Size Type    Bind   Vis       Ndx Name
     0: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT   UND 
     1: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    11 $d.1
     2: 0000000000000004     0 NOTYPE  LOCAL  DEFAULT    11 $x.2
     3: 0000000000000000   280 OBJECT  LOCAL  DEFAULT    23 sc8571_charger_driver
     4: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    13 $d.3
     5: 0000000000000004     0 NOTYPE  LOCAL  DEFAULT    13 $x.4
     6: 0000000000000004  1180 FUNC    LOCAL  DEFAULT     9 sc8571_charger_probe
     7: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT     9 $d.5
     8: 0000000000000004     0 NOTYPE  LOCAL  DEFAULT     9 $x.6
     9: 0000000000000100   328 OBJECT  LOCAL  DEFAULT    15 sc8571_regmap_config
    10: 0000000000000248  1160 OBJECT  LOCAL  DEFAULT    15 sc8571_reg_fields
    11: 0000000000000028    30 OBJECT  LOCAL  DEFAULT    22 sc8571_charge_id
    12: 0000000000000478    32 OBJECT  LOCAL  DEFAULT    23 dev_attr_registers
    13: 0000000000000118   800 OBJECT  LOCAL  DEFAULT    23 sc8571_charger_match_table
    14: 0000000000000568   996 FUNC    LOCAL  DEFAULT     9 sc8571_parse_dt
    15: 000000000000094c   940 FUNC    LOCAL  DEFAULT     9 sc8571_init_device
    16: 0000000000000cf8   232 FUNC    LOCAL  DEFAULT     9 sc8571_psy_register
    17: 0000000000000de0   272 FUNC    LOCAL  DEFAULT     9 sc8571_register_interrupt
    18: 00000000000006d0   648 OBJECT  LOCAL  DEFAULT    15 sc8571_chg_ops
    19: 0000000000000958     8 OBJECT  LOCAL  DEFAULT    15 sc8571_chg_props
    20: 0000000000000014     4 OBJECT  LOCAL  DEFAULT    22 sc8571_conunt
    21: 0000000000000004    15 OBJECT  LOCAL  DEFAULT    22 sc8571_buf
    22: 0000000000000018     1 OBJECT  LOCAL  DEFAULT    22 sc8571_charger_probe.__key
    23: 0000000000000020     8 OBJECT  LOCAL  DEFAULT    22 sc8571_fg_class
    24: 0000000000000438    64 OBJECT  LOCAL  DEFAULT    23 class_attr_sc8571
    25: 00000000000004a4    60 FUNC    LOCAL  DEFAULT     9 sc8571_charger_remove
    26: 00000000000004a0     0 NOTYPE  LOCAL  DEFAULT     9 $d.7
    27: 00000000000004a4     0 NOTYPE  LOCAL  DEFAULT     9 $x.8
    28: 00000000000004e4   132 FUNC    LOCAL  DEFAULT     9 sc8571_charger_shutdown
    29: 00000000000004e0     0 NOTYPE  LOCAL  DEFAULT     9 $d.9
    30: 00000000000004e4     0 NOTYPE  LOCAL  DEFAULT     9 $x.10
    31: 0000000000000960    24 OBJECT  LOCAL  DEFAULT    15 sc8571_psy_name
    32: 0000000000000498    28 OBJECT  LOCAL  DEFAULT    23 sc8571_charger_props
    33: 00000000000010bc   440 FUNC    LOCAL  DEFAULT     9 sc8571_charger_get_property
    34: 0000000000001278   136 FUNC    LOCAL  DEFAULT     9 sc8571_charger_set_property
    35: 0000000000001304     8 FUNC    LOCAL  DEFAULT     9 sc8571_charger_is_writeable
    36: 00000000000009c8    24 OBJECT  LOCAL  DEFAULT    15 sc8571_irq_name
    37: 00000000000015fc   192 FUNC    LOCAL  DEFAULT     9 sc8571_irq_handler
    38: 0000000000000ef4   296 FUNC    LOCAL  DEFAULT     9 sc8571_show_registers
    39: 0000000000000ef0     0 NOTYPE  LOCAL  DEFAULT     9 $d.11
    40: 0000000000000ef4     0 NOTYPE  LOCAL  DEFAULT     9 $x.12
    41: 0000000000001020   152 FUNC    LOCAL  DEFAULT     9 sc8571_store_register
    42: 000000000000101c     0 NOTYPE  LOCAL  DEFAULT     9 $d.13
    43: 0000000000001020     0 NOTYPE  LOCAL  DEFAULT     9 $x.14
    44: 00000000000010b8     0 NOTYPE  LOCAL  DEFAULT     9 $d.15
    45: 00000000000010bc     0 NOTYPE  LOCAL  DEFAULT     9 $x.16
    46: 000000000000130c   476 FUNC    LOCAL  DEFAULT     9 sc8571_get_adc_data
    47: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    15 $d.17
    48: 0000000000001274     0 NOTYPE  LOCAL  DEFAULT     9 $d.18
    49: 0000000000001278     0 NOTYPE  LOCAL  DEFAULT     9 $x.19
    50: 00000000000014e8   272 FUNC    LOCAL  DEFAULT     9 sc8571_enable_charge
    51: 0000000000001300     0 NOTYPE  LOCAL  DEFAULT     9 $d.20
    52: 0000000000001304     0 NOTYPE  LOCAL  DEFAULT     9 $x.21
    53: 0000000000000978    40 OBJECT  LOCAL  DEFAULT    15 sc8571_adc_m
    54: 00000000000009a0    40 OBJECT  LOCAL  DEFAULT    15 sc8571_adc_l
    55: 00000000000015f8     0 NOTYPE  LOCAL  DEFAULT     9 $d.22
    56: 00000000000015fc     0 NOTYPE  LOCAL  DEFAULT     9 $x.23
    57: 00000000000016c0    32 FUNC    LOCAL  DEFAULT     9 mtk_sc8571_enable_chg
    58: 00000000000016bc     0 NOTYPE  LOCAL  DEFAULT     9 $d.24
    59: 00000000000016c0     0 NOTYPE  LOCAL  DEFAULT     9 $x.25
    60: 00000000000016e4   184 FUNC    LOCAL  DEFAULT     9 mtk_sc8571_is_chg_enabled
    61: 00000000000016e0     0 NOTYPE  LOCAL  DEFAULT     9 $d.26
    62: 00000000000016e4     0 NOTYPE  LOCAL  DEFAULT     9 $x.27
    63: 00000000000017a0   216 FUNC    LOCAL  DEFAULT     9 mtk_sc8571_set_ibusocp
    64: 000000000000179c     0 NOTYPE  LOCAL  DEFAULT     9 $d.28
    65: 00000000000017a0     0 NOTYPE  LOCAL  DEFAULT     9 $x.29
    66: 000000000000187c   220 FUNC    LOCAL  DEFAULT     9 mtk_sc8571_set_vbusovp
    67: 0000000000001878     0 NOTYPE  LOCAL  DEFAULT     9 $d.30
    68: 000000000000187c     0 NOTYPE  LOCAL  DEFAULT     9 $x.31
    69: 000000000000195c   204 FUNC    LOCAL  DEFAULT     9 mtk_sc8571_set_ibatocp
    70: 0000000000001958     0 NOTYPE  LOCAL  DEFAULT     9 $d.32
    71: 000000000000195c     0 NOTYPE  LOCAL  DEFAULT     9 $x.33
    72: 0000000000001a2c   220 FUNC    LOCAL  DEFAULT     9 mtk_sc8571_set_vbatovp
    73: 0000000000001a28     0 NOTYPE  LOCAL  DEFAULT     9 $d.34
    74: 0000000000001a2c     0 NOTYPE  LOCAL  DEFAULT     9 $x.35
    75: 0000000000001b0c   220 FUNC    LOCAL  DEFAULT     9 mtk_sc8571_set_vbatovp_alarm
    76: 0000000000001b08     0 NOTYPE  LOCAL  DEFAULT     9 $d.36
    77: 0000000000001b0c     0 NOTYPE  LOCAL  DEFAULT     9 $x.37
