name	section	offset	size	bind	vis	kcfi_typeid	sha256	relocation_count	call_or_jump_targets
sc8571_charger_probe	.text	0x4	1176	LOCAL	DEFAULT	0x5ef138aa	e4388aa5a0b7ed9786f6717b89165d4f3205198214c9df101e327ffb5593424e	134	_dev_err;devm_kmalloc;__devm_regmap_init_i2c;_dev_err;devm_regmap_field_alloc;regmap_field_read;_dev_err;_dev_err;_dev_err;devm_kfree;_dev_err;sprintf;device_create_file;of_match_node;_dev_err;_dev_err;_dev_err;_dev_err;power_supply_unregister;charger_device_register;sprintf;_printk;__class_create;_printk;class_create_file_ns;_printk;_dev_err;_dev_err;__stack_chk_fail;class_create_file_ns;_printk
sc8571_parse_dt	.text	0x564	996	LOCAL	DEFAULT		980b7a002a2533a12d311b21f000e5023e766ffe063605858a0e28bced9d5c18	102	of_property_read_variable_u32_array;of_get_named_gpio_flags;of_property_read_string;_dev_err;_dev_err;_dev_err;_dev_err;__stack_chk_fail
sc8571_init_device	.text	0x948	940	LOCAL	DEFAULT		61410a09cb06b3c74d8f2804e56908614361588ccba059f71d615bd11338fa7b	24	regmap_field_update_bits_base;msleep;regmap_field_update_bits_base;_dev_err;regmap_field_update_bits_base;_dev_err;_dev_err;_dev_err;_dev_err;__stack_chk_fail
sc8571_psy_register	.text	0xcf4	232	LOCAL	DEFAULT		b7e6e2dd29ebc48efa39725fe843261c1c66105af801951840e0991dca88f310	19	devm_power_supply_register;_dev_err;_dev_info
sc8571_register_interrupt	.text	0xddc	272	LOCAL	DEFAULT		ee70937d817a93272e2b6ee7ae2e6ed6327696c325201d081703330e80a33c71	21	gpio_request_one;gpio_to_desc;gpiod_to_irq;devm_request_threaded_irq;irq_set_irq_wake;_dev_err;_dev_err
sc8571_charger_remove	.text	0x4a0	60	LOCAL	DEFAULT	0x8effdd6d	6390645cc3cf8652bd14d24fc7a622f7d4be1191b7b6bc8332bc7301f4595296	2	power_supply_unregister;devm_kfree
sc8571_charger_shutdown	.text	0x4e0	132	LOCAL	DEFAULT	0x8effdd6d	7c61cf3a2db58c84211cf2130f9dcb1710cbe954f8ecc7457360008130f15ff6	12	_dev_info;regmap_field_update_bits_base;_dev_err;_printk
sc8571_charger_get_property	.text	0x10b8	440	LOCAL	DEFAULT	0x815c70ac	e844cb6202c3b3a873b33dcac11be1b05a1a6c3c8e2e4552af79e18d3fe01f81	13	power_supply_get_drvdata;regmap_field_read;_dev_err;_dev_info;__stack_chk_fail
sc8571_charger_set_property	.text	0x1274	136	LOCAL	DEFAULT	0x280341c0	28cbe8b37243ab4a33c9cc8cebf53026de071a979cf574136eda2b7fa5ed3e81	8	power_supply_get_drvdata;_dev_info
sc8571_charger_is_writeable	.text	0x1300	8	LOCAL	DEFAULT	0x5d3eeb57	2b59db05426e0f313d72b30f3398c65721de2562a59dc46ceeba224f98d0b876	0	
sc8571_irq_handler	.text	0x15f8	192	LOCAL	DEFAULT	0xf90f05f6	4984eadebacda3438af0688d76b64b8e3744ae210a56105845d17741dec75995	11	_dev_err;regmap_read;_dev_err;power_supply_changed;__stack_chk_fail
sc8571_show_registers	.text	0xef0	296	LOCAL	DEFAULT	0xdf43c25c	97fb48f9896becd4ca92f458e26f080f4be1fb6c35ed998e3f0c523ad208362d	15	memset;snprintf;memcpy;regmap_read;snprintf;fortify_panic;__stack_chk_fail
sc8571_store_register	.text	0x101c	152	LOCAL	DEFAULT	0x95a8ba07	b8e637f363db7d19b3cfae8be83b29fd776800d394bba6a300a995c4ae29988f	5	sscanf;regmap_write;__stack_chk_fail
sc8571_get_adc_data	.text	0x1308	476	LOCAL	DEFAULT		c823cd6dab17731f6b24ba9b207820a6ba81157d70969f83838e2c95e035f183	35	_dev_info;regmap_field_update_bits_base;_dev_err;msleep;regmap_bulk_read;_dev_err;_dev_info;_dev_info;_dev_info;regmap_field_update_bits_base;__stack_chk_fail
sc8571_enable_charge	.text	0x14e4	272	LOCAL	DEFAULT		50335082ccc55e036ee08c0e61484e228e4cb39647e90e65ff02590a2a8b3081	16	_dev_info;regmap_field_update_bits_base;regmap_read;_dev_err;_dev_err;__stack_chk_fail
mtk_sc8571_enable_chg	.text	0x16bc	32	LOCAL	DEFAULT	0x37598c5c	43ce5363e6e8712dda3d873ac9e305394f505506e87d7602cdad7fcfbcf5a61c	0	
mtk_sc8571_is_chg_enabled	.text	0x16e0	184	LOCAL	DEFAULT	0xfab56ee8	c7d0a5c948a1525f7652b929c98b4e4c41e64f9e82f550c3b45b28de2866ac7f	10	regmap_field_read;_dev_err;_dev_info;__stack_chk_fail
mtk_sc8571_set_ibusocp	.text	0x179c	216	LOCAL	DEFAULT	0x45b28f74	ea91e81d11554c0c7f8e818d15464f4ce02f9e46a69e90286f8f301157789d6a	9	_dev_info;regmap_field_update_bits_base;_dev_err
mtk_sc8571_set_vbusovp	.text	0x1878	220	LOCAL	DEFAULT	0x45b28f74	02ccb5262656db8af5e90ace0003a7bdec489e86a8489570f317229ed16debc6	9	_dev_info;regmap_field_update_bits_base;_dev_err
mtk_sc8571_set_ibatocp	.text	0x1958	208	LOCAL	DEFAULT	0x45b28f74	b7335d1f8bef39891b427d6b36d75e73378355349c93b8802725f20ff606be34	9	_dev_info;regmap_field_update_bits_base;_dev_err
mtk_sc8571_set_vbatovp	.text	0x1a2c	220	LOCAL	DEFAULT	0x45b28f74	1cb0f2d8d8667a909b66cda67246a557fb18fdea45df711647cc3f43838024da	9	_dev_info;regmap_field_update_bits_base;_dev_err
mtk_sc8571_set_vbatovp_alarm	.text	0x1b0c	220	LOCAL	DEFAULT	0x45b28f74	7ac0f8019cad6a27240c636b09eccdad0daac887a477dc326498619d9c5e5ead	9	_dev_info;regmap_field_update_bits_base;_dev_err
