name	section	offset	size	bind	vis	sha256	relocation_count	relocation_targets
sc8571_charger_driver	.data	0x0	280	LOCAL	DEFAULT	1f6c9de2e555d5d589e1149fed58f9cbcc101739df97d4a4d694a13f1242c5b9	7	.text;.text;.text;.rodata.str1.1;__this_module;.data;.rodata
sc8571_regmap_config	.rodata	0x100	328	LOCAL	DEFAULT	e89884cb4f5a3838ec8a1f011eb49eb7329be37b177e31d06bbb1cc6a3c82407	0	
sc8571_reg_fields	.rodata	0x248	1160	LOCAL	DEFAULT	72a4d7ea6882c18ab01079bce95b9d27221f4c957f4091209ec4b19e8b76c04c	0	
sc8571_charge_id	.bss	0x4	30	LOCAL	DEFAULT		0	
dev_attr_registers	.data	0x438	32	LOCAL	DEFAULT	c2abe0992b5048f8c0774815866ec733a062ff37a33ddb57cc17555866b070d5	3	.rodata.str1.1;.text;.text
sc8571_charger_match_table	.data	0x118	800	LOCAL	DEFAULT	16f1d01e67ef585ba36a8f26fd15399496db11969bb1866f56f31db7cb02b29f	3	.data;.data;.data
sc8571_chg_ops	.rodata	0x6d0	648	LOCAL	DEFAULT	f4bd841308415de6ed2727462cd66a7333ac8155b4e8e95de0220355189c785c	14	.text;.text;.text;.text;.text;.text;.text;.text;.text;.text;.text;.text;.text;.text
sc8571_chg_props	.rodata	0x958	8	LOCAL	DEFAULT	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	1	.rodata.str1.1
sc8571_conunt	.bss	0x34	4	LOCAL	DEFAULT		0	
sc8571_buf	.bss	0x22	15	LOCAL	DEFAULT		0	
sc8571_charger_probe.__key	.bss	0x38	1	LOCAL	DEFAULT		0	
sc8571_fg_class	.bss	0x40	8	LOCAL	DEFAULT		0	
class_attr_sc8571	.data	0x458	64	LOCAL	DEFAULT	baf3a645b40cfb94d99eb5b7eee4aff73f5d0834b6049e4fd8a61c8c27813302	2	.rodata.str1.1;.text
sc8571_psy_name	.rodata	0x960	24	LOCAL	DEFAULT	9d908ecfb6b256def8b49a7c504e6c889c4b0e41fe6ce3e01863dd7b61a20aa0	3	.rodata.str1.1;.rodata.str1.1;.rodata.str1.1
sc8571_charger_props	.data	0x498	28	LOCAL	DEFAULT	5d517f0a4c7001261077945d7b2665f44e05a156d81c03c61cca93df7e3a76ff	0	
sc8571_irq_name	.rodata	0x9c8	24	LOCAL	DEFAULT	9d908ecfb6b256def8b49a7c504e6c889c4b0e41fe6ce3e01863dd7b61a20aa0	3	.rodata.str1.1;.rodata.str1.1;.rodata.str1.1
sc8571_adc_m	.rodata	0x978	40	LOCAL	DEFAULT	ddc12fd97929e1f9710a83405e1bbae60f690aa2613d9aa653302f12e82be247	0	
sc8571_adc_l	.rodata	0x9a0	40	LOCAL	DEFAULT	1f3b303c64545ea30ea5edde94ca01fe4b978b99e33eba944733543dea9caf8f	0	
sc8571_adc_accuracy_tbl	.rodata	0x9e0	40	LOCAL	DEFAULT	c17590feec9b319edb8a6a6714ac66f7ec14ddea0a2ac8e6c29a48ef059cb917	0	
__UNIQUE_ID___addressable_init_module455	.init.data	0x0	8	LOCAL	DEFAULT	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	1	init_module
__UNIQUE_ID___addressable_cleanup_module456	.exit.data	0x0	8	LOCAL	DEFAULT	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	1	cleanup_module
__UNIQUE_ID_description457	.modinfo	0x0	29	LOCAL	DEFAULT	d1f5f09643a8599d49158d90362c4f9373bfdc5a1481b4c66f8fab2f9353bd7d	0	
__UNIQUE_ID_license458	.modinfo	0x1d	15	LOCAL	DEFAULT	76172709a064138222d1d93d09d955f77e3047a3e0c2bd1f63d9aa6d2e49baa7	0	
__UNIQUE_ID_author459	.modinfo	0x2c	43	LOCAL	DEFAULT	b8b96d4135d8b19a10ad92fef5d3e02f1142bab826ed71f17baaad20ba5ba0b5	0	
sc8571_pm	.rodata	0x40	192	LOCAL	DEFAULT	5d89f056865052bcb89c910d2d62872e029fb273c3db03f8968a52a41593c1b5	6	.text;.text;.text;.text;.text;.text
sc8571_mode_data	.data	0x4b4	12	LOCAL	DEFAULT	ad5dc1478de06a4c2728ea528bd9361a4b945e92a414bf4d180cedaaeaa5f4cc	0	
_note_9	.note.Linux	0x0	24	LOCAL	DEFAULT	46c938f9cda347c4bb680e1bd9fdaddc9b6e917739785b1baad69e851b2f9de3	0	
_note_10	.note.Linux	0x18	24	LOCAL	DEFAULT	f50d12dbcecdbd59ca68819b1f403f495da5160b18fd94e48a918fd6d360972c	0	
__UNIQUE_ID_vermagic333	.modinfo	0x57	85	LOCAL	DEFAULT	3e384d854435ff9548f4b6b549062076cfe14d8aefeb01c32923e627e254beb0	0	
__UNIQUE_ID_name334	.modinfo	0xac	20	LOCAL	DEFAULT	60a74121ece49f4a933a481d3e5989b60b8d200fdfd579e2ab07034b1ac5afdb	0	
____versions	__versions	0x0	2688	LOCAL	DEFAULT	0e5cdc3622e02d79222b5837de8192dcf7ccdcd25af770814285d363b2ad1e08	0	
__UNIQUE_ID_depends335	.modinfo	0xc0	22	LOCAL	DEFAULT	233def5e5970e3eebad960ce74f099cbcec3567641123c5553e947e24e01d1ba	0	
__this_module	.gnu.linkonce.this_module	0x0	1088	GLOBAL	DEFAULT	991b9094245fc92ad7c560cc83bc42c3a57016c96bb39e87a962e9335bfffbd6	2	init_module;cleanup_module
SC8571_ADC_CH	.bss	0x0	4	GLOBAL	DEFAULT		0	
