file_offset	section	section_offset	string
0x22fb	.text	0xc1b	T`2@
0x23ff	.text	0xd1f	R(yh
0x27ec	.text	0x110c	+ih8J
0x2b2f	.text	0x144f	*Hih
0x2d9a	.text	0x16ba	Y7?#
0x3540	.text	0x1e60	+ih8J
0x35f3	.text	0x1f13	*(yh
0x3640	.text	0x1f60	_eE??#
0x36a4	.text	0x1fc4	_eE??#
0x3760	.rodata	0x0	>3333333
0x3769	.rodata	0x9	3333
0x376e	.rodata	0xe	33333333333
0x377c	.rodata	0x1c	33333333333333333333
0x41c8	.modinfo	0x0	description=SC SC8571 Driver
0x41e5	.modinfo	0x1d	license=GPL v2
0x41f4	.modinfo	0x2c	author=South Chip <Aiden-yu@southchip.com>
0x421f	.modinfo	0x57	vermagic=6.1.115-android14-11-maybe-dirty SMP preempt mod_unload modversions aarch64
0x4274	.modinfo	0xac	name=sc8571_charger
0x4288	.modinfo	0xc0	depends=charger_class
0x43f8	.data	0x158	sc,sc8571-standalone
0x44c0	.data	0x220	sc,sc8571-master
0x4588	.data	0x2e8	sc,sc8571-slave
0x4760	.rodata.str1.1	0x0	1.0.1_G
0x4768	.rodata.str1.1	0x8	sc,sc8571,ibat-ocp-alm
0x477f	.rodata.str1.1	0x1f	INT OCCURED
0x478c	.rodata.str1.1	0x2c	sc8571_is_vbuslowerr
0x47a1	.rodata.str1.1	0x41	sc,sc8571,vbus-in-range-dis
0x47bd	.rodata.str1.1	0x5d	sc8571 read %02x block failed %d
0x47df	.rodata.str1.1	0x7f	mtk_sc8571_reset_vbatovp_alarm
0x47fe	.rodata.str1.1	0x9e	sc,sc8571,vbus-ovp
0x4811	.rodata.str1.1	0xb1	sc,sc8571,ibus-ocp-dis
0x4828	.rodata.str1.1	0xc8	sc-cp-slave
0x4834	.rodata.str1.1	0xd4	Failed to initialize regmap
0x4851	.rodata.str1.1	0xf1	sc8571_get_adc_data
0x4865	.rodata.str1.1	0x105	irq gpio not provided
0x487c	.rodata.str1.1	0x11c	sc8571_irq
0x4887	.rodata.str1.1	0x127	sc8571-standalone-irq
0x489d	.rodata.str1.1	0x13d	sc,sc8571,ibat-ocp-dis
0x48b9	.rodata.str1.1	0x159	sc,sc8571,vbat-ovp-alm-dis
0x48d4	.rodata.str1.1	0x174	sc,sc8571,pmid2out-ovp
0x48eb	.rodata.str1.1	0x18b	failed to request sc8571_irq
0x4909	.rodata.str1.1	0x1a9	sc8571_detect_device
0x491e	.rodata.str1.1	0x1be	sc8571,intr_gpio
0x492f	.rodata.str1.1	0x1cf	sc8571_set_batovp_th
0x4944	.rodata.str1.1	0x1e4	sc8571_set_vbusovp_alarm
0x495d	.rodata.str1.1	0x1fd	Resume successfully!
0x4973	.rodata.str1.1	0x213	3Fail class_create_file
0x498c	.rodata.str1.1	0x22c	%s failed to register psy
0x49a7	.rodata.str1.1	0x247	sc8571_enable_adc
0x49b9	.rodata.str1.1	0x259	sc8571-master-irq
0x49cb	.rodata.str1.1	0x26b	slave
0x49d1	.rodata.str1.1	0x271	sc8571 probe fail
0x49e4	.rodata.str1.1	0x284	sc8571_psy_register
0x49fb	.rodata.str1.1	0x29b	%s detect device fail
0x4a12	.rodata.str1.1	0x2b2	%s register irq fail(%d)
0x4a2d	.rodata.str1.1	0x2cd	3create class, err = %d
0x4a46	.rodata.str1.1	0x2e6	sc,sc8571,vac2-ovp
0x4a59	.rodata.str1.1	0x2f9	sc,sc8571,pmid2out-ovp-dis
0x4a74	.rodata.str1.1	0x314	sc-cp-standalone
0x4a85	.rodata.str1.1	0x325	disable
0x4a8d	.rodata.str1.1	0x32d	sc8571_set_busovp_th
0x4aa2	.rodata.str1.1	0x342	fastcharge_%d
0x4ab0	.rodata.str1.1	0x350	sc,sc8571,vout-ovp-dis
0x4ac7	.rodata.str1.1	0x367	no charger name
0x4ad8	.rodata.str1.1	0x378	enable
0x4adf	.rodata.str1.1	0x37f	failed to gpio_to_irq
0x4af6	.rodata.str1.1	0x396	sc8571_set_busocp_th
0x4b0b	.rodata.str1.1	0x3ab	sc,sc8571,ibat-ocp-alm-dis
0x4b26	.rodata.str1.1	0x3c6	sc,sc8571,ss-timeout-dis
0x4b3f	.rodata.str1.1	0x3df	sc,sc8571,pmid2out-uvp-dis
0x4b5a	.rodata.str1.1	0x3fa	sc8571
0x4b61	.rodata.str1.1	0x401	sc,sc8571,vbat-ovp-alm
0x4b78	.rodata.str1.1	0x418	sc,sc8571,vbus-ovp-alm
